Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
19202,24041,13238,1890,http://data.gesis.org/claimskg/creative_work/a0a7ce9e-6cc6-5cc7-97c6-94c463bd275c,Malaysia mandating second Covid booster ahead of Chinese tourist influx,factcheck_afp,English,FALSE,1,Malaysia,['Malaysia'],1.0,10,en,104,104_malaysia_malaysian_malaysians_covid
19817,24740,14972,3624,http://data.gesis.org/claimskg/creative_work/41bb7ddd-2bc1-5cc7-8fca-58bd1dea2785,False infographic shows Malaysians need a fourth vaccine dose,factcheck_afp,English,FALSE,1,infographic,['infographic'],1.0,9,en,104,104_malaysia_malaysian_malaysians_covid
36910,42298,17311,5963,http://data.gesis.org/claimskg/creative_work/b7ae2731-fb33-52da-a8df-2fd89a23db60,Malaysia has executed doctor for killing patient with Covid-19 vaccine,factcheck_afp,English,FALSE,1,"Covid-19 vaccine, Malaysia","['Covid-19 vaccine', ' Malaysia']",2.0,10,en,104,104_malaysia_malaysian_malaysians_covid
37120,42521,16243,4895,http://data.gesis.org/claimskg/creative_work/7cdb1eee-9a52-596a-8ae0-8daf7032c926,Photo shows suspicious needle switch during Malaysian prime minister’s Covid-19 jab,factcheck_afp,English,FALSE,1,"Covid-19, Malaysian prime minister","['Covid-19', ' Malaysian prime minister']",2.0,11,en,104,104_malaysia_malaysian_malaysians_covid
37149,42551,15998,4650,http://data.gesis.org/claimskg/creative_work/40d177ea-90bb-5959-811d-a83968aa0d7b,Malaysia has abolished Covid-19 vaccination requirements,factcheck_afp,English,FALSE,1,"Covid-19, Malaysia","['Covid-19', ' Malaysia']",2.0,6,en,104,104_malaysia_malaysian_malaysians_covid
38594,44035,14233,2885,http://data.gesis.org/claimskg/creative_work/aca8eef2-a140-5e13-806d-cf9bc4cc2020,Video shows physical Covid-19 vaccine cards issued by Malaysian government,factcheck_afp,English,FALSE,1,"Covid-19 vaccine, Malaysian government","['Covid-19 vaccine', ' Malaysian government']",2.0,10,en,104,104_malaysia_malaysian_malaysians_covid
40048,45696,17696,6348,http://data.gesis.org/claimskg/creative_work/f75a1d1d-c763-57f1-960b-6061b977e66c,Malaysia gets hajj quota during the pandemic,factcheck_afp,English,FALSE,1,"Malaysia, hajj","['Malaysia', ' hajj']",2.0,7,en,104,104_malaysia_malaysian_malaysians_covid
42748,48682,12640,1292,http://data.gesis.org/claimskg/creative_work/ec6b80a2-b074-55b5-834e-f995117a79c4,UNHCR says refugees in Malaysia are resisting COVID-19 tests,factcheck_afp,English,FALSE,1,"COVID-19 tests, Malaysia, UNHCR","['COVID-19 tests', ' Malaysia', ' UNHCR']",3.0,9,en,104,104_malaysia_malaysian_malaysians_covid
55589,62016,14520,3172,http://data.gesis.org/claimskg/creative_work/f22cbbc4-172b-5cdb-a105-9c6f3c0c2430,"Malaysia will administer Pfizer's Covid-19 vaccines to Muslims, Sinovac vaccines to non-Muslims",factcheck_afp,English,FALSE,1,"Covid-19 vaccines, Malaysia, Pfizer, Sinovac","['Covid-19 vaccines', ' Malaysia', ' Pfizer', ' Sinovac']",4.0,12,en,104,104_malaysia_malaysian_malaysians_covid
56524,63004,12912,1564,http://data.gesis.org/claimskg/creative_work/b85bd4cf-b662-5b9c-832f-7245f77d0910,Photo shows Pfizer’s Covid-19 vaccines sold online in Malaysia,factcheck_afp,English,FALSE,1,"Covid-19 vaccines, Malaysia, Pfizer, sold online","['Covid-19 vaccines', ' Malaysia', ' Pfizer', ' sold online']",4.0,9,en,104,104_malaysia_malaysian_malaysians_covid
62304,69026,13667,2319,http://data.gesis.org/claimskg/creative_work/ddd91049-ada6-5caa-b724-f220344250ec,US cardiologist Dr Peter McCullough exposes truth about Covid-19 vaccinations to Malaysia,factcheck_afp,English,FALSE,1,"Covid-19, Dr, Malaysia, Peter McCullough, cardiologist","['Covid-19', ' Dr', ' Malaysia', ' Peter McCullough', ' cardiologist']",5.0,12,en,104,104_malaysia_malaysian_malaysians_covid
