Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
20497,25434,7070,832,http://data.gesis.org/claimskg/creative_work/8b2ed88d-f7a2-5314-8c69-44bb96396e9c,"A viral Facebook post shared more than 3,400 times claims Madagascar has found a coronavirus medicine that can wipe out the virus at any stage within a period of six days.",checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,31,en,103,103_covid19_madagascar_coronavirus_covidorganics
21209,26194,5306,5306,http://data.gesis.org/claimskg/creative_work/9479ed54-f579-5885-90ba-d618d2f11e70,"Yes, teenager Anika Chebrolu awarded US$25,000 for work on potential Covid-19 treatment",africacheck,English,TRUE,3,Covid-19,['Covid-19'],1.0,12,en,103,103_covid19_madagascar_coronavirus_covidorganics
36018,41371,4357,4357,http://data.gesis.org/claimskg/creative_work/9fdc6439-4424-5fee-85e5-b3a68fd0c43a,"No, US coronavirus aid for Madagascar won’t fund ‘Covid-19 remedy’",africacheck,English,FALSE,1,"Covid-19, Madagascar","['Covid-19', ' Madagascar']",2.0,10,en,103,103_covid19_madagascar_coronavirus_covidorganics
44271,50318,5066,5066,http://data.gesis.org/claimskg/creative_work/68cf7a55-4d90-53fb-96e6-df9fa0664ca9,"No, Madagascar president didn’t say in interview that WHO offered him $20m to poison Covid-19 remedy",africacheck,English,FALSE,1,"Covid-19, Madagascar, WHO","['Covid-19', ' Madagascar', ' WHO']",3.0,16,en,103,103_covid19_madagascar_coronavirus_covidorganics
47137,53317,298,298,http://data.gesis.org/claimskg/creative_work/09d8f3ff-3581-5daf-a46f-27065eca8e4f,"Madagascar’s president said WHO supporting clinical observations of Covid-Organics, not endorsing it as cure",africacheck,English,FALSE,1,"Covid-Organics, Madagascar, WHO","['Covid-Organics', ' Madagascar', ' WHO']",3.0,14,en,103,103_covid19_madagascar_coronavirus_covidorganics
57339,63843,1792,1792,http://data.gesis.org/claimskg/creative_work/9e73cbe6-2ac1-5968-80cd-9af1a22f8506,No evidence that Madagascar’s artemisia-based tonic cures Covid-19,africacheck,English,FALSE,1,"Covid-19, Madagascar, artemisia, tonic","['Covid-19', ' Madagascar', ' artemisia', ' tonic']",4.0,8,en,103,103_covid19_madagascar_coronavirus_covidorganics
59007,65550,6163,6163,http://data.gesis.org/claimskg/creative_work/5e6dec6c-fbe1-54d0-a07e-023d49f5c32a,No evidence Russian president Putin ordered Madagascar’s Covid-19 ‘cure’,africacheck,English,FALSE,1,"Covid-19, Madagascar, Putin, Russian president","['Covid-19', ' Madagascar', ' Putin', ' Russian president']",4.0,9,en,103,103_covid19_madagascar_coronavirus_covidorganics
61026,67712,2946,2946,http://data.gesis.org/claimskg/creative_work/f122928b-262a-5eb1-88ba-31ad89f48243,"No, African leaders haven’t endorsed Madagascar’s ‘herbal medicine’ as coronavirus vaccine",africacheck,English,FALSE,1,"African, Madagascar, coronavirus vaccine, herbal medicine","['African', ' Madagascar', ' coronavirus vaccine', ' herbal medicine']",4.0,11,en,103,103_covid19_madagascar_coronavirus_covidorganics
63492,70361,10686,4448,http://data.gesis.org/claimskg/creative_work/18c94ee8-111e-5007-ba14-bc1f289df01b,A post shared on Facebook claims President Donald Trump approved $2.5 million for the mass production of the herbal tonic touted by Madagascar’s president as a COVID-19 remedy.,checkyourfact,English,FALSE,1,"Facebook, Madagascar, President Donald Trump, herbal tonic, mass production","['Facebook', ' Madagascar', ' President Donald Trump', ' herbal tonic', ' mass production']",5.0,28,en,103,103_covid19_madagascar_coronavirus_covidorganics
64699,71627,6519,281,http://data.gesis.org/claimskg/creative_work/b95341ec-2f70-521a-b730-f99d115b4c7c,A viral Instagram post claims Madagascan President Andry Rajoelina said the World Health Organization (WHO) offered him a $20 million bribe to poison an alleged COVID-19 cure.,checkyourfact,English,FALSE,1,"Andry Rajoelina, COVID-19, Instagram, Madagascan, WHO, World Health Organization","['Andry Rajoelina', ' COVID-19', ' Instagram', ' Madagascan', ' WHO', ' World Health Organization']",6.0,27,en,103,103_covid19_madagascar_coronavirus_covidorganics
64891,71824,28855,897,http://data.gesis.org/claimskg/creative_work/226407e5-1443-5661-a573-aa63595ef519,Madagascar’s President Promised a Miracle Coronavirus Cure. It Didn’t Work.,polygraph,English,FALSE,1,"Cure, Madagascar, Miracle, President, Promised, Work","['Cure', ' Madagascar', ' Miracle', ' President', ' Promised', ' Work']",6.0,10,en,103,103_covid19_madagascar_coronavirus_covidorganics
