File Name,Super Label
narrative_1.csv,"""Joe Biden's Proposed Tax Policies"""
narrative_2.csv,"""Joe Biden's Infrastructure and Mileage Tax Proposals"""
narrative_3.csv,"""Joe Biden's Taxation and Zoning Policies"""
narrative_4.csv,"""Joe Biden's Proposed Tax Policy on 401(k) Retirement Accounts"""
narrative_5.csv,"""Joe Biden's Tax Policies and Proposals"""
narrative_6.csv,"""Joe Biden's Capital Gains Tax Policy"""
narrative_7.csv,"""Joe Biden's Proposed Tax Policies and Increases"""
narrative_8.csv,"""Joe Biden's Tax Proposals and Their Impacts on American Citizens and Corporations"""
narrative_9.csv,"""Monitoring of Bank Accounts by IRS"""
narrative_10.csv,"""Joe Biden's Tax Policies and Impact on American Economy"""
narrative_11.csv,"""Joe Biden's Tax Policies and Their Impact"""
narrative_12.csv,"""Ford's Investment Decisions in Relation to U.S. Presidential Tax Policies"""
narrative_13.csv,"""Dave Ramsey's Facebook Post on Joe Biden's Tax Plan"""
narrative_14.csv,"""Fact-checking Claims about Joe Biden's Tax Proposals During his Presidential Campaign"""
narrative_15.csv,"""Fact-Checking Tax Policies of Trump and Biden Administrations"""
