Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
11611,15965,27415,5870,http://data.gesis.org/claimskg/creative_work/62e677a3-81fb-51c2-b928-c1e6e4cf9026,A majority are in favour of Thailand’s policy of admitting vaccinated travellers.,fullfact,English,OTHER,-1,Thailand,['Thailand'],1.0,12,en,90,90_thai_thailand_bangkok_thailands
19004,23797,14188,2840,http://data.gesis.org/claimskg/creative_work/12ffe521-7d0f-5e0a-9cdf-55c792325c42,Thai government imposes nationwide Covid-19 curfew in April 2021,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,9,en,90,90_thai_thailand_bangkok_thailands
19647,24541,13301,1953,http://data.gesis.org/claimskg/creative_work/73aa287a-5cbe-5d6b-9573-a411c2d4a9b7,Students forced to come to school to welcome Thai PM during pandemic visit,factcheck_afp,English,FALSE,1,Thai PM,['Thai PM'],1.0,13,en,90,90_thai_thailand_bangkok_thailands
20664,25605,15780,4432,http://data.gesis.org/claimskg/creative_work/320ea7f3-c2e1-56ab-8bb6-8e3d10fa820f,Thailand enters highest stage of pandemic?,factcheck_afp,English,FALSE,1,Thailand,['Thailand'],1.0,6,en,90,90_thai_thailand_bangkok_thailands
22070,27153,12639,1291,http://data.gesis.org/claimskg/creative_work/9d6f23a5-3183-585b-a48b-1a33cc444c27,Thai king chanting Islamic invocation to get rid of coronavirus,factcheck_afp,English,FALSE,1,Thai king,['Thai king'],1.0,10,en,90,90_thai_thailand_bangkok_thailands
36946,42336,17413,6065,http://data.gesis.org/claimskg/creative_work/ca5d5c7b-5722-55f5-981d-db56a09017a3,Thai PM receive 4 Covid-19 jabs,factcheck_afp,English,FALSE,1,"Covid-19, Thai PM","['Covid-19', ' Thai PM']",2.0,6,en,90,90_thai_thailand_bangkok_thailands
38413,43849,14801,3453,http://data.gesis.org/claimskg/creative_work/a1074518-cc6f-5944-8122-2bc7e6648802,Thailand's former prime minister gave public speech on economic impact of coronavirus pandemic,factcheck_afp,English,FALSE,1,"Thailand, coronavirus pandemic","['Thailand', ' coronavirus pandemic']",2.0,13,en,90,90_thai_thailand_bangkok_thailands
47821,54006,12116,768,http://data.gesis.org/claimskg/creative_work/50a64627-62fe-5d09-9c57-507b3fc57176,Thailand has the highest new Covid-19 cases on June 28,factcheck_afp,English,FALSE,1,"Covid-19, June 28, Thailand","['Covid-19', ' June 28', ' Thailand']",3.0,10,en,90,90_thai_thailand_bangkok_thailands
50847,57224,14969,3621,http://data.gesis.org/claimskg/creative_work/de766431-e538-5bc8-b951-b67fa71fa067,Thailand has ranked no. 1 in the COVID-19 fight category based on an international health security and preparedness index,factcheck_afp,English,FALSE,1,"COVID-19, Thailand, international health","['COVID-19', ' Thailand', ' international health']",3.0,19,en,90,90_thai_thailand_bangkok_thailands
53071,59459,14596,3248,http://data.gesis.org/claimskg/creative_work/e606405f-061d-5ceb-8bfd-70932be2887f,Thai king summons Muslim clerics to pray to get rid of Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, Muslim, Thai king","['Covid-19', ' Muslim', ' Thai king']",3.0,12,en,90,90_thai_thailand_bangkok_thailands
54541,60947,16069,4721,http://data.gesis.org/claimskg/creative_work/255db031-89dc-5490-a88e-f4ddd60a9c0f,"In March 2021, eleven hospitals in Bangkok are offering free Covid-19 vaccines to anyone aged 19 to 59",factcheck_afp,English,FALSE,1,"Bangkok, Covid-19 vaccines, March 2021","['Bangkok', ' Covid-19 vaccines', ' March 2021']",3.0,18,en,90,90_thai_thailand_bangkok_thailands
54785,61194,16299,4951,http://data.gesis.org/claimskg/creative_work/df000605-c97d-5dfb-b614-1b928c7b3300,Thai tourists can get free Covid-19 vaccines in neighbouring Laos,factcheck_afp,English,FALSE,1,"Covid-19 vaccines, Laos, Thai","['Covid-19 vaccines', ' Laos', ' Thai']",3.0,10,en,90,90_thai_thailand_bangkok_thailands
57477,63986,16737,5389,http://data.gesis.org/claimskg/creative_work/03e10d16-7672-517a-a0e7-ef746d1560b5,PM 2.5 will increase the mortality rate of Covid-19 in Thailand,factcheck_afp,English,FALSE,1,"Covid-19, PM 2.5, Thailand, mortality rate","['Covid-19', ' PM 2.5', ' Thailand', ' mortality rate']",4.0,11,en,90,90_thai_thailand_bangkok_thailands
66160,73197,29063,1105,http://data.gesis.org/claimskg/creative_work/dfe28d60-1011-548d-8143-b139f5cb2dfd,"Amid Pandemic Crisis, Thai PM Moves to Stifle Critics",polygraph,English,MIXTURE,2,"Amid, Belarusian, Conceal, Crisis, Critics, Harassment, Media, Moves, Olympic Athlete, Pandemic, State, Thai PM","['Amid', ' Belarusian', ' Conceal', ' Crisis', ' Critics', ' Harassment', ' Media', ' Moves', ' Olympic Athlete', ' Pandemic', ' State', ' Thai PM']",12.0,9,en,90,90_thai_thailand_bangkok_thailands
