Topic,Count,Name,Representation,Representative_Docs
-1,2002,-1_covid19_covid_vaccinated_vaccines,"['covid19', 'covid', 'vaccinated', 'vaccines', 'vaccination', 'vaccine', 'coronavirus', 'pandemic', 'unvaccinated', 'outbreak']","['A post shared on Facebook claims French President Emmanuel Macron said, This time you stay at home, not us in reference to people who refuse to be vaccinated.', 'A viral Instagram post claims the Centers for Disease Control and Prevention (CDC) said that the common cold can cause a positive COVID-19 test result.', 'An image shared on Facebook purportedly shows children in South Africa who died after receiving COVID-19 vaccines.']"
0,138,0_masks_maskwearing_mask_masked,"['masks', 'maskwearing', 'mask', 'masked', 'covid', 'respirators', 'prevention', 'covid19', 'coronavirus', 'prevent']","['Study by US CDC found face masks do little to prevent the spread of Covid-19', 'A Facebook post is correct in saying N95 masks, surgical masks, and cloth masks can be dangerous and/or ineffective in protecting against the spread of COVID-19 based on CDC and U.S. Occupational Safety and Health Administration (OSHA) guidelines.', 'Healthy people should not wear face masks during the COVID-19 pandemic because they are ineffective and dangerous']"
1,135,1_covid19_flu_outbreak_hoax,"['covid19', 'flu', 'outbreak', 'hoax', 'infectious', 'pneumonia', 'antifa', 'virus', 'antivaxxer', 'cdc']","['An image shared on Facebook claims flu cases being labeled as COVID-19 cases was the reason for low flu activity during the 2020-2021 flu season.', 'Asymptomatic transmission of Covid-19 is a hoax.', 'Says Sarah Huckabee Sanders tweeted, It’s ‘odd’ that the ANTIFA insurgency happened just as COVID-19 loses steam It’s ‘odd’ that COVID-19 happened the moment impeachment failed. It’s ‘odd’ that impeachment happened the moment Russian hoax failed. The Russian hoax happened because Hillary lost? Notice the pattern?']"
2,122,2_protesting_protests_protest_protesters,"['protesting', 'protests', 'protest', 'protesters', 'covid19', 'protestors', 'france', 'demonstrators', 'protester', 'demonstrations']","['Video shows anti-vaccine protest in France in 2021', 'An image shared on Facebook purportedly shows a recent protest in France against COVID-19 restrictions.', 'Video shows protest against Covid restrictions in Germany']"
3,93,3_vaccine_pfizer_pfizerbiontech_bourla,"['vaccine', 'pfizer', 'pfizerbiontech', 'bourla', 'ceo', 'fda', 'pfizers', 'pharmaceutical', 'covid19', 'resigned']","['Pfizer CEO Albert Bourla resigned, saying mRNA vaccines are not safe.', 'Pfizer CEO Albert Bourla refused to take the Pfizer-BioNTech COVID-19 vaccine.', 'A post shared on Facebook claims Pfizer CEO Albert Bourla refused to take his company’s vaccine.']"
4,87,4_vaccines_vaccine_covid19_covid,"['vaccines', 'vaccine', 'covid19', 'covid', 'vaccination', 'vaccinated', 'deaths', 'hundreds', 'thousands', 'severe']","['Up until 26 May 2021 there have been 888,196 adverse reactions to Covid-19 vaccines and 1,253 deaths where doctors have acknowledged that it is caused by the jab.', 'There have been 1,517 deaths and 1,102,228 adverse reactions caused by the Covid-19 vaccines.', 'Covid-19 vaccines have caused 859,481 adverse reactions.']"
5,86,5_coronavirus_china_chinas_viruses,"['coronavirus', 'china', 'chinas', 'viruses', 'outbreak', 'chinese', 'origin', 'infected', 'lab', 'origins']","['A video shared on Facebook purportedly shows the seafood market in Wuhan, China, where the novel 2019 coronavirus is believed to have originated.', 'Financier George Soros owns the lab in Wuhan, China, where the COVID-19 coronavirus disease was developed.', 'CORONAVIRUS: Reports of 10,000 DEAD in Wuhan, China.']"
6,86,6_vaccine_vaccinated_unvaccinated_biden,"['vaccine', 'vaccinated', 'unvaccinated', 'biden', 'covid', 'covid19', 'quarantine', 'bidens', 'viral', 'presidential']","['U.S. President-elect Joe Biden said he will get the COVID-19 vaccination in public on television.', 'An image shared on Facebook claims President Joe Biden announced that Americans not vaccinated against COVID-19 before 2022 will be put in quarantine camps.', 'Joe Biden announced unvaccinated Americans will be sent to camps']"
7,78,7_vaccine_vaccines_vaccinated_vaccinations,"['vaccine', 'vaccines', 'vaccinated', 'vaccinations', 'vaccinate', 'coronavirus', 'microsoft', 'melinda', 'billion', 'polio']","['Bill Gates has called for the withdrawal of all Covid-19 vaccines.', 'Bill Gates not testing Covid-19 vaccine in Africa', 'Bill Gates created the new coronavirus and a vaccine for it.']"
8,65,8_vaccination_vaccine_vaccinations_vaccinated,"['vaccination', 'vaccine', 'vaccinations', 'vaccinated', 'hipaa', 'mandatory', 'cdc', 'mandate', 'requiring', 'passports']","['An image shared on Facebook claims Marine Corps Gen. David H. Berger told Defense Secretary Lloyd Austin that there will be no mandatory vaccinations for my marines.', 'An app will be placed on your phone without your consent and a QR code on the app will show your vaccine status. Shops and businesses will have a QR scanner that will indicate whether you are allowed to enter based on your vaccine status.', ""The government's plan to make vaccines a requirement for employment within the NHS cannot be enforced unless it is already written into the contract that you must take part in medical trials and accept unlicensed drugs.""]"
