Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
9748,14089,25067,3522,http://data.gesis.org/claimskg/creative_work/5e14a3e7-5ead-51f3-9c37-371dc12612dd,The US military has found pesticides in Moderna’s Covid-19 vaccines.,fullfact,English,FALSE,1,Moderna,['Moderna'],1.0,10,en,53,53_vaccines_vaccine_covid19_pesticides
12721,17086,42237,3410,http://data.gesis.org/claimskg/creative_work/0aec2ca8-0a33-5942-8656-68d5b4666f24,"The Moderna vaccine contains an ingredient that is for research use only, not meant for human or veterinary use.",politifact,English,False,1,Moderna vaccine,['Moderna vaccine'],1.0,19,en,53,53_vaccines_vaccine_covid19_pesticides
13149,17520,43319,4492,http://data.gesis.org/claimskg/creative_work/28015ec1-76f4-5ea6-80aa-5b2548883552,Documents were published confirming Moderna created the COVID-19 Virus.,politifact,English,False,1,COVID-19,['COVID-19'],1.0,9,en,53,53_vaccines_vaccine_covid19_pesticides
19840,24764,16272,4924,http://data.gesis.org/claimskg/creative_work/1f576202-61cb-53aa-b4d9-8dd1c772077e,Moderna developed a Covid-19 vaccine in 2019,factcheck_afp,English,FALSE,1,Covid-19 vaccine,['Covid-19 vaccine'],1.0,7,en,53,53_vaccines_vaccine_covid19_pesticides
22520,27656,11981,633,http://data.gesis.org/claimskg/creative_work/52ee6e6d-1470-58c5-92dd-018a645c8f10,Moderna Covid-19 vaccine causes degenerative disease shown in these photos,factcheck_afp,English,FALSE,1,degenerative disease,['degenerative disease'],1.0,10,en,53,53_vaccines_vaccine_covid19_pesticides
26729,31995,52027,4157,http://data.gesis.org/claimskg/creative_work/490b2ce6-2379-5367-afe5-d045e69e121f,Moderna COVID vaccine is no longer recommended due to heart inflammation.,politifact,English,MIXTURE,2,"Moderna COVID vaccine, heart inflammation","['Moderna COVID vaccine', ' heart inflammation']",2.0,11,en,53,53_vaccines_vaccine_covid19_pesticides
26966,32234,11034,4796,http://data.gesis.org/claimskg/creative_work/170c44fa-711d-5479-a8db-9397e4837be4,"A video shared on Facebook claims Moderna admitted it started to develop a COVID-19 vaccine in January 2020, before SARS-CoV-2 was officially named.",checkyourfact,English,FALSE,1,"COVID-19 vaccine, Facebook","['COVID-19 vaccine', ' Facebook']",2.0,23,en,53,53_vaccines_vaccine_covid19_pesticides
35041,40382,66185,4156,http://data.gesis.org/claimskg/creative_work/ea00e7b0-c550-53b0-888a-fe5bc7c28ca6,One or all of the COVID-19 vaccines available in 2021 were called Luciferase.,snopes,English,False,1,"COVID-19 vaccines, Luciferase","['COVID-19 vaccines', ' Luciferase']",2.0,13,en,53,53_vaccines_vaccine_covid19_pesticides
35420,40766,62400,371,http://data.gesis.org/claimskg/creative_work/9d224fe3-78ea-5d40-ac53-211ea82edfe1,The Moderna COVID-19 vaccine contains luciferase.,snopes,English,False,1,"Moderna COVID-19 vaccine, luciferase","['Moderna COVID-19 vaccine', ' luciferase']",2.0,6,en,53,53_vaccines_vaccine_covid19_pesticides
37977,43402,13770,2422,http://data.gesis.org/claimskg/creative_work/b7ed22fc-fd4d-56b6-a960-0dce2c1ef8ca,Nuns contracted Covid-19 from Moderna vaccine,factcheck_afp,English,FALSE,1,"Covid-19, Moderna vaccine","['Covid-19', ' Moderna vaccine']",2.0,6,en,53,53_vaccines_vaccine_covid19_pesticides
39625,45160,25638,4093,http://data.gesis.org/claimskg/creative_work/66574181-b0e3-50ff-86ce-f9c04dd4b77b,The Moderna booster vaccine protects you against both Covid-19 and flu.,fullfact,English,FALSE,1,"Moderna, flu","['Moderna', ' flu']",2.0,11,en,53,53_vaccines_vaccine_covid19_pesticides
46284,52452,11726,378,http://data.gesis.org/claimskg/creative_work/1fbc791c-a4d1-5de5-8780-8d63c52e08e4,Moderna Covid-19 vaccine ingredient SM-102 is not fit for human use,factcheck_afp,English,FALSE,1,"Covid-19 vaccine, Moderna, SM-102","['Covid-19 vaccine', ' Moderna', ' SM-102']",3.0,11,en,53,53_vaccines_vaccine_covid19_pesticides
47648,53832,716,716,http://data.gesis.org/claimskg/creative_work/0cbe7e9b-605d-57d2-bc52-5e718414cdbc,Pfizer and Moderna Covid-19 vaccines are vaccines – not anything else,africacheck,English,FALSE,1,"Covid-19 vaccines, Moderna, Pfizer","['Covid-19 vaccines', ' Moderna', ' Pfizer']",3.0,11,en,53,53_vaccines_vaccine_covid19_pesticides
