Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
554,2557,12293,945,http://data.gesis.org/claimskg/creative_work/6782e93c-04ac-5565-8192-d17ae1d25232,List of employers where Covid shot is not mandatory,factcheck_afp,English,MIXTURE,2,,,0.0,9,en,8,8_vaccination_vaccine_vaccinations_vaccinated
1965,4038,40649,1822,http://data.gesis.org/claimskg/creative_work/f4cc2bf4-3b87-5628-9f03-1dbb9cb6a3b7,"It's illegal for a college, public school or employer to mandate the vaccine because it was authorized for emergency use.",politifact,English,False,1,,,0.0,20,en,8,8_vaccination_vaccine_vaccinations_vaccinated
2024,4098,40841,2014,http://data.gesis.org/claimskg/creative_work/b655e4a9-451b-5902-bc45-d8373bba5494,The government has released their initial plans to force a vaccine on everyone.,politifact,English,False,1,,,0.0,13,en,8,8_vaccination_vaccine_vaccinations_vaccinated
2164,4244,13482,2134,http://data.gesis.org/claimskg/creative_work/256e3fb6-ef11-513f-8d86-47a54154aa21,"Message checking person's 'vaccine status', advises vaccinations to be mandatory",factcheck_afp,English,FALSE,1,,,0.0,10,en,8,8_vaccination_vaccine_vaccinations_vaccinated
2379,4465,39790,963,http://data.gesis.org/claimskg/creative_work/ed55c058-4e6a-5afd-9a31-974c0a8b6099,Businesses aren't allowed to ask customers if they’ve been vaccinated because there are HIPPA laws.,politifact,English,False,1,,,0.0,15,en,8,8_vaccination_vaccine_vaccinations_vaccinated
2450,4540,26758,5213,http://data.gesis.org/claimskg/creative_work/5e1db449-a4a1-5068-95e2-cc1147f2d8b7,You don’t have to follow the government’s rules after being vaccinated.,fullfact,English,OTHER,-1,,,0.0,11,en,8,8_vaccination_vaccine_vaccinations_vaccinated
2473,4563,22211,666,http://data.gesis.org/claimskg/creative_work/414aab46-67c4-5dd0-8b82-74d9e2f53ebd,Mandatory vaccine certificates are being introduced.,fullfact,English,OTHER,-1,,,0.0,6,en,8,8_vaccination_vaccine_vaccinations_vaccinated
2504,4594,26716,5171,http://data.gesis.org/claimskg/creative_work/423a4e13-592e-5c73-9b04-edc679bc50c5,The public won’t be able to claim compensation if unlicensed vaccines damage our health.,fullfact,English,OTHER,-1,,,0.0,14,en,8,8_vaccination_vaccine_vaccinations_vaccinated
2681,4773,22742,1197,http://data.gesis.org/claimskg/creative_work/e633ceb4-1bb4-5651-a722-f8446464243f,"These unlicensed vaccines will be administered by non-medical staff, such as your employer.",fullfact,English,OTHER,-1,,,0.0,13,en,8,8_vaccination_vaccine_vaccinations_vaccinated
2735,4828,26417,4872,http://data.gesis.org/claimskg/creative_work/65856a1f-4a60-5808-9ee2-46240eda7560,Mandatory vaccines became law from Wednesday 6 January 2021.,fullfact,English,FALSE,1,,,0.0,9,en,8,8_vaccination_vaccine_vaccinations_vaccinated
