Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
8605,12930,65608,3579,http://data.gesis.org/claimskg/creative_work/b6720a11-6909-5419-b12c-22ff2b9c4a36,A video features a compilation of athletes fainting due to the COVID-19 vaccine.,snopes,English,False,1,COVID-19 vaccine,['COVID-19 vaccine'],1.0,13,en,43,43_vaccine_vaccinated_vaccination_djokovic
12251,16609,45724,6897,http://data.gesis.org/claimskg/creative_work/a2cd515a-a26c-574a-ad6c-baa0c5832c07,Video shows people collapsing because of COVID-19 vaccines.,politifact,English,False,1,COVID-19 vaccines,['COVID-19 vaccines'],1.0,8,en,43,43_vaccine_vaccinated_vaccination_djokovic
12373,16735,45995,7168,http://data.gesis.org/claimskg/creative_work/127a4bdb-00fd-52a0-ba33-d0889d57b28c,A royal guard member collapsed because of the COVID-19 vaccine.,politifact,English,False,1,COVID-19 vaccine,['COVID-19 vaccine'],1.0,10,en,43,43_vaccine_vaccinated_vaccination_djokovic
13137,17508,43420,4593,http://data.gesis.org/claimskg/creative_work/75c4f85d-d688-5414-b50f-4631f6d08e12,Video shows pupils in Nigeria running away from being vaccinated.,politifact,English,False,1,Nigeria,['Nigeria'],1.0,10,en,43,43_vaccine_vaccinated_vaccination_djokovic
19277,24119,10632,4394,http://data.gesis.org/claimskg/creative_work/31478aad-c056-54d5-9f03-efceae9bfd7d,"A video shared on Twitter over 2,200 times purportedly shows a priest who was vaccinated against COVID-19 dying during a church service.",checkyourfact,English,FALSE,1,Twitter,['Twitter'],1.0,22,en,43,43_vaccine_vaccinated_vaccination_djokovic
19282,24125,12927,1579,http://data.gesis.org/claimskg/creative_work/27384166-c6ca-5fb3-a7f5-7fad7bd18eed,Video of Indonesian students falling sick after Covid-19 vaccination,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,9,en,43,43_vaccine_vaccinated_vaccination_djokovic
20234,25166,6875,637,http://data.gesis.org/claimskg/creative_work/37368b35-26bb-559d-a368-05ffa13e9061,A video shared on Twitter purportedly shows soldiers collapsing after the Indian military force vaccinated its troops.,checkyourfact,English,FALSE,1,Twitter,['Twitter'],1.0,17,en,43,43_vaccine_vaccinated_vaccination_djokovic
21137,26120,16894,5546,http://data.gesis.org/claimskg/creative_work/cf7e2f06-4e1b-5433-bb4b-a1dde651b68a,Video shows man dying shortly after receiving Covid-19 vaccine?,factcheck_afp,English,FALSE,1,Covid-19 vaccine,['Covid-19 vaccine'],1.0,9,en,43,43_vaccine_vaccinated_vaccination_djokovic
21245,26233,16711,5363,http://data.gesis.org/claimskg/creative_work/9bd75891-eed0-5198-9656-77b83848461e,Indonesian man fainting after receiving Covid-19 vaccine,factcheck_afp,English,FALSE,1,Covid-19 vaccine,['Covid-19 vaccine'],1.0,7,en,43,43_vaccine_vaccinated_vaccination_djokovic
21377,26367,14569,3221,http://data.gesis.org/claimskg/creative_work/7ab2133a-d73f-503e-9a4c-b21047514640,769 athletes collapsed on the field in a year due to the Covid-19 vaccine,factcheck_afp,English,OTHER,-1,Covid-19 vaccine,['Covid-19 vaccine'],1.0,14,en,43,43_vaccine_vaccinated_vaccination_djokovic
