Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
657,2666,42877,4050,http://data.gesis.org/claimskg/creative_work/fbc6797e-e3e8-5e94-b3df-29ec06a9b341,COVID19 PCR tests are scientifically meaningless.,politifact,English,False,1,,,0.0,6,en,33,33_covid19_pcr_covid_diagnostic
1614,3637,14467,3119,http://data.gesis.org/claimskg/creative_work/5c23a904-5dd6-5619-9fc4-d33d9aaac5b2,"Elites planned the pandemic, used PCR tests to justify lockdowns",factcheck_afp,English,FALSE,1,,,0.0,10,en,33,33_covid19_pcr_covid_diagnostic
2844,5187,21944,399,http://data.gesis.org/claimskg/creative_work/ca0750b3-f69c-5b1e-8d11-e55defdf158a,Kary B Mullis invented the PCR test that’s being used as the Covid-19 test. He died suddenly in August 2019.,fullfact,English,OTHER,-1,,,0.0,20,en,33,33_covid19_pcr_covid_diagnostic
3678,6037,25480,3935,http://data.gesis.org/claimskg/creative_work/2bdee40d-fbea-53fb-8313-0ee104ba6f5d,"PCR tests aren't about testing for Covid-19, they are cloning devices.",fullfact,English,FALSE,1,,,0.0,11,en,33,33_covid19_pcr_covid_diagnostic
4336,8193,27757,6212,http://data.gesis.org/claimskg/creative_work/57c57cd2-dc04-5da9-b63e-69dd73851dc1,Dominic Raab said that Covid-19 tests have a 93% false positive rate.,fullfact,English,OTHER,-1,,,0.0,12,en,33,33_covid19_pcr_covid_diagnostic
10059,14401,25578,4033,http://data.gesis.org/claimskg/creative_work/123660e2-3408-5e3c-805c-7c657596d829,97% of positive PCR tests for the Covid-19 virus are false.,fullfact,English,FALSE,1,PCR tests,['PCR tests'],1.0,11,en,33,33_covid19_pcr_covid_diagnostic
19855,24779,16300,4952,http://data.gesis.org/claimskg/creative_work/df89a5ab-03bf-5c69-9692-d7a6cec6796a,PCR tests can't tell flu from Covid-19,factcheck_afp,English,MIXTURE,2,Covid-19,['Covid-19'],1.0,7,en,33,33_covid19_pcr_covid_diagnostic
21211,26197,16757,5409,http://data.gesis.org/claimskg/creative_work/c3678b09-fc04-5987-aaa1-377f10c6307c,Johns Hopkins said that getting a PCR test is the same as vaccination,factcheck_afp,English,FALSE,1,PCR test,['PCR test'],1.0,13,en,33,33_covid19_pcr_covid_diagnostic
21467,26459,17051,5703,http://data.gesis.org/claimskg/creative_work/57096d38-cb64-5604-8d54-5b360e0605e1,Dr. Roberto Petrella claims PCR tests ineffective for detecting COVID-19 and new vaccine will weaken immune systems,factcheck_afp,English,FALSE,1,COVID-19,['COVID-19'],1.0,17,en,33,33_covid19_pcr_covid_diagnostic
23202,28356,23509,1964,http://data.gesis.org/claimskg/creative_work/4e3d5b20-194f-56ec-b2cc-13e71ac4ee75,PCR tests should not be used to diagnose Covid-19.,fullfact,English,OTHER,-1,Covid-19,['Covid-19'],1.0,9,en,33,33_covid19_pcr_covid_diagnostic
24317,29573,7934,1696,http://data.gesis.org/claimskg/creative_work/f46816d7-0bdf-580c-b7ef-d83cb7759fd3,A post shared on Facebook claims the Centers for Disease Control and Prevention (CDC) said polymerase chain reaction (PCR) tests do not distinguish between COVID-19 and the flu.,checkyourfact,English,FALSE,1,"Facebook, PCR","['Facebook', ' PCR']",2.0,28,en,33,33_covid19_pcr_covid_diagnostic
27673,32947,45346,6519,http://data.gesis.org/claimskg/creative_work/9bbcc0ff-5aa6-5025-93af-fed0391ba919,"Johns Hopkins University confirms: You can be vaccinated with a PCR test, even without knowing",politifact,English,False,1,"Johns Hopkins University, PCR test","['Johns Hopkins University', ' PCR test']",2.0,15,en,33,33_covid19_pcr_covid_diagnostic
33062,38384,5189,5189,http://data.gesis.org/claimskg/creative_work/f674ed2e-2abe-504d-b317-1ad76f224b27,"RT-PCR Covid-19 test detects genetic material of new coronavirus, and ‘inventor’ died before outbreak",africacheck,English,FALSE,1,"Covid-19, RT-PCR","['Covid-19', ' RT-PCR']",2.0,14,en,33,33_covid19_pcr_covid_diagnostic
