Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
139,1149,17577,6229,http://data.gesis.org/claimskg/creative_work/bc5dad15-cfbb-5aa9-b09f-fdc7e602080f,Photo shows French protests against new vaccination regulations,factcheck_afp,English,FALSE,1,,,0.0,8,en,2,2_protesting_protests_protest_protesters
319,2318,11397,49,http://data.gesis.org/claimskg/creative_work/f6544ef2-852d-5744-a13b-42165046afe3,Photo shows beach chairs reserved for vaccinated Israelis,factcheck_afp,English,FALSE,1,,,0.0,8,en,2,2_protesting_protests_protest_protesters
2108,4184,12981,1633,http://data.gesis.org/claimskg/creative_work/9205a351-0e60-5b14-96b3-0d9e3c218339,Video of burning Italian military barracks containing vaccines,factcheck_afp,English,FALSE,1,,,0.0,8,en,2,2_protesting_protests_protest_protesters
3133,5487,23907,2362,http://data.gesis.org/claimskg/creative_work/b418cde0-e683-5355-975b-3549ac051324,"A photo shows a protest in Vienna, with the vaccinated and unvaccinated standing together for what is right.",fullfact,English,OTHER,-1,,,0.0,18,en,2,2_protesting_protests_protest_protesters
7300,11569,59490,1330,http://data.gesis.org/claimskg/creative_work/0e342e22-17c9-5e72-b092-08722932be1a,A photograph shows a protester against pandemic stay-at-home orders holding a sign declaring that muzzles are for dogs and slaves.,snopes,English,True,3,,,0.0,20,en,2,2_protesting_protests_protest_protesters
7557,11841,66336,4307,http://data.gesis.org/claimskg/creative_work/76b26054-2709-56dd-b117-f51f54c7341f,Videos show the Los Angeles Sheriff's Department forcibly vaccinating people with special needs.,snopes,English,False,1,Los Angeles Sheriff's Department,"[""Los Angeles Sheriff's Department""]",1.0,13,en,2,2_protesting_protests_protest_protesters
8705,13031,30476,1329,http://data.gesis.org/claimskg/creative_work/caa3bb03-4683-5d93-aef5-7f1245901b12,A woman protesting stay-at-home measures against COVID-19 carried a sign saying Barack 6 Hussein 7 Obama 5 Covid=19,truthorfiction,English,FALSE,1,COVID-19,['COVID-19'],1.0,18,en,2,2_protesting_protests_protest_protesters
9893,14235,24744,3199,http://data.gesis.org/claimskg/creative_work/9ad21599-a7d9-5f83-b67e-3e63012bb72b,Photograph of people filling the streets of Paris was taken during protests against Covid-19 regulations on 17 July 2021.,fullfact,English,FALSE,1,Paris,['Paris'],1.0,19,en,2,2_protesting_protests_protest_protesters
10816,15163,27802,6257,http://data.gesis.org/claimskg/creative_work/9c4b325a-7b4e-5eca-bcf7-915810ae3a5b,"Tanks were seen in Paris’ Champs Élysées, around the same time as protests against France’s introduction of vaccine or immunity certification.",fullfact,English,OTHER,-1,Paris,['Paris'],1.0,21,en,2,2_protesting_protests_protest_protesters
11787,16142,44673,5846,http://data.gesis.org/claimskg/creative_work/3c832062-958c-5f8b-8c2c-0439a70d501a,A photo shows a large crowd in Berlin protesting the covid hoax.,politifact,English,False,1,Berlin,['Berlin'],1.0,12,en,2,2_protesting_protests_protest_protesters
13161,17532,43792,4965,http://data.gesis.org/claimskg/creative_work/da773162-e359-555c-a3ac-f91d913ca2e2,Photo shows people protesting against vaccine tyranny in France.,politifact,English,False,1,France,['France'],1.0,9,en,2,2_protesting_protests_protest_protesters
