Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
19318,24162,13080,1732,http://data.gesis.org/claimskg/creative_work/3da974f4-9f4a-5c9a-bcdc-7801fa46201c,This photo shows US President Joe Biden is swamped in executive orders.,factcheck_afp,English,FALSE,1,Joe Biden,['Joe Biden'],1.0,12,en,15,15_biden_orders_presidency_president
54436,60840,9574,3336,http://data.gesis.org/claimskg/creative_work/f71e3822-4e23-50c5-8e88-7cd3a2e2f0a4,An image shared on Facebook purportedly shows an executive order President Joe Biden signed to ban political humor directed at his administration.,checkyourfact,English,FALSE,1,"Facebook, executive order, political humor","['Facebook', ' executive order', ' political humor']",3.0,22,en,15,15_biden_orders_presidency_president
20575,25512,6330,92,http://data.gesis.org/claimskg/creative_work/f6ef19b3-d0ac-5bac-aaa6-09cfaea1c3cf,"A viral Facebook post shared over 2,000 times claims President Joe Biden signed 52 executive orders in one week.",checkyourfact,English,FALSE,1,President Joe Biden,['President Joe Biden'],1.0,19,en,15,15_biden_orders_presidency_president
55463,61888,29307,160,http://data.gesis.org/claimskg/creative_work/8c211dc6-80c9-55e7-83f9-adcad1f4c362,U.S. President Donald Trump can use Executive Order 13848 to prevent President-Elect Joe Biden from taking office.,truthorfiction,English,FALSE,1,"Executive Order, Joe Biden, President-Elect, U.S. President Donald Trump","['Executive Order', ' Joe Biden', ' President-Elect', ' U.S. President Donald Trump']",4.0,17,en,15,15_biden_orders_presidency_president
20005,24932,16540,5192,http://data.gesis.org/claimskg/creative_work/19586a2a-94a9-5a14-ae93-b28251a0b5ab,Video shows US President Joe Biden signing blank executive orders,factcheck_afp,English,FALSE,1,President Joe Biden,['President Joe Biden'],1.0,10,en,15,15_biden_orders_presidency_president
57898,64416,73843,2557,http://data.gesis.org/claimskg/creative_work/dd9baef9-98e5-5bb9-b720-c53e86538f68,"In September 2020, U.S. President Donald Trump said he might sign an executive order barring Joe Biden from ever becoming U.S. president.",snopes,English,MIXTURE,2,"Joe Biden, U.S. President Donald Trump, U.S. president, executive order","['Joe Biden', ' U.S. President Donald Trump', ' U.S. president', ' executive order']",4.0,22,en,15,15_biden_orders_presidency_president
21045,26023,8152,1914,http://data.gesis.org/claimskg/creative_work/b3efa67c-a61d-55d6-ad5a-f4777eb04f43,A post shared on Facebook claims President Joe Biden signed blank executive orders.,checkyourfact,English,FALSE,1,President Joe Biden,['President Joe Biden'],1.0,13,en,15,15_biden_orders_presidency_president
25428,30687,6867,629,http://data.gesis.org/claimskg/creative_work/cf0ceaa6-0192-5b62-8988-16247c2676ed,A post shared on Facebook claims President Joe Biden signed an executive order to tear down the U.S.-Mexico border wall.,checkyourfact,English,FALSE,1,"Facebook, President Joe Biden","['Facebook', ' President Joe Biden']",2.0,20,en,15,15_biden_orders_presidency_president
29332,34622,69717,7688,http://data.gesis.org/claimskg/creative_work/b5331c9d-21b9-5e1a-bd32-92dd06e6c0d4,"U.S President Joe Biden signed blank executive orders on Jan. 21, 2021, rendering those orders invalid.",snopes,English,False,1,"Joe Biden, U.S President","['Joe Biden', ' U.S President']",2.0,16,en,15,15_biden_orders_presidency_president
49029,55337,71569,283,http://data.gesis.org/claimskg/creative_work/e8cc4130-ad22-508a-a53f-62f5c20b5154,"When he was still a candidate for the presidency in October 2020, U.S. President Joe Biden said, You can’t legislate by executive order unless you’re a dictator.",snopes,English,MIXTURE,2,"U.S. President Joe Biden, candidate for the presidency, executive order","['U.S. President Joe Biden', ' candidate for the presidency', ' executive order']",3.0,27,en,15,15_biden_orders_presidency_president
