Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
31939,37251,72218,932,http://data.gesis.org/claimskg/creative_work/0cf6fbf5-979f-56b9-aaaf-2e4bd3a6b89e,A Biden election official was arrested for widespread election fraud in Texas in January 2021.,snopes,English,MIXTURE,2,"Texas, election fraud","['Texas', ' election fraud']",2.0,15,en,26,26_biden_arrested_election_electoral
33290,38613,6398,160,http://data.gesis.org/claimskg/creative_work/4030149d-cce6-5bfb-97c0-c42b54256d48,An image shared on Facebook claims to show a Fox News article reporting the Biden administration plans to confiscate farm equipment.,checkyourfact,English,FALSE,1,"Biden administration, Facebook","['Biden administration', ' Facebook']",2.0,21,en,26,26_biden_arrested_election_electoral
43035,48995,30642,1495,http://data.gesis.org/claimskg/creative_work/5c933b01-97bd-5aaa-9596-9505cf7285a2,"A photograph shows Dallas Jones, a Joe Biden campaign director, being arrested for electoral fraud.",truthorfiction,English,FALSE,1,"Joe Biden, campaign director, electoral fraud","['Joe Biden', ' campaign director', ' electoral fraud']",3.0,15,en,26,26_biden_arrested_election_electoral
48101,54299,11370,22,http://data.gesis.org/claimskg/creative_work/38c0b8dd-4dce-5246-ba71-f4bc6826b4dd,Biden’s Texas campaign director was arrested for election fraud,factcheck_afp,English,FALSE,1,"Biden, Texas campaign, election fraud","['Biden', ' Texas campaign', ' election fraud']",3.0,9,en,26,26_biden_arrested_election_electoral
51418,57798,40073,1246,http://data.gesis.org/claimskg/creative_work/59754694-e205-5243-8c48-f0603f86aa36,A Texas farmer was arrested for using illegal immigrants for free labor by pretending to be Joe Biden.,politifact,English,False,1,"Joe Biden, free labor, illegal immigrants","['Joe Biden', ' free labor', ' illegal immigrants']",3.0,18,en,26,26_biden_arrested_election_electoral
53762,60153,7992,1754,http://data.gesis.org/claimskg/creative_work/4eaa6437-8248-53dd-8ea6-f36d4fd77908,An image shared on Facebook purportedly shows a screenshot of an NBC News article about a Texas farmer who was arrested for impersonating President Joe Biden and threatening to deport illegal immigrants.,checkyourfact,English,FALSE,1,"Facebook, Texas, screenshot","['Facebook', ' Texas', ' screenshot']",3.0,32,en,26,26_biden_arrested_election_electoral
54363,60765,40693,1866,http://data.gesis.org/claimskg/creative_work/82d45425-bee1-5d8a-a2b0-36c46f2acb94,Biden campaign director arrested for electoral fraud.,politifact,English,False,1,"Biden, campaign director, electoral fraud","['Biden', ' campaign director', ' electoral fraud']",3.0,7,en,26,26_biden_arrested_election_electoral
54580,60987,41882,3055,http://data.gesis.org/claimskg/creative_work/af87cedc-163d-5090-8219-db6fa8fa74aa,CBS stole a photo from Latinos for Trump in Phoenix and tagged it as a Biden event.,politifact,English,False,1,"Biden, CBS, Latinos for Trump","['Biden', ' CBS', ' Latinos for Trump']",3.0,17,en,26,26_biden_arrested_election_electoral
59348,65913,75224,877,http://data.gesis.org/claimskg/creative_work/378d5605-31cd-5980-971f-b6049c2cfb5a,A bus that crashed in Texas was found to be carrying undocumented persons into the state to support Joe Biden during a primary election.,snopes,English,OTHER,-1,"Joe Biden, Texas, primary election, undocumented persons","['Joe Biden', ' Texas', ' primary election', ' undocumented persons']",4.0,24,en,26,26_biden_arrested_election_electoral
61069,67757,30042,895,http://data.gesis.org/claimskg/creative_work/29eac100-d2a2-5811-8213-e33a590c50f1,A Texas official linked to President-Elect Joe Biden was arrested in Texas for engaging in voter fraud.,truthorfiction,English,FALSE,1,"Joe Biden, President-Elect, Texas, voter fraud","['Joe Biden', ' President-Elect', ' Texas', ' voter fraud']",4.0,17,en,26,26_biden_arrested_election_electoral
63060,69849,65853,3824,http://data.gesis.org/claimskg/creative_work/cb70d995-1b88-5bd2-8984-9c5411044e58,"A photograph shows Dallas Jones, a member of U.S. President-elect Joe Biden's campaign team, being arrested for voter fraud.",snopes,English,False,1,"Dallas, Joe Biden's, U.S. President-elect, campaign team, voter fraud","['Dallas', "" Joe Biden's"", ' U.S. President-elect', ' campaign team', ' voter fraud']",5.0,19,en,26,26_biden_arrested_election_electoral
