Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
320,2319,45548,6721,http://data.gesis.org/claimskg/creative_work/41390527-7b76-5670-bcae-5dfbdba6e9ab,"Mercury is used in vaccines, and there is no safe level of mercury.",politifact,English,False,1,,,0.0,13,en,93,93_mercurycontaining_mercury_vaccine_vaccines
2293,4376,39119,292,http://data.gesis.org/claimskg/creative_work/e3cc81d1-01be-518b-afbe-df27625f0dce,Aluminum is in the vaccine and will hurt the brain.,politifact,English,False,1,,,0.0,10,en,93,93_mercurycontaining_mercury_vaccine_vaccines
2714,4807,26568,5023,http://data.gesis.org/claimskg/creative_work/8ac61aa1-b54e-5203-9f79-1730f2ad280f,New Covid-19 vaccines contain levels of mercury that cause brain damage.,fullfact,English,OTHER,-1,,,0.0,11,en,93,93_mercurycontaining_mercury_vaccine_vaccines
10268,14611,25215,3670,http://data.gesis.org/claimskg/creative_work/dc9fc72d-babd-5197-a34b-5b188baa4ece,Mercury is used as a preservative in vaccines and is not safe.,fullfact,English,OTHER,-1,Mercury,['Mercury'],1.0,12,en,93,93_mercurycontaining_mercury_vaccine_vaccines
10895,15242,27712,6167,http://data.gesis.org/claimskg/creative_work/b8d4c2bc-b387-54c7-a412-8c9ea1ab01f8,Aluminium in vaccines can cause Alzheimer’s disease.,fullfact,English,OTHER,-1,Aluminium,['Aluminium'],1.0,7,en,93,93_mercurycontaining_mercury_vaccine_vaccines
22063,27125,1410,1410,http://data.gesis.org/claimskg/creative_work/9cdb1c43-dc09-5894-83c5-47edc942f803,"No, mercury and aluminium are not toxic when used in vaccines",africacheck,English,FALSE,1,aluminium,['aluminium'],1.0,11,en,93,93_mercurycontaining_mercury_vaccine_vaccines
30346,35644,69269,7240,http://data.gesis.org/claimskg/creative_work/af48c498-7207-55b7-b820-034967b12fa9,"If the vial to a mercury-containing vaccine is broken, the building must be evacuated.",snopes,English,False,1,"vaccine, vial","['vaccine', ' vial']",2.0,14,en,93,93_mercurycontaining_mercury_vaccine_vaccines
41101,46981,41895,3068,http://data.gesis.org/claimskg/creative_work/e8727ae4-cb2f-5659-a3b0-9899339cc78d,The California governor says yes to poisoning more children with mercury and aluminum in vaccines.,politifact,English,False,1,"California governor, aluminum","['California governor', ' aluminum']",2.0,15,en,93,93_mercurycontaining_mercury_vaccine_vaccines
45846,52011,62620,591,http://data.gesis.org/claimskg/creative_work/50a4a724-ff21-5f6c-886f-24084061ca97,"The reaction between metallic mercury and aluminum, which produces a dramatic chain reaction popular on YouTube science channels, is evidence that vaccines are not safe.",snopes,English,False,1,"YouTube, aluminum, chain reaction","['YouTube', ' aluminum', ' chain reaction']",3.0,25,en,93,93_mercurycontaining_mercury_vaccine_vaccines
47905,54090,23258,1713,http://data.gesis.org/claimskg/creative_work/c02a2923-e3ba-564e-b7cf-a3927e7168ef,"Aluminium is in vaccines and is linked to Alzheimer’s, dementia, seizures, autoimmune diseases, SIDs and cancer. Aluminium can accumulate in the brain and cause more damage with each dose.",fullfact,English,OTHER,-1,"Aluminium, SIDs, seizures","['Aluminium', ' SIDs', ' seizures']",3.0,29,en,93,93_mercurycontaining_mercury_vaccine_vaccines
49858,56223,71028,8999,http://data.gesis.org/claimskg/creative_work/1fd12249-5dff-5e79-87a6-cc8a2446f9b1,A scientific study shows the death of Alfie Evans was caused by aluminum additives in vaccines.,snopes,English,False,1,"Alfie Evans, aluminum, scientific study","['Alfie Evans', ' aluminum', ' scientific study']",3.0,16,en,93,93_mercurycontaining_mercury_vaccine_vaccines
64466,71372,33191,941,http://data.gesis.org/claimskg/creative_work/58f9a80c-9d66-5c3c-bd66-02be55d2e5d5,Pediarix vaccine injects an unsafe amount of aluminum into infants,Vishvanews,English,MIXTURE,2,"Pediarix, aluminum, infants, injects, unsafe, vaccine","['Pediarix', ' aluminum', ' infants', ' injects', ' unsafe', ' vaccine']",6.0,10,en,93,93_mercurycontaining_mercury_vaccine_vaccines
64673,71594,23975,2430,http://data.gesis.org/claimskg/creative_work/6da88438-f542-5a51-879c-06f832000fd7,"Mercury (aka thimerosal or thiomersal) is in vaccines and can damage brain, gut, liver, bone marrow, nervous system and kidneys, is linked to autoimmune disorder, autism.",fullfact,English,FALSE,1,"autism, autoimmune disorder, bone marrow, kidneys, thimerosal, thiomersal","['autism', ' autoimmune disorder', ' bone marrow', ' kidneys', ' thimerosal', ' thiomersal']",6.0,26,en,93,93_mercurycontaining_mercury_vaccine_vaccines
