Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
651,2660,12504,1156,http://data.gesis.org/claimskg/creative_work/0542e733-b17e-5cc5-a15c-8d1fb56cdd53,US to withhold benefits from unvaccinated veterans,factcheck_afp,English,FALSE,1,,,0.0,7,en,6,6_vaccine_vaccinated_unvaccinated_biden
683,2692,44275,5448,http://data.gesis.org/claimskg/creative_work/17385e75-47d8-5692-b007-66a61946d1b4,Americans not vaccinated before 2022 will be put in camps,politifact,English,False,1,,,0.0,10,en,6,6_vaccine_vaccinated_unvaccinated_biden
2095,4171,42017,3190,http://data.gesis.org/claimskg/creative_work/3d86588f-9b2d-5e13-aa0f-63c854a9d88d,Biden orders VA to withhold benefits from unvaccinated veterans.,politifact,English,False,1,,,0.0,9,en,6,6_vaccine_vaccinated_unvaccinated_biden
5759,9963,54124,6254,http://data.gesis.org/claimskg/creative_work/84d6d391-9aad-5e52-a3d7-c294fcf50f53,Now (Biden) is saying that people who came here illegally can jump ahead of other Americans who have been waiting to get the vaccine.,politifact,English,MIXTURE,2,,,0.0,24,en,6,6_vaccine_vaccinated_unvaccinated_biden
7359,11631,74424,77,http://data.gesis.org/claimskg/creative_work/747ad5b8-f978-5150-9284-efe380d52c8f,"Democrats secretly added free, immediate vaccinations for 3 million illegals to the stimulus bill.",snopes,English,OTHER,-1,,,0.0,14,en,6,6_vaccine_vaccinated_unvaccinated_biden
9561,13899,73125,1839,http://data.gesis.org/claimskg/creative_work/7cd52ae2-ba75-52fd-8215-10279f59fc25,President Joe Biden said that minorities don't know how to register online for vaccines.,snopes,English,MIXTURE,2,Joe Biden,['Joe Biden'],1.0,14,en,6,6_vaccine_vaccinated_unvaccinated_biden
10626,14970,69091,7062,http://data.gesis.org/claimskg/creative_work/5e154aa6-bf41-55cc-9625-78024b7c8edd,Washington state is considering a proposal to create internment camps for the unvaccinated.,snopes,English,False,1,Washington,['Washington'],1.0,13,en,6,6_vaccine_vaccinated_unvaccinated_biden
11678,16033,70611,8582,http://data.gesis.org/claimskg/creative_work/f8354a70-bcfb-51d4-8ad0-1d59da2bf87f,A vaccine known as CV-19 that can track citizens was patented following secret meetings with Joe Biden in 2012.,snopes,English,False,1,Joe Biden,['Joe Biden'],1.0,19,en,6,6_vaccine_vaccinated_unvaccinated_biden
12354,16716,46044,7217,http://data.gesis.org/claimskg/creative_work/fc5602d1-d289-5245-9f71-c9e049c6b181,President Joe Biden gave Congress an exemption from vaccine mandate,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,10,en,6,6_vaccine_vaccinated_unvaccinated_biden
12472,16835,45093,6266,http://data.gesis.org/claimskg/creative_work/149448c2-b8c7-56bb-a25c-258da691a6c8,Quotes Joe Biden as saying people who have never died before are now dying from coronavirus.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,16,en,6,6_vaccine_vaccinated_unvaccinated_biden
14655,19039,46872,8045,http://data.gesis.org/claimskg/creative_work/fb68dbb1-0b13-5805-a5a7-07a8857437f6,"As Hurricane Ian approached, President Joe Biden said, a vital part of preparing for hurricane season is to get vaccinated now.",politifact,English,False,1,President Joe Biden,['President Joe Biden'],1.0,21,en,6,6_vaccine_vaccinated_unvaccinated_biden
17270,21778,41020,2193,http://data.gesis.org/claimskg/creative_work/0d6333f6-a043-5a2d-b3c3-8e1efa70d1b1,Says Joe Biden has driven the current coronavirus surge because he imported more virus from around the world by having a wide open southern border.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,25,en,6,6_vaccine_vaccinated_unvaccinated_biden
19240,24081,12967,1619,http://data.gesis.org/claimskg/creative_work/a30b9b9e-637e-5819-ad45-08c074c4e359,Joe Biden said get vaccinated to prepare for Hurricane Ian,factcheck_afp,English,FALSE,1,Joe Biden,['Joe Biden'],1.0,10,en,6,6_vaccine_vaccinated_unvaccinated_biden
19405,24252,10384,4146,http://data.gesis.org/claimskg/creative_work/b421d4e3-8a57-5fd9-bddc-80e2fd61233d,A post shared on Facebook purports the U.S. military arrested President Joe Biden’s former COVID-19 Response Coordinator Jeff Zients for treason and murder.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,23,en,6,6_vaccine_vaccinated_unvaccinated_biden
19820,24743,7311,1073,http://data.gesis.org/claimskg/creative_work/ae315f3a-5152-5d4c-883c-f75af3b03204,An image shared on Facebook allegedly shows the White House website saying President Joe Biden’s winter plan to fight COVID-19 includes putting Americans into quarantine centers.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,26,en,6,6_vaccine_vaccinated_unvaccinated_biden
20147,25077,16498,5150,http://data.gesis.org/claimskg/creative_work/189f9d0b-e459-50c3-8f7f-a30e9dec2b62,Joe Biden announced unvaccinated Americans will be sent to camps,factcheck_afp,English,FALSE,1,Joe Biden,['Joe Biden'],1.0,10,en,6,6_vaccine_vaccinated_unvaccinated_biden
20673,25614,16696,5348,http://data.gesis.org/claimskg/creative_work/080c4ed7-16d1-594c-a546-dffa2ecde3ab,Video shows Biden partying for his birthday during pandemic,factcheck_afp,English,FALSE,1,Biden,['Biden'],1.0,9,en,6,6_vaccine_vaccinated_unvaccinated_biden
21701,26697,11377,29,http://data.gesis.org/claimskg/creative_work/e58cd6c0-97d2-52d6-8cce-7fa22ce99712,US Treasury official blackmailing unvaccinated Americans with shortages,factcheck_afp,English,FALSE,1,US Treasury,['US Treasury'],1.0,8,en,6,6_vaccine_vaccinated_unvaccinated_biden
24318,29574,45189,6362,http://data.gesis.org/claimskg/creative_work/56ad0851-79cb-53fd-976b-9b85755f8754,COVID internment camps announced in America: Tennessee governor signs EO authorizing National Guard to carry out COVID medical kidnappings.,politifact,English,False,1,"National Guard, Tennessee","['National Guard', ' Tennessee']",2.0,19,en,6,6_vaccine_vaccinated_unvaccinated_biden
28038,33318,45212,6385,http://data.gesis.org/claimskg/creative_work/cad78e23-8540-5368-b0b2-b1feddb9b8b9,Jill Biden implied the COVID-19 pandemic was planned.,politifact,English,False,1,"COVID, Jill Biden","['COVID', ' Jill Biden']",2.0,8,en,6,6_vaccine_vaccinated_unvaccinated_biden
28914,34200,8350,2112,http://data.gesis.org/claimskg/creative_work/401843e3-65fe-557b-8256-82198d7f6f05,An image shared on Facebook claims President Joe Biden recently announced a fourth round of stimulus payments for which only Americans with proof of vaccination are eligible.,checkyourfact,English,FALSE,1,"Facebook, Joe Biden","['Facebook', ' Joe Biden']",2.0,27,en,6,6_vaccine_vaccinated_unvaccinated_biden
28933,34219,45634,6807,http://data.gesis.org/claimskg/creative_work/865b0c41-f030-5ff6-9833-12b31d340949,When President Biden took office ... there was no vaccine available.,politifact,English,False,1,"Biden took office, vaccine","['Biden took office', ' vaccine']",2.0,11,en,6,6_vaccine_vaccinated_unvaccinated_biden
29636,34927,70828,8799,http://data.gesis.org/claimskg/creative_work/c1260ab7-102b-5192-a89c-750dc9160cd3,The Biden administration is working to launch a COVID-19 passport that Americans must have to engage in commerce.,snopes,English,False,1,"Biden, COVID-19 passport","['Biden', ' COVID-19 passport']",2.0,18,en,6,6_vaccine_vaccinated_unvaccinated_biden
30605,35905,68693,6664,http://data.gesis.org/claimskg/creative_work/829d0b14-372e-5fb1-afab-e09b25bffb4d,"In August 2021, Tennessee Gov. Bill Lee signed an executive order that authorized the construction of quarantine camps for individuals who refuse to be vaccinated against COVID-19.",snopes,English,False,1,"COVID-19, executive order","['COVID-19', ' executive order']",2.0,27,en,6,6_vaccine_vaccinated_unvaccinated_biden
32302,37618,73580,2294,http://data.gesis.org/claimskg/creative_work/dd14063d-7038-578a-a5e3-418b32c4e9f7,"On Sept. 27, 2021, U.S. Joe Biden was photographed purportedly receiving a COVID-19 vaccine booster dose on a set that featured props and digital images — proving that the entire event, including the shot, was fake.",snopes,English,MIXTURE,2,"COVID-19 vaccine, booster dose","['COVID-19 vaccine', ' booster dose']",2.0,36,en,6,6_vaccine_vaccinated_unvaccinated_biden
32901,38221,61658,3498,http://data.gesis.org/claimskg/creative_work/542524a5-44b8-534a-b4d7-1792ccbbb0bc,A meme reproduces a statement Joe Biden made during an interview about continuing democracy during the 2020 COVID-19 pandemic.,snopes,English,True,3,"2020 COVID-19 pandemic, Joe Biden","['2020 COVID-19 pandemic', ' Joe Biden']",2.0,19,en,6,6_vaccine_vaccinated_unvaccinated_biden
33094,38416,61286,3126,http://data.gesis.org/claimskg/creative_work/92000829-4f8c-5a37-9191-50e38da72e57,Joe Biden tweeted several weeks before the COVID-19 outbreak began that We are not prepared for a pandemic.,snopes,English,True,3,"COVID-19 outbreak, Joe Biden","['COVID-19 outbreak', ' Joe Biden']",2.0,18,en,6,6_vaccine_vaccinated_unvaccinated_biden
36127,41481,36577,265,http://data.gesis.org/claimskg/creative_work/9a1352f7-2ab7-583d-804f-2d8f83a70120,Guantanamo Bay detainees will get the H1N1 vaccine.,politifact,English,True,3,"Guantanamo Bay, H1N1 vaccine","['Guantanamo Bay', ' H1N1 vaccine']",2.0,8,en,6,6_vaccine_vaccinated_unvaccinated_biden
37527,42948,39619,792,http://data.gesis.org/claimskg/creative_work/e58e106b-7ff0-5104-aeb5-2826225d0d15,Joe Biden’s announcement that the Justice Department will name a chief prosecutor for pandemic fraud means the government is going to investigate itself.,politifact,English,False,1,"Joe Biden, Justice Department","['Joe Biden', ' Justice Department']",2.0,23,en,6,6_vaccine_vaccinated_unvaccinated_biden
40343,46065,29794,647,http://data.gesis.org/claimskg/creative_work/67016bf1-9cc2-502f-a81f-e38104c3ff77,"Vice Presidential Candidate John Edwards responsible for the flu vaccine
shortage?",truthorfiction,English,FALSE,1,"John Edwards, flu vaccine","['John Edwards', ' flu vaccine']",2.0,10,en,6,6_vaccine_vaccinated_unvaccinated_biden
41359,47239,41564,2737,http://data.gesis.org/claimskg/creative_work/988c1f6a-7e0f-58a1-acd3-3023f5261c82,Says President Joe Biden told people to get vaccinated against COVID-19 to protect themselves from hurricanes.,politifact,English,False,1,"COVID-19, President Joe Biden","['COVID-19', ' President Joe Biden']",2.0,16,en,6,6_vaccine_vaccinated_unvaccinated_biden
41446,47327,43413,4586,http://data.gesis.org/claimskg/creative_work/ad4bcd60-bdc0-574d-8926-5f25c00b17b6,The Biden administration lost 20 million COVID vaccines.,politifact,English,False,1,"Biden, COVID vaccines","['Biden', ' COVID vaccines']",2.0,8,en,6,6_vaccine_vaccinated_unvaccinated_biden
42307,48209,43185,4358,http://data.gesis.org/claimskg/creative_work/9c100307-2e72-52f9-9567-ca5e2cd11505,Says President Joe Biden promoted mandatory vaccines for everybody in his March 11 address.,politifact,English,False,1,"March 11, President Joe Biden","['March 11', ' President Joe Biden']",2.0,14,en,6,6_vaccine_vaccinated_unvaccinated_biden
42854,48798,64545,2516,http://data.gesis.org/claimskg/creative_work/d91fed09-f518-5719-be33-7a67312b1386,The 2004 flu vaccine shortage was attributable to a lawsuit handled by Vice-Presidential candidate John Edwards.,snopes,English,False,1,"John Edwards, Vice-Presidential candidate, flu vaccine","['John Edwards', ' Vice-Presidential candidate', ' flu vaccine']",3.0,16,en,6,6_vaccine_vaccinated_unvaccinated_biden
43858,49899,31031,1884,http://data.gesis.org/claimskg/creative_work/abfbcef6-589b-540e-9bfa-8334a0ed9071,U.S. President Joe Biden said Americans who do not mask up or get the vaccine may have to cancel the Fourth of July.,truthorfiction,English,FALSE,1,"Fourth of July, U.S. President Joe Biden, vaccine","['Fourth of July', ' U.S. President Joe Biden', ' vaccine']",3.0,23,en,6,6_vaccine_vaccinated_unvaccinated_biden
44187,50233,61842,3682,http://data.gesis.org/claimskg/creative_work/ffc2654d-7a73-55d7-bd30-75c184c02614,U.S. President Donald Trump mocked his political opponent Joe Biden for vowing to listen to the scientists in regards to the COVID-19 pandemic.,snopes,English,True,3,"COVID-19 pandemic, Joe Biden, U.S. President Donald Trump","['COVID-19 pandemic', ' Joe Biden', ' U.S. President Donald Trump']",3.0,23,en,6,6_vaccine_vaccinated_unvaccinated_biden
44317,50364,61544,3384,http://data.gesis.org/claimskg/creative_work/76d5d82c-619c-567b-b264-9ae99ddfe829,"During remarks at the White House, U.S. President Joe Biden mistakenly said 350 million Americans — more than the current population of the United States — had been vaccinated.",snopes,English,True,3,"U.S. President Joe Biden, White House, population of the United States","['U.S. President Joe Biden', ' White House', ' population of the United States']",3.0,29,en,6,6_vaccine_vaccinated_unvaccinated_biden
44518,50568,60286,2126,http://data.gesis.org/claimskg/creative_work/058eed56-eaba-5c78-90f6-7901dd2f55aa,U.S. President-elect Joe Biden said he will get the COVID-19 vaccination in public on television.,snopes,English,True,3,"COVID-19 vaccination, Joe Biden, U.S. President-elect","['COVID-19 vaccination', ' Joe Biden', ' U.S. President-elect']",3.0,15,en,6,6_vaccine_vaccinated_unvaccinated_biden
45425,51573,62318,289,http://data.gesis.org/claimskg/creative_work/8c95e44d-c4b4-5c93-a00a-5d529c3532b6,A photograph shows 2020 Democratic presidential candidate Joe Biden on a plane without a mask during the COVID-19 pandemic.,snopes,English,False,1,"2020 Democratic presidential candidate, COVID-19, Joe Biden","['2020 Democratic presidential candidate', ' COVID-19', ' Joe Biden']",3.0,19,en,6,6_vaccine_vaccinated_unvaccinated_biden
46160,52327,73898,2612,http://data.gesis.org/claimskg/creative_work/1f6a1916-45b5-5a11-aeb8-8a927d96642e,Legislation proposed in the New York State Senate in 2021 called for the establishment of COVID-19 detention camps.,snopes,English,MIXTURE,2,"COVID-19, New York State Senate, detention camps","['COVID-19', ' New York State Senate', ' detention camps']",3.0,18,en,6,6_vaccine_vaccinated_unvaccinated_biden
47107,53287,43796,4969,http://data.gesis.org/claimskg/creative_work/de9980ed-0b22-5240-b96b-d50794fd558b,Biden orders dishonorable discharge for 46% of troops who refuse vaccine.,politifact,English,False,1,"Biden, dishonorable discharge, vaccine","['Biden', ' dishonorable discharge', ' vaccine']",3.0,11,en,6,6_vaccine_vaccinated_unvaccinated_biden
47506,53688,75054,707,http://data.gesis.org/claimskg/creative_work/3fa53199-4d0c-5f2d-94b5-b88a9904c5d9,"In September 2021, U.S. President Joe Biden directed the U.S. Department of Veterans Affairs to stop providing healthcare benefits to veterans who are unvaccinated.",snopes,English,OTHER,-1,"U.S. Department of Veterans Affairs, U.S. President Joe Biden, healthcare benefits","['U.S. Department of Veterans Affairs', ' U.S. President Joe Biden', ' healthcare benefits']",3.0,24,en,6,6_vaccine_vaccinated_unvaccinated_biden
47565,53748,12165,817,http://data.gesis.org/claimskg/creative_work/242ec187-cd67-5e6f-8e07-e9ae10aa6f1f,Tennessee executive order allows creation of Covid-19 internment camps,factcheck_afp,English,FALSE,1,"Covid-19, Tennessee, executive order","['Covid-19', ' Tennessee', ' executive order']",3.0,9,en,6,6_vaccine_vaccinated_unvaccinated_biden
48180,54392,68801,6772,http://data.gesis.org/claimskg/creative_work/0934a9c3-fb3a-5998-9597-7a2b1671be1c,U.S. President Joe Biden said that the COVID-19 vaccine would protect people against hurricanes.,snopes,English,False,1,"COVID-19 vaccine, U.S. President Joe Biden, hurricanes","['COVID-19 vaccine', ' U.S. President Joe Biden', ' hurricanes']",3.0,14,en,6,6_vaccine_vaccinated_unvaccinated_biden
48785,55065,42921,4094,http://data.gesis.org/claimskg/creative_work/0b1487ba-fbab-5d3c-961b-b325c799e499,Says Joe Biden and Kamala Harris distrusted COVID-19 vaccines.,politifact,English,False,1,"COVID-19 vaccines, Joe Biden, Kamala Harris","['COVID-19 vaccines', ' Joe Biden', ' Kamala Harris']",3.0,9,en,6,6_vaccine_vaccinated_unvaccinated_biden
