File Name,Super Label
narrative_1.csv,Presidential Succession and Speculation in the Biden Administration
narrative_2.csv,"""U.S. Politics Controversies"""
narrative_3.csv,"""Joe Biden's Role and Actions in Political Positions"""
narrative_4.csv,"""Catholic Church Leadership Controversy"""
narrative_5.csv,"""Claims about Joe Biden's Resignation and Donald Trump's Reinstatement"""
narrative_6.csv,"""Health Status of Joe Biden"""
narrative_7.csv,"""Senator Chuck Grassley's Alleged Demand for President Biden's Resignation Shared on Facebook"""
narrative_8.csv,"""Rumors and Conspiracies about Joe Biden's Removal from Office"""
narrative_9.csv,"""Biden Administration Resignation Claims"""
narrative_10.csv,"""Claims about Resignations of President Joe Biden and Vice President Kamala Harris"""
narrative_11.csv,"""Kamala Harris' Alleged Statements About Joe Biden"""
narrative_12.csv,Biden Administration's Funding of Kamala Harris' Book
narrative_13.csv,"""Joe Biden's White House Tenure Controversies"""
narrative_14.csv,"""Public Activities of Political Figures: Kamala Harris, Joe Biden, Jen Psaki"""
narrative_15.csv,"""Joe Biden and Kamala Harris: Presidential Practices and Security Protocols"""
narrative_16.csv,"""Kamala Harris's Stance on Accusations Against Joe Biden"""
narrative_17.csv,"""Public Statements and Interactions between Joe Biden and Kamala Harris"""
narrative_18.csv,Joe Biden and Kamala Harris' Recognition of Service Members on Memorial Day
narrative_19.csv,"""Alexander Soros's Involvement in Kamala Harris's Vice Presidential Selection"""
narrative_20.csv,"""Conspiracy Theories about Democrats' Plan for Presidential Succession"""
narrative_21.csv,"""Claims about Vice Presidency and Presidential Succession in the U.S."""
narrative_22.csv,"""Fact-checking Biden-Harris Popularity Claim on Time Magazine Cover Shared on Twitter"""
narrative_23.csv,"""Kamala Harris' Accusations Against Joe Biden in Democratic Presidential Debates"""
narrative_24.csv,"""Fact-checking Claims About Potential Resignation of President Joe Biden and Vice President Kamala Harris"""
narrative_25.csv,"""Newsmax's Opinion on Trump's retirement and Transition to Biden-Harris Administration"""
narrative_26.csv,RNC Chairwoman's Remarks on Biden-Harris Administration
