Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
22997,28145,409,409,http://data.gesis.org/claimskg/creative_work/671562d0-e245-54cc-b95f-c0318c180848,"No, inhaling steam (still) doesn’t prevent Covid-19",africacheck,English,FALSE,1,Covid-19,['Covid-19'],1.0,7,en,15,15_tea_covid19_cures_cure
39347,44881,24524,2979,http://data.gesis.org/claimskg/creative_work/18206241-6ce7-5447-93d1-d0897fbe4c59,"Inhaling steam can cure Covid-19 by killing the virus that causes it when it is in the sinuses, before it reaches the lungs.",fullfact,English,FALSE,1,"Covid-19, lungs","['Covid-19', ' lungs']",2.0,23,en,15,15_tea_covid19_cures_cure
25827,31088,11869,521,http://data.gesis.org/claimskg/creative_work/488e3295-ad70-5375-8d17-22ecb87c9a10,Inhaling steam from herbal tea cures Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, herbal tea","['Covid-19', ' herbal tea']",2.0,7,en,15,15_tea_covid19_cures_cure
22464,27598,277,277,http://data.gesis.org/claimskg/creative_work/d102c438-1565-5f5d-b477-5dc4060647a8,"No, hot steam and tea can’t cure Covid-19",africacheck,English,FALSE,1,Covid-19,['Covid-19'],1.0,8,en,15,15_tea_covid19_cures_cure
46114,52281,11627,279,http://data.gesis.org/claimskg/creative_work/6a1f751d-63a0-5514-9b36-463dd61c676e,Breathing hot air from a hair dryer or in a sauna can prevent or cure COVID-19,factcheck_afp,English,FALSE,1,"COVID-19, hair dryer, hot air","['COVID-19', ' hair dryer', ' hot air']",3.0,16,en,15,15_tea_covid19_cures_cure
23887,29143,7457,1219,http://data.gesis.org/claimskg/creative_work/ef823f7c-ce71-5c54-b8dc-b4191a004721,A video shared on Facebook claims that boiling water with certain ingredients and inhaling the steam cures COVID-19.,checkyourfact,English,FALSE,1,"COVID-19, Facebook","['COVID-19', ' Facebook']",2.0,18,en,15,15_tea_covid19_cures_cure
37308,42720,16373,5025,http://data.gesis.org/claimskg/creative_work/6f6ef937-09f8-53da-bfe2-9b8407374cf8,Inhaling clove vapour can cure Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, clove","['Covid-19', ' clove']",2.0,6,en,15,15_tea_covid19_cures_cure
40430,46166,30041,894,http://data.gesis.org/claimskg/creative_work/17a847da-dc2c-5c6f-8ba3-fb99060ecd5f,Using the African method of sitting over a steaming cooking pot can help you avoid contracting COVID-19.,truthorfiction,English,FALSE,1,"contracting COVID-19, cooking pot","['contracting COVID-19', ' cooking pot']",2.0,17,en,15,15_tea_covid19_cures_cure
43463,49456,65828,3799,http://data.gesis.org/claimskg/creative_work/db39e316-6c3d-5412-b9eb-edd20eca863f,Using a hair dryer to breathe in hot air can cure COVID-19 and stop its spread.,snopes,English,False,1,"COVID-19, hair dryer, hot air","['COVID-19', ' hair dryer', ' hot air']",3.0,16,en,15,15_tea_covid19_cures_cure
44629,50680,16699,5351,http://data.gesis.org/claimskg/creative_work/d3189c93-7199-573c-bb96-5b53cee46284,Inhaling saltwater droplets produced by a humidifier can cure Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, humidifier, saltwater","['Covid-19', ' humidifier', ' saltwater']",3.0,10,en,15,15_tea_covid19_cures_cure
54498,60903,13428,2080,http://data.gesis.org/claimskg/creative_work/2f94a36b-b545-5568-a09d-546bb7dbfcfa,Inhaling vinegar can treat Covid-19 symptoms by clearing sputum from airways,factcheck_afp,English,FALSE,1,"Covid-19 symptoms, sputum, vinegar","['Covid-19 symptoms', ' sputum', ' vinegar']",3.0,11,en,15,15_tea_covid19_cures_cure
20771,25717,4887,4887,http://data.gesis.org/claimskg/creative_work/75304029-2fe6-5c7e-bc2a-3c102c3fc30e,"No, tea does not cure Covid-19",africacheck,English,FALSE,1,Covid-19,['Covid-19'],1.0,6,en,15,15_tea_covid19_cures_cure
31061,36366,773,773,http://data.gesis.org/claimskg/creative_work/9b5213d5-5272-5ccb-819f-a0b6547acc20,"Steaming with onion, garlic, lemon and garlic won't ‘destroy’ Covid-19",africacheck,English,FALSE,1,"garlic, onion","['garlic', ' onion']",2.0,10,en,15,15_tea_covid19_cures_cure
45560,51709,4917,4917,http://data.gesis.org/claimskg/creative_work/32b8dc78-264b-5ccc-a87c-a726e9f55b1b,No evidence drinking ‘asthma plant’ tea helps Covid-19 breathing complications,africacheck,English,OTHER,-1,"Covid-19, asthma, breathing complications","['Covid-19', ' asthma', ' breathing complications']",3.0,10,en,15,15_tea_covid19_cures_cure
63241,70070,32361,111,http://data.gesis.org/claimskg/creative_work/14b0b0b0-1412-5036-b144-7b1d2a457f2f,Inhaling vinegar can be a solution to treat Covid-19 symptoms by clearing sputum from the airways of the patient.,Vishvanews,English,FALSE,1,"Covid-19 symptoms, Inhaling, airways, sputum, vinegar","['Covid-19 symptoms', ' Inhaling', ' airways', ' sputum', ' vinegar']",5.0,19,en,15,15_tea_covid19_cures_cure
