Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
2706,4799,26540,4995,http://data.gesis.org/claimskg/creative_work/ad42d1ae-d3bb-5566-8e8a-b36e57f266ea,A majority of people want a new Covid-19 lockdown.,fullfact,English,OTHER,-1,,,0.0,9,en,60,60_lockdowns_lockdown_pandemicrelated_shutdowns
2748,4841,22593,1048,http://data.gesis.org/claimskg/creative_work/ba9bd5bb-1761-5515-9b9b-8cc7c98ae3ac,People working in restaurants and bars in Bolton that were closed because of local Covid-19 restrictions could not access any support.,fullfact,English,FALSE,1,,,0.0,21,en,60,60_lockdowns_lockdown_pandemicrelated_shutdowns
2874,5218,21896,351,http://data.gesis.org/claimskg/creative_work/b3865f12-7300-5ef0-9048-192044ad40ef,The government's roadmap to ease Covid-19 restrictions will be set out in 5 phases.,fullfact,English,OTHER,-1,,,0.0,14,en,60,60_lockdowns_lockdown_pandemicrelated_shutdowns
3969,6380,30573,1426,http://data.gesis.org/claimskg/creative_work/3135e531-b376-512c-90ae-2f0eefc316c4,"Research published in 2022 proved that lockdowns had little to no effect on mortality during the pandemic, but caused devastating effects for society.",truthorfiction,English,MIXTURE,2,,,0.0,23,en,60,60_lockdowns_lockdown_pandemicrelated_shutdowns
10658,15002,69000,6971,http://data.gesis.org/claimskg/creative_work/4ce925f2-200d-5a3f-91f6-1f9acf913c3c,"Pandemic-related shutdown orders are unconstitutional, and persons arrested for violating them can collect damages.",snopes,English,False,1,Pandemic-related,['Pandemic-related'],1.0,14,en,60,60_lockdowns_lockdown_pandemicrelated_shutdowns
11313,15664,26985,5440,http://data.gesis.org/claimskg/creative_work/2ec85c0d-1114-52ab-a609-b0951c222a37,Article 61 of Magna Carta allows for lawful dissent and rebellion. It also means that businesses don’t have to close under Covid-19 regulations.,fullfact,English,FALSE,1,Magna Carta,['Magna Carta'],1.0,23,en,60,60_lockdowns_lockdown_pandemicrelated_shutdowns
12232,16590,45933,7106,http://data.gesis.org/claimskg/creative_work/37b88d75-e52e-5593-bca6-ff1174894d02,Says that shutdowns are ineffective and that we now know that COVID-19 is not commonly spread by someone going to work.,politifact,English,False,1,COVID-19,['COVID-19'],1.0,21,en,60,60_lockdowns_lockdown_pandemicrelated_shutdowns
12344,16706,46241,7414,http://data.gesis.org/claimskg/creative_work/950cb42e-e4af-535f-b614-903c26ef16a6,Government imposed lockdowns do NOT reduce [COVID-19] cases or stop spikes.,politifact,English,False,1,COVID-19,['COVID-19'],1.0,11,en,60,60_lockdowns_lockdown_pandemicrelated_shutdowns
15310,19709,56997,9127,http://data.gesis.org/claimskg/creative_work/1ae54c25-5188-5c40-bd03-32520bfd2a96,"The result of lockdowns has been the destruction of millions of lives across America as well as increased deaths from suicide, substance abuse and despair without any corresponding benefit in Covid mortality.",politifact,English,MIXTURE,2,substance abuse,['substance abuse'],1.0,32,en,60,60_lockdowns_lockdown_pandemicrelated_shutdowns
15857,20291,56808,8938,http://data.gesis.org/claimskg/creative_work/fb6b8b77-763c-51db-b04b-3a92e2a4813a,"Says all Vegas hotels but Trump’s have donated food, rooms in COVID response.",politifact,English,MIXTURE,2,donated food,['donated food'],1.0,13,en,60,60_lockdowns_lockdown_pandemicrelated_shutdowns
21120,26100,16959,5611,http://data.gesis.org/claimskg/creative_work/636ec8a0-5acd-5c20-bc1a-2b2e1e168c66,The government has issued guidelines to ease COVID-19 lockdown in India,factcheck_afp,English,FALSE,1,COVID-19 lockdown in India,['COVID-19 lockdown in India'],1.0,11,en,60,60_lockdowns_lockdown_pandemicrelated_shutdowns
22783,27928,23126,1581,http://data.gesis.org/claimskg/creative_work/9d8056bf-caa7-558e-a361-12df259becb9,Lockdown and the tier systems are deadlier than Covid-19.,fullfact,English,TRUE,3,Covid-19,['Covid-19'],1.0,9,en,60,60_lockdowns_lockdown_pandemicrelated_shutdowns
36178,41532,15333,3985,http://data.gesis.org/claimskg/creative_work/9af263b3-e062-56f3-8fc3-317c7cfc4b6e,Pandemic lockdowns caused depletion of ozone layer,factcheck_afp,English,FALSE,1,"Pandemic lockdowns, depletion of ozone","['Pandemic lockdowns', ' depletion of ozone']",2.0,7,en,60,60_lockdowns_lockdown_pandemicrelated_shutdowns
37042,42439,17236,5888,http://data.gesis.org/claimskg/creative_work/a10bfcb8-6de8-5f5f-8fe4-6680128d4ec5,World Health Organization issues guidelines on COVID-19 lockdown,factcheck_afp,English,FALSE,1,"COVID-19 lockdown, World Health Organization","['COVID-19 lockdown', ' World Health Organization']",2.0,8,en,60,60_lockdowns_lockdown_pandemicrelated_shutdowns
