Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
5204,9384,3027,3027,http://data.gesis.org/claimskg/creative_work/ca509be8-5eac-58a8-949c-0e0584abde36,Not all these South African coronavirus ‘lockdown procedures’ correct – use official regulations instead,africacheck,English,FALSE,1,,,0.0,14,en,52,52_covid19_africa_africas_africans
23351,28548,1452,1452,http://data.gesis.org/claimskg/creative_work/5683186c-80c7-5a78-aa01-56ec685eba8f,"Yes, sale of cigarettes, alcohol still banned under South Africa’s level four coronavirus lockdown",africacheck,English,TRUE,3,South Africa,['South Africa'],1.0,14,en,52,52_covid19_africa_africas_africans
25529,30789,10342,4104,http://data.gesis.org/claimskg/creative_work/1e0fa928-31e6-52e1-a139-0c577d280c98,A post shared on Facebook claims white South Africans have been banned from receiving government aid during the coronavirus pandemic.,checkyourfact,English,FALSE,1,"Facebook, white South Africans","['Facebook', ' white South Africans']",2.0,20,en,52,52_covid19_africa_africas_africans
29612,34903,2052,2052,http://data.gesis.org/claimskg/creative_work/496338ed-d4a3-579d-a838-fab96eca157e,"No, 250 shop staff in Alberton, South Africa, not Covid-19 positive and ‘told to keep working’",africacheck,English,FALSE,1,"Covid-19, South Africa","['Covid-19', ' South Africa']",2.0,16,en,52,52_covid19_africa_africas_africans
29789,35083,1958,1958,http://data.gesis.org/claimskg/creative_work/ac32309e-8894-554e-a11a-868fecd0f5f2,Bosses ‘must’ pay workers under South Africa’s Covid-19 lockdown? Experts say no,africacheck,English,FALSE,1,"Covid-19, South Africa","['Covid-19', ' South Africa']",2.0,12,en,52,52_covid19_africa_africas_africans
29966,35263,3014,3014,http://data.gesis.org/claimskg/creative_work/0922ca1c-3eb9-535b-8c52-e440cc680259,"Yes, new lockdown in Madagascar’s capital after Covid-19 ‘surge’",africacheck,English,TRUE,3,"Covid-19, Madagascar","['Covid-19', ' Madagascar']",2.0,9,en,52,52_covid19_africa_africas_africans
30247,35544,2634,2634,http://data.gesis.org/claimskg/creative_work/9a899963-ca4c-5c77-a12b-4a0a2156d91c,Ignore new rumour of level 5 Covid-19 lockdown in South Africa,africacheck,English,FALSE,1,"Covid-19, South Africa","['Covid-19', ' South Africa']",2.0,11,en,52,52_covid19_africa_africas_africans
30725,36028,685,685,http://data.gesis.org/claimskg/creative_work/c0e155d7-a9e7-5943-9662-c4174a089f53,"Yes, South Africa’s student aid scheme waives document certification during Covid-19 crisis",africacheck,English,TRUE,3,"Covid-19, South Africa","['Covid-19', ' South Africa']",2.0,12,en,52,52_covid19_africa_africas_africans
31637,36946,1374,1374,http://data.gesis.org/claimskg/creative_work/46f528af-a2f3-5a94-8bac-27e43991ddd8,"Selling illegal, but no fine for cigarette possession under South Africa’s Covid-19 lockdown",africacheck,English,FALSE,1,"Covid-19, South Africa","['Covid-19', ' South Africa']",2.0,13,en,52,52_covid19_africa_africas_africans
31855,37167,1573,1573,http://data.gesis.org/claimskg/creative_work/f2eeba54-5949-5456-ab95-7291e4360dbf,"South Africa is feeding its people [glyphosate], thus feeding the cancer pandemic",africacheck,English,OTHER,-1,"South Africa, glyphosate","['South Africa', ' glyphosate']",2.0,12,en,52,52_covid19_africa_africas_africans
32945,38265,5061,5061,http://data.gesis.org/claimskg/creative_work/aed9ba3f-98ae-5b08-856d-decd3c39d3bb,"Yes, South Africa in second wave of Covid-19 infections",africacheck,English,TRUE,3,"Covid-19, South Africa","['Covid-19', ' South Africa']",2.0,9,en,52,52_covid19_africa_africas_africans
