Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
1156,3174,47590,8763,http://data.gesis.org/claimskg/creative_work/58d39529-dce4-5f68-9454-641d8c18bc5a,Says the coronavirus was engineered by scientists in a lab.,politifact,English,False,1,,,0.0,10,en,5,5_coronavirus_china_chinas_viruses
46543,52714,27710,6165,http://data.gesis.org/claimskg/creative_work/e7b7517c-6a6d-519d-b2e6-803c3c025a66,A peer-reviewed research paper says that the new coronavirus has been artificially engineered.,fullfact,English,OTHER,-1,"artificially engineered, coronavirus, peer-reviewed research","['artificially engineered', ' coronavirus', ' peer-reviewed research']",3.0,13,en,5,5_coronavirus_china_chinas_viruses
18539,23070,8977,2739,http://data.gesis.org/claimskg/creative_work/420cd77d-fe65-5038-9801-5c98748a36fc,A post shared on Facebook claims Japanese Nobel laureate Dr. Tasuku Honjo said the new coronavirus was engineered in a Chinese laboratory.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,22,en,5,5_coronavirus_china_chinas_viruses
5591,9787,65461,3432,http://data.gesis.org/claimskg/creative_work/86f1177e-7ede-5cda-88a8-63c75da198af,A Chinese intelligence officer revealed that a new coronavirus was developed in a lab as a bioweapon.,snopes,English,False,1,,,0.0,17,en,5,5_coronavirus_china_chinas_viruses
17104,21609,39687,860,http://data.gesis.org/claimskg/creative_work/74963875-b163-54eb-946e-d37a50d71909,Says the coronavirus is a MILITARY BIO-WEAPON Developed by China's Army.,politifact,English,False,1,WEAPON,['WEAPON'],1.0,11,en,5,5_coronavirus_china_chinas_viruses
63916,70805,60370,2210,http://data.gesis.org/claimskg/creative_work/11557192-9c43-530e-8fa2-bfc3aa94bdd9,2008 Nobel Prize winner Luc Montagnier said that COVID-19 coronavirus disease was artificially created in a lab by biologists working on an AIDS vaccine.,snopes,English,True,3,"AIDS vaccine, COVID-19, Luc Montagnier, Nobel Prize winner, coronavirus","['AIDS vaccine', ' COVID-19', ' Luc Montagnier', ' Nobel Prize winner', ' coronavirus']",5.0,24,en,5,5_coronavirus_china_chinas_viruses
10242,14585,25327,3782,http://data.gesis.org/claimskg/creative_work/4f1a9c10-5f1f-5dab-8f46-07dc03b1dae8,"Coronavirus may have been genetically engineered for efficient spreading in the human population, a bombshell new study has claimed.",fullfact,English,FALSE,1,genetically engineered,['genetically engineered'],1.0,19,en,5,5_coronavirus_china_chinas_viruses
13310,17682,43031,4204,http://data.gesis.org/claimskg/creative_work/0c88d59a-2744-584e-a88e-d6b52c3fafac,The coronavirus was invented and patented in the USA and then planted in China.,politifact,English,False,1,China,['China'],1.0,14,en,5,5_coronavirus_china_chinas_viruses
37033,42429,17220,5872,http://data.gesis.org/claimskg/creative_work/3f35c45e-fa46-51b7-af4f-ef020215fe7a,The CDC created and patented the coronavirus from Wuhan,factcheck_afp,English,FALSE,1,"CDC, Wuhan","['CDC', ' Wuhan']",2.0,9,en,5,5_coronavirus_china_chinas_viruses
60512,67172,41848,3021,http://data.gesis.org/claimskg/creative_work/69bbab06-811c-5e29-92e4-7f5c4de64aab,Says the Chinese Communist Party will finally admit that the real source of the coronavirus is from ‘a lab in Wuhan’ linked to its covert biological weapon programs.,politifact,English,False,1,"Chinese Communist Party, Wuhan, biological weapon, coronavirus","['Chinese Communist Party', ' Wuhan', ' biological weapon', ' coronavirus']",4.0,28,en,5,5_coronavirus_china_chinas_viruses
50165,56538,7199,961,http://data.gesis.org/claimskg/creative_work/ebdea5a1-c95b-5ace-8ca0-5c54f0d75111,A post shared on Facebook claims the new coronavirus has HIV proteins that indicate it was genetically modified in a laboratory.,checkyourfact,English,FALSE,1,"Facebook, HIV, genetically modified","['Facebook', ' HIV', ' genetically modified']",3.0,21,en,5,5_coronavirus_china_chinas_viruses
2529,4619,26951,5406,http://data.gesis.org/claimskg/creative_work/9c7dd9d2-2b5c-5c3f-90da-721b9649d14b,Scientists believe that coronavirus may have come from bats in a Chinese research facility.,fullfact,English,OTHER,-1,,,0.0,14,en,5,5_coronavirus_china_chinas_viruses
37988,43413,39876,1049,http://data.gesis.org/claimskg/creative_work/a8000ac4-86cf-5bcc-a00d-9c0632932e91,The coronavirus was constructed in the Wuhan Institute of Virology.,politifact,English,False,1,"Wuhan Institute of Virology, coronavirus","['Wuhan Institute of Virology', ' coronavirus']",2.0,10,en,5,5_coronavirus_china_chinas_viruses
56863,63363,28595,637,http://data.gesis.org/claimskg/creative_work/a48e630d-437b-598a-b811-a6555b703a7f,"Russia, China Hype Speculation About Coronavirus Lab Origin in U.S.",polygraph,English,MIXTURE,2,"China, Hype, Russia, U.S.","['China', ' Hype', ' Russia', ' U.S.']",4.0,10,en,5,5_coronavirus_china_chinas_viruses
11227,15577,26825,5280,http://data.gesis.org/claimskg/creative_work/7b610c7a-f8e9-5978-840a-a6016767456e,The lab from which the coronavirus originated has a similar symbol as the lab responsible for a mass outbreak in the Resident Evil games.,fullfact,English,OTHER,-1,similar symbol,['similar symbol'],1.0,24,en,5,5_coronavirus_china_chinas_viruses
11802,16157,44732,5905,http://data.gesis.org/claimskg/creative_work/184ec61a-c15d-5e6a-ae0b-0b89e75623c8,Says Bill O'Reilly wrote a post claiming that the coronavirus was created as a bioweapon by the Chinese government.,politifact,English,False,1,Bill O'Reilly,"[""Bill O'Reilly""]",1.0,19,en,5,5_coronavirus_china_chinas_viruses
