Topic,Count,Name,Representation,Representative_Docs
-1,439,-1_biden_trump_donald_barack,"['biden', 'trump', 'donald', 'barack', 'presidential', 'joe', 'president', 'obama', 'bidens', 'facebook']","['An image shared on Facebook over 183,000 times claims that during a debate, Vice President Kamala Harris said to President Joe Biden, You will do whatever the Chinese tell you! They gave your son over a billion dollars.', 'A post shared on Facebook claims Facebook removed the title of President from Donald Trump’s official Facebook page, replacing it with Political Candidate, following President-elect Joe Biden’s victory in the 2020 presidential election.', 'An image shared on Facebook purportedly shows a letter former President Donald Trump left for President Joe Biden that reads, Joe, you know I won.']"
0,155,0_biden_image_photo_posing,"['biden', 'image', 'photo', 'posing', 'bidens', 'images', 'photos', 'photograph', 'cnn', 'picture']","['An image shared on Facebook claims to show former Vice President Joe Biden making out with a 15-year-old girl.', 'An image shared on Facebook purportedly shows former Vice President Joe Biden biting a young girl on the cheek.', 'An image shared on Facebook purportedly shows President Joe Biden posing for a picture with White House Press Secretary Jen Psaki with his hands on her chest.']"
1,104,1_biden_votes_ballots_voters,"['biden', 'votes', 'ballots', 'voters', 'bidens', 'voter', 'electoral', 'voting', 'election', 'elections']","['221,000 votes were switched from Trump to Biden in Pennsylvania', 'U.S. President-elect Joe Biden won millions more votes than there were eligible voters in the 2020 election.', ""Some 2,600 uncounted votes, a majority of which were cast for U.S. President Donald Trump, were found in Floyd County, Georgia, moving the president about 800 votes closer to President-elect Joe Biden's tally in the 2020 general election.""]"
2,89,2_biden_bidens_oil_fuels,"['biden', 'bidens', 'oil', 'fuels', 'petroleum', 'gas', 'gasoline', 'gallon', 'pipeline', 'prices']","['A gas prices meme accurately shows high prices under U.S. President Joe Biden and low prices under former U.S. President Donald Trump.', 'The cancellation of the Keystone XL pipeline by Joe Biden killed hundreds of jobs, sent gas prices way up.', 'Low gas prices in Russia, Kuwait and Saudi Arabia show that Joe Biden’s decision to cancel the Keystone Pipeline project is to blame for U.S. prices.']"
3,87,3_biden_video_presidential_bidens,"['biden', 'video', 'presidential', 'bidens', 'joe', 'trump', 'podium', 'donald', 'nominee', 'reporters']","['A video shared on Facebook claims Democratic presidential nominee Joe Biden had an iPad at his podium during the final presidential debate on Oct. 22.', 'A YouTube video shared on Facebook purportedly shows Democratic presidential nominee Joe Biden waving to an empty field while disembarking from a plane in Tampa, Florida during a campaign stop.', 'An image shared on Facebook purportedly shows Democratic presidential candidate Joe Biden wearing a wire during the first presidential debate on Tuesday.']"
4,78,4_vaccine_vaccinations_vaccines_vaccinated,"['vaccine', 'vaccinations', 'vaccines', 'vaccinated', 'coronavirus', 'covid', 'biden', 'unvaccinated', 'pandemic', 'covid19']","['An image shared on Facebook claims President Joe Biden announced that Americans not vaccinated against COVID-19 before 2022 will be put in quarantine camps.', 'An image shared on Facebook more than 200 times claims former Vice President Joe Biden said, People who have never died before are now dying from corona virus [sic].', 'Quotes Joe Biden as saying people who have never died before are now dying from coronavirus.']"
5,71,5_biden_trump_bidens_presidential,"['biden', 'trump', 'bidens', 'presidential', 'donald', 'joe', 'president', 'bid', 'trumps', 'bush']","['Joe Biden said Donald Trump was still US president in speech', 'Democratic 2020 presidential nominee Joe Biden called U.S. President Donald Trump xenophobic.', 'A viral Facebook post claims President Donald Trump said, If you elect Joe Biden, there will be no hand sanitizer.']"
6,62,6_pelosis_pelosi_biden_cruz,"['pelosis', 'pelosi', 'biden', 'cruz', 'bidens', 'nancy', 'ted', 'republican', 'ivanka', 'hunter']","[""A picture from Hunter Biden's laptop shows Paul Pelosi Jr., the son of U.S. House Speaker Nancy Pelosi, doing lines of cocaine with a tied up Asian girl."", 'A post shared on Facebook claims the U.S. military recently arrested Hunter Biden, the son of President Joe Biden, as he was attempting to re-enter the country.', 'A post shared on Facebook claims House Speaker Nancy Pelosi’s son Paul Pelosi Jr. and Utah Sen. Mitt Romney’s son served on the Ukrainian gas company Burisma Holdings’ board of directors with Democratic presidential candidate Joe Biden’s son Hunter Biden.']"
7,53,7_immigration_deportations_migrants_immigrants,"['immigration', 'deportations', 'migrants', 'immigrants', 'illegals', 'biden', 'amnesty', 'illegally', 'migrant', 'trafficking']","['The Biden Administration is recklessly releasing hundreds of illegal immigrants who have COVID into Texas communities.', ""In the last several months, the Biden administration has released over 7,000 illegal aliens who were COVID positive just in one Texas city. Biden's border policies are endangering not just the people of Texas, but people all across the country."", 'Says Joe Biden is restricting travel for Americans into Mexico, but is keeping the border wide open for illegal aliens to walk right into our country.']"
8,43,8_taxes_tax_irs_biden,"['taxes', 'tax', 'irs', 'biden', 'income', 'percent', 'federal', 'bidens', 'joe', '401k']","['Says Joe Biden wants to put a 3% annual federal tax on your home.', ""A Facebook post correctly describes and compares the Trump and Biden administrations' tax plans, including massive tax hikes for corporate taxes, payroll taxes, small business taxes, and capital gains."", 'A post shared on Facebook over 126,000 times claims Democratic presidential nominee Joe Biden’s tax plan would raise income taxes from 12 percent to 25 percent for families making $75,000.']"
