Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
19749,24666,2976,2976,http://data.gesis.org/claimskg/creative_work/f3c992ed-e689-5d94-aa01-def9f18041e5,No coronavirus in Nigeria? Pastor’s claim false,africacheck,English,FALSE,1,Nigeria,['Nigeria'],1.0,7,en,107,107_coronavirus_nigeria_lagos_nigerian
20499,25436,15105,3757,http://data.gesis.org/claimskg/creative_work/040eb15d-348f-584a-9cfc-ac20153d99ae,"MAN WHO DROVE WHITE MAN TO COMPANY IN OGUN STATE DIAGNOSED WITH CORONA VIRUS, RUNS AWAY FROM HOSPITAL AND THREATENS TO SPREAD THE VIRUS ALL OVER NIGERIA",factcheck_afp,English,FALSE,1,OGUN STATE,['OGUN STATE'],1.0,27,en,107,107_coronavirus_nigeria_lagos_nigerian
29552,34842,1815,1815,http://data.gesis.org/claimskg/creative_work/38a5b144-621a-5442-bdcc-e0f0962296bb,No evidence Obasanjo said there was no coronavirus in Nigeria,africacheck,English,FALSE,1,"Nigeria, Obasanjo","['Nigeria', ' Obasanjo']",2.0,10,en,107,107_coronavirus_nigeria_lagos_nigerian
32103,37418,955,955,http://data.gesis.org/claimskg/creative_work/ef25edaf-9f2b-50f6-bc5c-2e0d5c9362d5,"No proof siam weed cures coronavirus, as Nigerian prophetess claims",africacheck,English,FALSE,1,"Nigerian, siam weed","['Nigerian', ' siam weed']",2.0,10,en,107,107_coronavirus_nigeria_lagos_nigerian
32947,38267,4966,4966,http://data.gesis.org/claimskg/creative_work/a9b58d00-d52c-57f5-b9b3-230b45ed4c4a,"No, Nigeria has not recorded first case of coronavirus",africacheck,English,FALSE,1,"Nigeria, case of coronavirus","['Nigeria', ' case of coronavirus']",2.0,9,en,107,107_coronavirus_nigeria_lagos_nigerian
34037,39366,6107,6107,http://data.gesis.org/claimskg/creative_work/4c9af463-72fc-5551-82f3-460f115534b2,"No, ‘strange disease’ reported in Nigeria’s Benue state not coronavirus",africacheck,English,FALSE,1,"Benue, Nigeria","['Benue', ' Nigeria']",2.0,10,en,107,107_coronavirus_nigeria_lagos_nigerian
34137,39467,5980,5980,http://data.gesis.org/claimskg/creative_work/592076cb-8467-5382-8500-101a70ce94cd,"Yes, suspected case of coronavirus reported in Kenya, patient in hospital after showing symptoms",africacheck,English,TRUE,3,"Kenya, case of coronavirus","['Kenya', ' case of coronavirus']",2.0,14,en,107,107_coronavirus_nigeria_lagos_nigerian
43996,50041,5125,5125,http://data.gesis.org/claimskg/creative_work/bc9f799a-b515-5978-85ca-0173e48fd430,"Empty isolation centre in Nigeria’s Kano state means coronavirus is a ‘lie’? No, video misleading",africacheck,English,FALSE,1,"Kano, Nigeria, coronavirus","['Kano', ' Nigeria', ' coronavirus']",3.0,15,en,107,107_coronavirus_nigeria_lagos_nigerian
49384,55736,1648,1648,http://data.gesis.org/claimskg/creative_work/598b1c3e-bd54-507d-9c75-d3f16e0175c4,"No confirmed case of coronavirus in Côte d’Ivoire, rest of Africa",africacheck,English,FALSE,1,"Africa, Côte d’Ivoire, case of coronavirus","['Africa', ' Côte d’Ivoire', ' case of coronavirus']",3.0,11,en,107,107_coronavirus_nigeria_lagos_nigerian
61088,67777,5030,5030,http://data.gesis.org/claimskg/creative_work/15a5dc80-8fea-5a33-907f-3ee27acb70ec,"Coronavirus in Lagos, Nigeria? No, doctored story copied from report on Lassa fever in Kogi",africacheck,English,FALSE,1,"Kogi, Lagos, Lassa fever, Nigeria","['Kogi', ' Lagos', ' Lassa fever', ' Nigeria']",4.0,15,en,107,107_coronavirus_nigeria_lagos_nigerian
