Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
3540,5898,22845,1300,http://data.gesis.org/claimskg/creative_work/c90856ba-7571-50ad-a6b9-cd591c42d03c,"Covid-19 tests detect any coronavirus, not just the one that causes Covid-19.",fullfact,English,FALSE,1,,,0.0,12,en,24,24_swab_swabs_swabbing_covid19
8311,12630,32552,302,http://data.gesis.org/claimskg/creative_work/f8dcaace-efcf-5148-9013-fd591985bceb,10-second self-check test for COVID-19,Vishvanews,English,FALSE,1,COVID-19,['COVID-19'],1.0,5,en,24,24_swab_swabs_swabbing_covid19
10653,14997,27583,6038,http://data.gesis.org/claimskg/creative_work/038256c8-20db-5158-a48e-049b9a706357,The reported numbers of cases of Covid-19 are misleading because asymptomatic people with a positive test would not normally be counted as a case.,fullfact,English,FALSE,1,Covid-19,['Covid-19'],1.0,24,en,24,24_swab_swabs_swabbing_covid19
12151,16508,44237,5410,http://data.gesis.org/claimskg/creative_work/070ac976-2c58-55be-b1c9-51bc6650e3f7,Photo that shows COVID-19 test swabs labeled positive and negative proves that the tests are fixed.,politifact,English,False,1,COVID-19,['COVID-19'],1.0,16,en,24,24_swab_swabs_swabbing_covid19
12509,16873,45393,6566,http://data.gesis.org/claimskg/creative_work/17a3de7f-4b32-5cff-a630-34e1dcce5530,The spot where they are ‘getting a sample’ for the COVID-19 test is called your Blood-Brain Barrier.,politifact,English,False,1,COVID-19 test,['COVID-19 test'],1.0,17,en,24,24_swab_swabs_swabbing_covid19
12535,16900,52891,5021,http://data.gesis.org/claimskg/creative_work/6126da31-b2a0-5f9b-9eb8-fb61ac542e36,"Says COVID-19 testing could be done with mouth swabs, so maybe deeper swabbing is implanting something.",politifact,English,MIXTURE,2,COVID-19 testing,['COVID-19 testing'],1.0,16,en,24,24_swab_swabs_swabbing_covid19
14659,19043,46865,8038,http://data.gesis.org/claimskg/creative_work/bd157b9f-5337-5df9-95f2-deb4aea3deed,WHO admits their testing grossly overstates individuals testing positive for COVID.,politifact,English,False,1,WHO,['WHO'],1.0,11,en,24,24_swab_swabs_swabbing_covid19
14709,19094,46741,7914,http://data.gesis.org/claimskg/creative_work/2ab19a13-5257-58bd-bca5-e3893296c864,We inherited a broken test for COVID-19.,politifact,English,False,1,COVID-19,['COVID-19'],1.0,7,en,24,24_swab_swabs_swabbing_covid19
18195,22714,39158,331,http://data.gesis.org/claimskg/creative_work/1c6a5dcc-2125-5450-bee3-461fcaf0efe4,Says you can monitor yourself for COVID-19 with a breath test.,politifact,English,False,1,COVID-19,['COVID-19'],1.0,11,en,24,24_swab_swabs_swabbing_covid19
20799,25745,14524,3176,http://data.gesis.org/claimskg/creative_work/fd60c4a4-0d12-5b90-b416-aa654c7da93c,Covid-19 patient tests are fixed in advance,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,7,en,24,24_swab_swabs_swabbing_covid19
22112,27234,21961,416,http://data.gesis.org/claimskg/creative_work/add44f8e-e03b-53dc-92b3-2771ddb07eb2,Positive and negative control swabs are included in Covid-19 testing kits.,fullfact,English,OTHER,-1,Positive and negative,['Positive and negative'],1.0,11,en,24,24_swab_swabs_swabbing_covid19
22154,27276,22136,591,http://data.gesis.org/claimskg/creative_work/b8bdeadd-906e-5649-88a6-00802da0e475,An illustration shows that the Covid-19 test involves a swab going all the way to the back of the nose.,fullfact,English,OTHER,-1,Covid-19,['Covid-19'],1.0,20,en,24,24_swab_swabs_swabbing_covid19
22171,27293,22068,523,http://data.gesis.org/claimskg/creative_work/a7cd070b-7a87-53e4-9460-8addd3f08c1e,The Covid-19 virus cannot be detected with tests.,fullfact,English,FALSE,1,Covid-19 virus,['Covid-19 virus'],1.0,8,en,24,24_swab_swabs_swabbing_covid19
26008,31271,48132,262,http://data.gesis.org/claimskg/creative_work/026bf087-0390-5b0c-a61c-8ee4de86b2a8,Ron DeSantis let millions of COVID-19 tests expire.,politifact,English,MIXTURE,2,"COVID-19 tests, Ron DeSantis","['COVID-19 tests', ' Ron DeSantis']",2.0,8,en,24,24_swab_swabs_swabbing_covid19
27698,32973,11460,112,http://data.gesis.org/claimskg/creative_work/eb36fb88-d4cb-5614-b675-8adde5b7ac96,Australian health authorities admit tests cannot distinguish COVID-19 from other diseases,factcheck_afp,English,FALSE,1,"Australian health, COVID-19","['Australian health', ' COVID-19']",2.0,11,en,24,24_swab_swabs_swabbing_covid19
29474,34764,71292,6,http://data.gesis.org/claimskg/creative_work/655f6879-c50b-57e7-9450-c2db87fb2bb6,A woman's brain began leaking because of a COVID-19 nasal swab test.,snopes,English,MIXTURE,2,"COVID-19, nasal swab","['COVID-19', ' nasal swab']",2.0,12,en,24,24_swab_swabs_swabbing_covid19
29771,35065,2001,2001,http://data.gesis.org/claimskg/creative_work/7f9f6547-8558-55ab-8ba7-0dbe04d2a95b,"Saliva tests for Covid-19 exist, but less accurate than nasal tests",africacheck,English,FALSE,1,"Covid-19, Saliva tests","['Covid-19', ' Saliva tests']",2.0,11,en,24,24_swab_swabs_swabbing_covid19
31929,37241,72235,949,http://data.gesis.org/claimskg/creative_work/9e5f34a2-0997-5a5b-85d3-9c3eb2eab46f,China has started to use anal swabs in order to test for COVID-19.,snopes,English,MIXTURE,2,"COVID-19, China","['COVID-19', ' China']",2.0,13,en,24,24_swab_swabs_swabbing_covid19
36893,42279,17347,5999,http://data.gesis.org/claimskg/creative_work/ec2a909d-deeb-52be-93d8-78ffdf5ff7a4,Red Deer resident diagnosed positive for Covid-19 without a test,factcheck_afp,English,FALSE,1,"Covid-19, Red Deer","['Covid-19', ' Red Deer']",2.0,10,en,24,24_swab_swabs_swabbing_covid19
37681,43102,39360,533,http://data.gesis.org/claimskg/creative_work/da78dd76-01af-520c-a32a-073fe04e6f0b,The CDC finally admits its COVID-19 test can’t tell the difference between the virus and the flu,politifact,English,False,1,"CDC, COVID-19","['CDC', ' COVID-19']",2.0,17,en,24,24_swab_swabs_swabbing_covid19
39516,45051,26312,4767,http://data.gesis.org/claimskg/creative_work/c1091855-2e44-5514-8324-8856eee1c660,Covid-19 tests cause cancer due to being laden with ethylene oxide.,fullfact,English,FALSE,1,"Covid-19, ethylene oxide","['Covid-19', ' ethylene oxide']",2.0,11,en,24,24_swab_swabs_swabbing_covid19
39741,45277,25809,4264,http://data.gesis.org/claimskg/creative_work/0e072271-d2df-517b-9739-4fcfd2368995,"Of all the positive Covid tests of the 9,000+ students at Cambridge University tested in the week to 6 December, every single one was found to be a false positive after a second test.",fullfact,English,TRUE,3,"Cambridge University, false positive","['Cambridge University', ' false positive']",2.0,34,en,24,24_swab_swabs_swabbing_covid19
40254,45957,17890,6542,http://data.gesis.org/claimskg/creative_work/2a099066-12dc-5d68-9bac-b12770c9bc0c,Samples should be taken from oropharynx when using Covid-19 self-test kits,factcheck_afp,English,FALSE,1,"Covid-19, oropharynx","['Covid-19', ' oropharynx']",2.0,11,en,24,24_swab_swabs_swabbing_covid19
40275,45980,32921,671,http://data.gesis.org/claimskg/creative_work/c72f0c60-ad3f-5b61-a99f-840b22e9b801,This Thane Lab Is Sealed Over False-Positive COVID19 Testing,Vishvanews,English,FALSE,1,"COVID19, Testing","['COVID19', ' Testing']",2.0,9,en,24,24_swab_swabs_swabbing_covid19
44121,50167,17174,5826,http://data.gesis.org/claimskg/creative_work/d287d73c-6baf-5153-ab2b-b71baed019fa,Positive test for COVID-19 same as having had a common cold?,factcheck_afp,English,FALSE,1,"COVID-19, Positive test, common cold","['COVID-19', ' Positive test', ' common cold']",3.0,11,en,24,24_swab_swabs_swabbing_covid19
46153,52320,26816,5271,http://data.gesis.org/claimskg/creative_work/00d61d2d-a067-5d49-b800-709d3bac66b9,"Five different people’s Covid-19 swab tests are being sent off in one vial, so one positive test will contaminate the other four, giving five positives.",fullfact,English,OTHER,-1,"Covid-19, swab tests, vial","['Covid-19', ' swab tests', ' vial']",3.0,25,en,24,24_swab_swabs_swabbing_covid19
46539,52709,45157,6330,http://data.gesis.org/claimskg/creative_work/eb7f4554-ad60-5b92-a84d-7d74901c93e6,Ethylene oxide used in COVID-19 testing swabs literally changes the structure of the building blocks of your own body.,politifact,English,False,1,"COVID-19 testing, Ethylene oxide, building blocks","['COVID-19 testing', ' Ethylene oxide', ' building blocks']",3.0,19,en,24,24_swab_swabs_swabbing_covid19
46731,52909,73695,2409,http://data.gesis.org/claimskg/creative_work/b7a89bc4-ca91-5465-b92c-c851903e88d0,"COVID-19 diagnostic tests are sterilized with a substance called ethylene oxide (EtO), which has been linked to cancer.",snopes,English,MIXTURE,2,"COVID-19, ethylene oxide, linked to cancer","['COVID-19', ' ethylene oxide', ' linked to cancer']",3.0,18,en,24,24_swab_swabs_swabbing_covid19
48364,54599,11386,38,http://data.gesis.org/claimskg/creative_work/137a85f8-683e-5641-bcaa-ec2dba18dd09,COVID-19 swab tests compromise blood-brain barrier,factcheck_afp,English,FALSE,1,"COVID-19, blood-brain barrier, swab tests","['COVID-19', ' blood-brain barrier', ' swab tests']",3.0,6,en,24,24_swab_swabs_swabbing_covid19
50177,56550,7290,1052,http://data.gesis.org/claimskg/creative_work/8fad65e4-0067-50c0-949a-ef33cf834595,An image shared on Facebook claims a batch of COVID-19 nasal swab tests that were distributed to the U.S. military were tainted with flesh-eating bacteria.,checkyourfact,English,FALSE,1,"Facebook, U.S., swab tests","['Facebook', ' U.S.', ' swab tests']",3.0,25,en,24,24_swab_swabs_swabbing_covid19
50844,57221,13076,1728,http://data.gesis.org/claimskg/creative_work/47700943-f0a9-519d-a0a1-9abb16a4925e,Positive and negative control swabs in Covid-19 test kits are used to fix test results,factcheck_afp,English,FALSE,1,"Covid-19, Positive and negative, test results","['Covid-19', ' Positive and negative', ' test results']",3.0,15,en,24,24_swab_swabs_swabbing_covid19
55316,61737,16560,5212,http://data.gesis.org/claimskg/creative_work/f343a014-e165-5458-9521-c92eacf3af52,"Rapid antigen test kit will only detect acidity, not Covid-19",factcheck_afp,English,FALSE,1,"Covid-19, Rapid antigen test, acidity","['Covid-19', ' Rapid antigen test', ' acidity']",3.0,10,en,24,24_swab_swabs_swabbing_covid19
55563,61990,13522,2174,http://data.gesis.org/claimskg/creative_work/2fba0ae2-2482-5d44-8778-e6bdba243947,Combined Covid-19 and flu test kit shows both viruses are the same,factcheck_afp,English,FALSE,1,"Covid-19, flu, test kit, viruses","['Covid-19', ' flu', ' test kit', ' viruses']",4.0,12,en,24,24_swab_swabs_swabbing_covid19
