Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
3540,5898,22845,1300,http://data.gesis.org/claimskg/creative_work/c90856ba-7571-50ad-a6b9-cd591c42d03c,"Covid-19 tests detect any coronavirus, not just the one that causes Covid-19.",fullfact,English,FALSE,1,,,0.0,12,en,24,24_swab_swabs_swabbing_covid19
22171,27293,22068,523,http://data.gesis.org/claimskg/creative_work/a7cd070b-7a87-53e4-9460-8addd3f08c1e,The Covid-19 virus cannot be detected with tests.,fullfact,English,FALSE,1,Covid-19 virus,['Covid-19 virus'],1.0,8,en,24,24_swab_swabs_swabbing_covid19
37681,43102,39360,533,http://data.gesis.org/claimskg/creative_work/da78dd76-01af-520c-a32a-073fe04e6f0b,The CDC finally admits its COVID-19 test can’t tell the difference between the virus and the flu,politifact,English,False,1,"CDC, COVID-19","['CDC', ' COVID-19']",2.0,17,en,24,24_swab_swabs_swabbing_covid19
27698,32973,11460,112,http://data.gesis.org/claimskg/creative_work/eb36fb88-d4cb-5614-b675-8adde5b7ac96,Australian health authorities admit tests cannot distinguish COVID-19 from other diseases,factcheck_afp,English,FALSE,1,"Australian health, COVID-19","['Australian health', ' COVID-19']",2.0,11,en,24,24_swab_swabs_swabbing_covid19
55563,61990,13522,2174,http://data.gesis.org/claimskg/creative_work/2fba0ae2-2482-5d44-8778-e6bdba243947,Combined Covid-19 and flu test kit shows both viruses are the same,factcheck_afp,English,FALSE,1,"Covid-19, flu, test kit, viruses","['Covid-19', ' flu', ' test kit', ' viruses']",4.0,12,en,24,24_swab_swabs_swabbing_covid19
12151,16508,44237,5410,http://data.gesis.org/claimskg/creative_work/070ac976-2c58-55be-b1c9-51bc6650e3f7,Photo that shows COVID-19 test swabs labeled positive and negative proves that the tests are fixed.,politifact,English,False,1,COVID-19,['COVID-19'],1.0,16,en,24,24_swab_swabs_swabbing_covid19
44121,50167,17174,5826,http://data.gesis.org/claimskg/creative_work/d287d73c-6baf-5153-ab2b-b71baed019fa,Positive test for COVID-19 same as having had a common cold?,factcheck_afp,English,FALSE,1,"COVID-19, Positive test, common cold","['COVID-19', ' Positive test', ' common cold']",3.0,11,en,24,24_swab_swabs_swabbing_covid19
14709,19094,46741,7914,http://data.gesis.org/claimskg/creative_work/2ab19a13-5257-58bd-bca5-e3893296c864,We inherited a broken test for COVID-19.,politifact,English,False,1,COVID-19,['COVID-19'],1.0,7,en,24,24_swab_swabs_swabbing_covid19
20799,25745,14524,3176,http://data.gesis.org/claimskg/creative_work/fd60c4a4-0d12-5b90-b416-aa654c7da93c,Covid-19 patient tests are fixed in advance,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,7,en,24,24_swab_swabs_swabbing_covid19
29771,35065,2001,2001,http://data.gesis.org/claimskg/creative_work/7f9f6547-8558-55ab-8ba7-0dbe04d2a95b,"Saliva tests for Covid-19 exist, but less accurate than nasal tests",africacheck,English,FALSE,1,"Covid-19, Saliva tests","['Covid-19', ' Saliva tests']",2.0,11,en,24,24_swab_swabs_swabbing_covid19
12535,16900,52891,5021,http://data.gesis.org/claimskg/creative_work/6126da31-b2a0-5f9b-9eb8-fb61ac542e36,"Says COVID-19 testing could be done with mouth swabs, so maybe deeper swabbing is implanting something.",politifact,English,MIXTURE,2,COVID-19 testing,['COVID-19 testing'],1.0,16,en,24,24_swab_swabs_swabbing_covid19
55316,61737,16560,5212,http://data.gesis.org/claimskg/creative_work/f343a014-e165-5458-9521-c92eacf3af52,"Rapid antigen test kit will only detect acidity, not Covid-19",factcheck_afp,English,FALSE,1,"Covid-19, Rapid antigen test, acidity","['Covid-19', ' Rapid antigen test', ' acidity']",3.0,10,en,24,24_swab_swabs_swabbing_covid19
