Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
81,579,15718,4370,http://data.gesis.org/claimskg/creative_work/88639f00-b3f4-53fb-8160-d1befc1d7186,Australian couple quarantined on cruise due to novel coronavirus gets wine delivered by drone,factcheck_afp,English,FALSE,1,,,0.0,14,en,-1,-1_covid19_covid_vaccinated_vaccines
101,706,15538,4190,http://data.gesis.org/claimskg/creative_work/fef0703e-8832-5c40-81d0-ee0a245d2d97,US Vice President delivers empty boxes to hospital during coronavirus crisis,factcheck_afp,English,FALSE,1,,,0.0,11,en,-1,-1_covid19_covid_vaccinated_vaccines
107,749,15509,4161,http://data.gesis.org/claimskg/creative_work/cee033ed-0fd8-5d79-8247-0aff490ec2b6,Pakistani health minister says she won’t get vaccinated,factcheck_afp,English,FALSE,1,,,0.0,8,en,-1,-1_covid19_covid_vaccinated_vaccines
119,872,15993,4645,http://data.gesis.org/claimskg/creative_work/a6b135dc-6e7e-5e66-9ef3-bfd9d01d9838,This photo shows a lion patrolling Russian streets during coronavirus lockdown,factcheck_afp,English,FALSE,1,,,0.0,11,en,-1,-1_covid19_covid_vaccinated_vaccines
158,1323,17384,6036,http://data.gesis.org/claimskg/creative_work/8682cfd0-85d1-558e-a0ca-f5b1cdd74f8c,Cannabis boosts immunity against coronavirus,factcheck_afp,English,FALSE,1,,,0.0,5,en,-1,-1_covid19_covid_vaccinated_vaccines
185,1562,17728,6380,http://data.gesis.org/claimskg/creative_work/38c2aecf-afd6-5664-8489-c32a59036c68,"Countries announced cancellation of quarantine, 'coronavirus' tests",factcheck_afp,English,FALSE,1,,,0.0,7,en,-1,-1_covid19_covid_vaccinated_vaccines
200,1716,16957,5609,http://data.gesis.org/claimskg/creative_work/8133db91-d218-561d-9464-5ef9a2292770,Image of politician receiving a vaccine seven times?,factcheck_afp,English,FALSE,1,,,0.0,8,en,-1,-1_covid19_covid_vaccinated_vaccines
203,1727,16907,5559,http://data.gesis.org/claimskg/creative_work/4aa980a3-71b7-5162-8271-4ba71af2a0a3,"Covid relief plan will cost every American $5,750",factcheck_afp,English,FALSE,1,,,0.0,8,en,-1,-1_covid19_covid_vaccinated_vaccines
222,1943,16823,5475,http://data.gesis.org/claimskg/creative_work/6a62f577-2772-52ad-aba9-4db5e5e8cbbc,Human body turned magnetic after taking Corona vaccine,factcheck_afp,English,FALSE,1,,,0.0,8,en,-1,-1_covid19_covid_vaccinated_vaccines
262,2261,45412,6585,http://data.gesis.org/claimskg/creative_work/3a6113eb-a745-54eb-b134-b342fd68ef4b,"You know what the biggest lie is, is that restaurants are spreaders of COVID. There's no science for that.",politifact,English,False,1,,,0.0,19,en,-1,-1_covid19_covid_vaccinated_vaccines
285,2284,11476,128,http://data.gesis.org/claimskg/creative_work/1913f89e-e6d9-5514-bdb6-756e5560cfaf,Those who believe immunized people are still at risk do not think vaccines work.,factcheck_afp,English,FALSE,1,,,0.0,14,en,-1,-1_covid19_covid_vaccinated_vaccines
286,2285,45331,6504,http://data.gesis.org/claimskg/creative_work/c196224f-2f7b-57c8-8c98-f5cf052a40df,"COVID was so bad one year, they just forgot to give us a hurricane? What’s really going on here.",politifact,English,False,1,,,0.0,19,en,-1,-1_covid19_covid_vaccinated_vaccines
415,2415,46282,7455,http://data.gesis.org/claimskg/creative_work/48c0667d-aadc-5746-be9b-e8b8710ed8d5,You will be 'vaccinated' regardless of whether you receive the shot or not.,politifact,English,False,1,,,0.0,13,en,-1,-1_covid19_covid_vaccinated_vaccines
437,2437,46831,8004,http://data.gesis.org/claimskg/creative_work/3a2612b0-de55-5fea-a6f5-fb4de0a82627,Says to leave objects in the sun to avoid contracting the coronavirus.,politifact,English,False,1,,,0.0,12,en,-1,-1_covid19_covid_vaccinated_vaccines
459,2460,46757,7930,http://data.gesis.org/claimskg/creative_work/532eedaa-f94a-556a-b63f-4508f28bc38f,Says Michigan COVID-19 order bans gardening and the sale of vegetable seeds and fruit.,politifact,English,False,1,,,0.0,14,en,-1,-1_covid19_covid_vaccinated_vaccines
468,2469,45910,7083,http://data.gesis.org/claimskg/creative_work/0385ed9c-5f10-5061-9b3e-99b0aed2c99f,COVID ends next Wednesday.,politifact,English,False,1,,,0.0,4,en,-1,-1_covid19_covid_vaccinated_vaccines
503,2504,46167,7340,http://data.gesis.org/claimskg/creative_work/e10db1a9-ac5f-5cf2-95e3-738eb331ce81,Video shows irate airline passenger demanding a seat away from an unvaccinated passenger and being asked to leave the airplane.,politifact,English,False,1,,,0.0,20,en,-1,-1_covid19_covid_vaccinated_vaccines
523,2525,46084,7257,http://data.gesis.org/claimskg/creative_work/725253b0-f4d7-5265-a27c-85fc3978e6a7,79.4% of babies who die of ‘SIDS’ had a vaccine the same day.,politifact,English,False,1,,,0.0,13,en,-1,-1_covid19_covid_vaccinated_vaccines
530,2532,44668,5841,http://data.gesis.org/claimskg/creative_work/12d9919c-e723-5230-bc4a-b20506dd25c3,There are a multitude of vaccines that do not prevent deadly and crippling diseases.,politifact,English,False,1,,,0.0,14,en,-1,-1_covid19_covid_vaccinated_vaccines
531,2533,44657,5830,http://data.gesis.org/claimskg/creative_work/fde92434-7fcd-57de-9c64-ace0762162e3,The media pulled down an entire shelf of goods so that they can present the news of people buying stuff in a hysteria over the coronavirus.,politifact,English,False,1,,,0.0,26,en,-1,-1_covid19_covid_vaccinated_vaccines
592,2601,43433,4606,http://data.gesis.org/claimskg/creative_work/3529eb1e-a742-5038-842f-2f510f51f031,Photo shows a German mall separating the vaccinated and unvaccinated.,politifact,English,False,1,,,0.0,10,en,-1,-1_covid19_covid_vaccinated_vaccines
608,2617,12530,1182,http://data.gesis.org/claimskg/creative_work/bcbf79dc-8d28-57f6-9cb2-fd41e4f3e2b0,Video shows a robot administering vaccines,factcheck_afp,English,FALSE,1,,,0.0,6,en,-1,-1_covid19_covid_vaccinated_vaccines
647,2656,42826,3999,http://data.gesis.org/claimskg/creative_work/de6f7564-134c-539b-a309-06ce24cad898,NYC man drops dead in middle of street — suspected coronavirus!,politifact,English,False,1,,,0.0,11,en,-1,-1_covid19_covid_vaccinated_vaccines
667,2676,43647,4820,http://data.gesis.org/claimskg/creative_work/11ab9ce6-ac6f-57bd-a9e6-9855c965b2e9,"I would do press events in May, I would never be asked about coronavirus.''",politifact,English,False,1,,,0.0,14,en,-1,-1_covid19_covid_vaccinated_vaccines
695,2705,44243,5416,http://data.gesis.org/claimskg/creative_work/7133ba2f-e06e-539e-828e-eb084eed92c0,"Around the world, people who exercise their health autonomy and don't get vaccinated are being put basically into internment camps.",politifact,English,False,1,,,0.0,20,en,-1,-1_covid19_covid_vaccinated_vaccines
703,2713,44575,5748,http://data.gesis.org/claimskg/creative_work/07278f36-00b4-57f4-8cdd-21ea2b54efd2,920 women lose their unborn babies after getting vaccinated.,politifact,English,False,1,,,0.0,9,en,-1,-1_covid19_covid_vaccinated_vaccines
705,2715,44586,5759,http://data.gesis.org/claimskg/creative_work/5609ff41-53f6-5cd3-93ec-9745f35e15a5,Sunlight actually can kill the (novel coronavirus.),politifact,English,False,1,,,0.0,7,en,-1,-1_covid19_covid_vaccinated_vaccines
707,2717,44605,5778,http://data.gesis.org/claimskg/creative_work/df5d32a2-80d7-527a-8063-9e0dd32a3e6f,There is no added safety to the public if you're vaccinated.,politifact,English,False,1,,,0.0,11,en,-1,-1_covid19_covid_vaccinated_vaccines
735,2748,12112,764,http://data.gesis.org/claimskg/creative_work/0a6a9195-6713-578c-80c8-df359374373b,List of food and Australian suburbs contaminated by coronavirus,factcheck_afp,English,FALSE,1,,,0.0,9,en,-1,-1_covid19_covid_vaccinated_vaccines
736,2749,43787,4960,http://data.gesis.org/claimskg/creative_work/fb237aed-71c4-521c-a3c2-0772f4c768a2,Everyone is only dying of coronavirus now.,politifact,English,False,1,,,0.0,7,en,-1,-1_covid19_covid_vaccinated_vaccines
772,2785,44096,5269,http://data.gesis.org/claimskg/creative_work/c81490f0-47b7-5ed7-b25a-b6a10a4d8b0e,"We have over 100,000 children, which we’ve never had before, in serious condition, and many on ventilators due to the coronavirus.",politifact,English,False,1,,,0.0,21,en,-1,-1_covid19_covid_vaccinated_vaccines
782,2795,44143,5316,http://data.gesis.org/claimskg/creative_work/7a1280fa-f6ab-5311-9791-55e6a4a708be,The novel coronavirus was man-made.,politifact,English,False,1,,,0.0,5,en,-1,-1_covid19_covid_vaccinated_vaccines
852,2867,50177,2307,http://data.gesis.org/claimskg/creative_work/4f08103c-bc0b-584c-ad3f-85e51aec2824,"Cannabis may stop coronavirus from infecting people, study finds.",politifact,English,MIXTURE,2,,,0.0,9,en,-1,-1_covid19_covid_vaccinated_vaccines
