Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
251,2225,17143,5795,http://data.gesis.org/claimskg/creative_work/141c3125-4980-55f0-b46a-29ea243c4468,Video of US people chanting anti-Biden slogan in 2021,factcheck_afp,English,FALSE,1,,,0.0,9,en,3,3_biden_video_presidential_bidens
1898,3970,41150,2323,http://data.gesis.org/claimskg/creative_work/54249c50-424f-522e-9b0e-da97e7c9579a,This Is Real: Biden Waves To An Empty Field.,politifact,English,False,1,,,0.0,9,en,3,3_biden_video_presidential_bidens
2079,4154,42410,3583,http://data.gesis.org/claimskg/creative_work/adc0e646-3127-5fb0-9455-e17d9dd243f4,Biden flashed the white power sign while a black man was asking him a question.,politifact,English,False,1,,,0.0,15,en,3,3_biden_video_presidential_bidens
2252,4335,38875,48,http://data.gesis.org/claimskg/creative_work/d19a774b-4e42-52a2-a219-525d0a5c5647,Video shows Biden giving the same exact speech months apart.,politifact,English,False,1,,,0.0,10,en,3,3_biden_video_presidential_bidens
12957,17327,42032,3205,http://data.gesis.org/claimskg/creative_work/57cce63e-76b6-5a9d-a0a1-b00db67fcd01,Says a video shows Joe Biden lolling his tongue.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,9,en,3,3_biden_video_presidential_bidens
13196,17567,43857,5030,http://data.gesis.org/claimskg/creative_work/2924ab58-f07a-567b-b7a9-070863cad137,A video shows Joe Biden lost and confused on stage.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,10,en,3,3_biden_video_presidential_bidens
13259,17630,43314,4487,http://data.gesis.org/claimskg/creative_work/3ee33cf4-7ebf-5b59-8862-d59f5747fa40,In-N-Out cups say F--- Joe Biden.,politifact,English,False,1,In-N-Out,['In-N-Out'],1.0,6,en,3,3_biden_video_presidential_bidens
14673,19057,46890,8063,http://data.gesis.org/claimskg/creative_work/868f6962-e0de-570e-9553-435e579a06ef,Joe Biden called Black youth super predators.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,7,en,3,3_biden_video_presidential_bidens
16952,21454,40137,1310,http://data.gesis.org/claimskg/creative_work/6fdec447-793a-531a-876d-83b08ea35c37,Video proves 100% that President Joe Biden is not a ‘human’ being.,politifact,English,False,1,President Joe Biden,['President Joe Biden'],1.0,12,en,3,3_biden_video_presidential_bidens
17151,21657,39704,877,http://data.gesis.org/claimskg/creative_work/28476f4e-7135-5480-bb45-a914c3ba9f1b,A video shows crowds shouting profanity at Joe Biden.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,9,en,3,3_biden_video_presidential_bidens
