Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
8855,13188,31009,1862,http://data.gesis.org/claimskg/creative_work/4ff96df6-eaba-5e4f-b722-6dc103c409dc,Image depicts a person's destroyed kitchen after they tried to microwave a coronavirus mask during the COVID-19 pandemic.,truthorfiction,English,FALSE,1,COVID-19 pandemic,['COVID-19 pandemic'],1.0,18,en,74,74_coronavirus_outbreak_pandemic_virus
19073,23893,10168,3930,http://data.gesis.org/claimskg/creative_work/cfe2bb3b-b288-564b-bdc0-ffc5845d293c,An image shared on Facebook purportedly shows blankets used by Chinese coronavirus patients that will be sent to Africa to infect Africans with the virus.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,25,en,74,74_coronavirus_outbreak_pandemic_virus
19606,24495,2809,2809,http://data.gesis.org/claimskg/creative_work/93cefe21-6001-584b-a1c7-ce972c7c9eba,"Photos not of coronavirus outbreak – and virus not ‘unknown’, fatal in ‘few seconds’",africacheck,English,FALSE,1,coronavirus outbreak,['coronavirus outbreak'],1.0,14,en,74,74_coronavirus_outbreak_pandemic_virus
21195,26180,16978,5630,http://data.gesis.org/claimskg/creative_work/4a181a8a-476d-5ae8-baac-032d2fdee8ee,Photo shows bodies of Covid victims in China,factcheck_afp,English,FALSE,1,China,['China'],1.0,8,en,74,74_coronavirus_outbreak_pandemic_virus
21284,26272,5427,5427,http://data.gesis.org/claimskg/creative_work/b89b1969-42e1-5f87-a18b-f74a9ebd5f51,"Coronavirus victims? No, photo of people killed by 2004 tsunami",africacheck,English,FALSE,1,2004 tsunami,['2004 tsunami'],1.0,10,en,74,74_coronavirus_outbreak_pandemic_virus
21437,26429,14663,3315,http://data.gesis.org/claimskg/creative_work/4b394e8c-b649-5d19-9de2-64dd685e36a5,These photographs show the coffins of coronavirus victims,factcheck_afp,English,FALSE,1,coronavirus victims,['coronavirus victims'],1.0,8,en,74,74_coronavirus_outbreak_pandemic_virus
27503,32775,9577,3339,http://data.gesis.org/claimskg/creative_work/54c8e6d4-1366-566b-806e-734dd60a595a,"A video shared on Facebook more than 24,000 times purportedly shows a kitchen worker blowing into food wrappers during the coronavirus pandemic.",checkyourfact,English,FALSE,1,"Facebook, coronavirus pandemic","['Facebook', ' coronavirus pandemic']",2.0,22,en,74,74_coronavirus_outbreak_pandemic_virus
37380,42796,16460,5112,http://data.gesis.org/claimskg/creative_work/c18d52ec-fdb4-5956-93b4-02eaba34a7de,This photo shows a mass burial ground for tens of thousands of virus victims amid the novel coronavirus outbreak,factcheck_afp,English,FALSE,1,"coronavirus outbreak, tens of thousands","['coronavirus outbreak', ' tens of thousands']",2.0,19,en,74,74_coronavirus_outbreak_pandemic_virus
40296,46011,17987,6639,http://data.gesis.org/claimskg/creative_work/6e9b4494-5eb1-52d2-bf60-986346c2b8d1,Photo shows situation in Ecuador during coronavirus pandemic,factcheck_afp,English,FALSE,1,"Ecuador, coronavirus pandemic","['Ecuador', ' coronavirus pandemic']",2.0,8,en,74,74_coronavirus_outbreak_pandemic_virus
40943,46821,12923,1575,http://data.gesis.org/claimskg/creative_work/19ed3618-a1f2-5933-8bcc-3553e47a4f43,Photos show Myanmar's navy shooting at Bengalis to stop them from entering Myanmar with the novel coronavirus,factcheck_afp,English,FALSE,1,"Bengalis, Myanmar","['Bengalis', ' Myanmar']",2.0,17,en,74,74_coronavirus_outbreak_pandemic_virus
