Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
534,2536,43312,4485,http://data.gesis.org/claimskg/creative_work/1896774c-674c-5f09-abf0-1792cd9e1d2f,"It is the vaccinated, NOT the unvaccinated, spreading mutant variants.",politifact,English,False,1,,,0.0,10,en,64,64_vaccine_immunity_immune_doses
771,2784,44091,5264,http://data.gesis.org/claimskg/creative_work/9fd71b11-d3ef-5ab8-a26a-b131de5c1ac9,You can’t tell me they can (develop a safe vaccine) in eight to 10 months. Or a year. It takes more time than that.,politifact,English,False,1,,,0.0,24,en,64,64_vaccine_immunity_immune_doses
1867,3937,15046,3698,http://data.gesis.org/claimskg/creative_work/9b4b204a-7d5d-56b7-acec-280cc1c3edd0,Video shows poisonous vaccine material flowing through blood vessels,factcheck_afp,English,FALSE,1,,,0.0,9,en,64,64_vaccine_immunity_immune_doses
2219,4301,39473,646,http://data.gesis.org/claimskg/creative_work/d1692f04-7208-56ee-97f6-85a51de8a4af,"Vaccine makers are shipping lots of jabs with varying ingredients, potency & EVEN placebo lots.",politifact,English,False,1,,,0.0,15,en,64,64_vaccine_immunity_immune_doses
3457,5813,25779,4234,http://data.gesis.org/claimskg/creative_work/129d5b82-251c-57e2-8397-19f465886a2d,Asking what’s in the vaccine before having it is classed as an offence.,fullfact,English,OTHER,-1,,,0.0,13,en,64,64_vaccine_immunity_immune_doses
3614,5973,25991,4446,http://data.gesis.org/claimskg/creative_work/b2ceb94d-5a69-51bb-9018-01c540ba9fda,There is a decrease in the amount of saline in the second vaccine dose compared to the first and an increase in the levels of harmful ingredients.,fullfact,English,OTHER,-1,,,0.0,27,en,64,64_vaccine_immunity_immune_doses
4324,8013,27723,6178,http://data.gesis.org/claimskg/creative_work/baac4346-8a88-5563-b8c4-246e4960890a,The vaccine is experimental.,fullfact,English,OTHER,-1,,,0.0,4,en,64,64_vaccine_immunity_immune_doses
15093,19481,52152,4282,http://data.gesis.org/claimskg/creative_work/01e81d46-1892-5451-80d6-9d9db7b52b58,Merriam-Webster recently changed its definition of the word vaccine and removed the immunity portion.,politifact,English,MIXTURE,2,Merriam-Webster,['Merriam-Webster'],1.0,14,en,64,64_vaccine_immunity_immune_doses
21940,26943,22663,1118,http://data.gesis.org/claimskg/creative_work/7d37402f-b468-5665-ba8c-ff92b6fec13a,There is human blood in vaccines.,fullfact,English,OTHER,-1,human blood,['human blood'],1.0,6,en,64,64_vaccine_immunity_immune_doses
22130,27252,21978,433,http://data.gesis.org/claimskg/creative_work/be2ff079-4f37-5ae4-a5ab-681511195ae2,A vial for the Oxford vaccine existed in March 2020.,fullfact,English,TRUE,3,vial,['vial'],1.0,10,en,64,64_vaccine_immunity_immune_doses
