Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
2024,4098,40841,2014,http://data.gesis.org/claimskg/creative_work/b655e4a9-451b-5902-bc45-d8373bba5494,The government has released their initial plans to force a vaccine on everyone.,politifact,English,False,1,,,0.0,13,en,8,8_vaccination_vaccine_vaccinations_vaccinated
43841,49881,66162,4133,http://data.gesis.org/claimskg/creative_work/724965e9-3f7d-518c-b126-39c8dd58f6f7,"In fall 2020, the U.S. federal government released plans to force every citizen to get a COVID-19 vaccine.",snopes,English,False,1,"COVID-19 vaccine, U.S. federal government, fall 2020","['COVID-19 vaccine', ' U.S. federal government', ' fall 2020']",3.0,18,en,8,8_vaccination_vaccine_vaccinations_vaccinated
7450,11726,65693,3664,http://data.gesis.org/claimskg/creative_work/45d6618e-3564-571e-bd3c-7ac685b83706,The U.S. government plans to make vaccinations mandatory for all adults.,snopes,English,False,1,U.S.,['U.S.'],1.0,11,en,8,8_vaccination_vaccine_vaccinations_vaccinated
34366,39700,65480,3451,http://data.gesis.org/claimskg/creative_work/6c513ab7-07ee-56a6-a1f3-b70f2bf52872,The U.S. government is planning to implement mandatory Ebola vaccinations for all residents.,snopes,English,False,1,"Ebola, U.S. government","['Ebola', ' U.S. government']",2.0,13,en,8,8_vaccination_vaccine_vaccinations_vaccinated
3042,5394,24072,2527,http://data.gesis.org/claimskg/creative_work/da36b89f-0d44-5597-8827-b40ccc973dc7,"The government is bringing in a law that means unlicensed, untested vaccines can be given to people and no one is liable if they go wrong.",fullfact,English,FALSE,1,,,0.0,26,en,8,8_vaccination_vaccine_vaccinations_vaccinated
2735,4828,26417,4872,http://data.gesis.org/claimskg/creative_work/65856a1f-4a60-5808-9ee2-46240eda7560,Mandatory vaccines became law from Wednesday 6 January 2021.,fullfact,English,FALSE,1,,,0.0,9,en,8,8_vaccination_vaccine_vaccinations_vaccinated
3013,5365,24099,2554,http://data.gesis.org/claimskg/creative_work/b689de33-c0d4-5ae2-bf76-8465fe9ec2c2,"After 18 September, the government is going to say that because there were no objections, they will roll out unlicensed vaccines.",fullfact,English,OTHER,-1,,,0.0,21,en,8,8_vaccination_vaccine_vaccinations_vaccinated
20877,25825,17498,6150,http://data.gesis.org/claimskg/creative_work/537c838a-0439-5e92-82c1-8610bda42535,"Liberal, Labor and Greens plan to make Covid-19 vaccination mandatory",factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,10,en,8,8_vaccination_vaccine_vaccinations_vaccinated
21656,26651,11341,227,http://data.gesis.org/claimskg/creative_work/29af4187-6410-5a70-9bf3-69e7b1ff2862,Vaccination and chipping will be mandatory,eufactcheck,English,FALSE,1,Vaccination,['Vaccination'],1.0,6,en,8,8_vaccination_vaccine_vaccinations_vaccinated
2473,4563,22211,666,http://data.gesis.org/claimskg/creative_work/414aab46-67c4-5dd0-8b82-74d9e2f53ebd,Mandatory vaccine certificates are being introduced.,fullfact,English,OTHER,-1,,,0.0,6,en,8,8_vaccination_vaccine_vaccinations_vaccinated
