Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
4133,6605,27784,6239,http://data.gesis.org/claimskg/creative_work/86e53d84-3e98-5a49-b73d-2e90b922cedd,"Tomatoes, raspberries, blackberries and lemons produce positive lateral flow test results for Covid-19.",fullfact,English,FALSE,1,,,0.0,13,en,86,86_covid_covid19_coronavirus_tested
9590,13928,26457,4912,http://data.gesis.org/claimskg/creative_work/94cfe50b-17b7-540b-be68-df496493afc9,"Ketchup, orange squash, tomatoes, strawberries and grapes all deliver positive Covid-19 lateral flow test results.",fullfact,English,OTHER,-1,lateral flow test,['lateral flow test'],1.0,15,en,86,86_covid_covid19_coronavirus_tested
10356,14700,27619,6074,http://data.gesis.org/claimskg/creative_work/53a51604-845b-518c-9946-7a5a7fb7689e,Rapid Covid-19 tests are unreliable because fruit and Coca-Cola can give positive results.,fullfact,English,FALSE,1,Coca-Cola,['Coca-Cola'],1.0,13,en,86,86_covid_covid19_coronavirus_tested
21652,26647,22200,655,http://data.gesis.org/claimskg/creative_work/b6a34387-afed-571b-ae2a-583ee24d9d97,Ketchup tested positive for Covid-19 using a lateral flow test.,fullfact,English,FALSE,1,lateral flow test,['lateral flow test'],1.0,10,en,86,86_covid_covid19_coronavirus_tested
22570,27706,24399,2854,http://data.gesis.org/claimskg/creative_work/8ca726ee-1ab2-5cf1-ab19-7982f507f189,An orange has tested positive for Covid-19 using a lateral flow test.,fullfact,English,FALSE,1,lateral flow test,['lateral flow test'],1.0,12,en,86,86_covid_covid19_coronavirus_tested
23135,28287,12218,870,http://data.gesis.org/claimskg/creative_work/35fbf821-59df-58b3-8afa-1e42c9479ad7,Positive results with tap water show rapid Covid tests inaccurate,factcheck_afp,English,FALSE,1,tap water,['tap water'],1.0,10,en,86,86_covid_covid19_coronavirus_tested
31980,37292,1071,1071,http://data.gesis.org/claimskg/creative_work/83514877-0353-5861-a423-904d0186b442,Port Elizabeth’s Covid cases not linked to poor drinking water,africacheck,English,FALSE,1,"Port Elizabeth, drinking water","['Port Elizabeth', ' drinking water']",2.0,10,en,86,86_covid_covid19_coronavirus_tested
37305,42717,16382,5034,http://data.gesis.org/claimskg/creative_work/6e3bbc19-4a30-590b-a778-2adfb2a6dfb5,Video shows tap water tested positive for Covid-19,factcheck_afp,English,FALSE,1,"tap water, tested positive for Covid","['tap water', ' tested positive for Covid']",2.0,8,en,86,86_covid_covid19_coronavirus_tested
38943,44388,22289,744,http://data.gesis.org/claimskg/creative_work/02bbf78a-a1c6-54b3-892f-57cd96fd6de2,Boris Johnson said that an alert system for Covid-19 could involve detecting the infection in the water supply.,fullfact,English,MIXTURE,2,"Covid-19, water supply","['Covid-19', ' water supply']",2.0,18,en,86,86_covid_covid19_coronavirus_tested
39435,44970,25444,3899,http://data.gesis.org/claimskg/creative_work/9b9abece-3f11-5295-a9ae-0d85c58fe794,Tap water can return a positive lateral flow test result for Covid-19.,fullfact,English,OTHER,-1,"Tap water, lateral flow test","['Tap water', ' lateral flow test']",2.0,12,en,86,86_covid_covid19_coronavirus_tested
41776,47665,43886,5059,http://data.gesis.org/claimskg/creative_work/23a0f6c0-8a62-59a8-9b5e-876f15c5b9a6,Tap water is testing positive for COVID!,politifact,English,False,1,"COVID, Tap water","['COVID', ' Tap water']",2.0,7,en,86,86_covid_covid19_coronavirus_tested
47681,53865,22937,1392,http://data.gesis.org/claimskg/creative_work/944a5055-ee74-5c7d-81a2-57524c8572bc,Fruit Shoot and oranges can test positive for Covid-19 using a lateral flow test.,fullfact,English,FALSE,1,"Fruit Shoot, lateral flow test, oranges","['Fruit Shoot', ' lateral flow test', ' oranges']",3.0,14,en,86,86_covid_covid19_coronavirus_tested
50517,56892,15084,3736,http://data.gesis.org/claimskg/creative_work/9b7d1bc2-a14a-53d7-8092-5e82dce3aa18,Glass of Coca-Cola tests positive for Covid-19,factcheck_afp,English,FALSE,1,"Coca-Cola, Covid-19, tests positive","['Coca-Cola', ' Covid-19', ' tests positive']",3.0,7,en,86,86_covid_covid19_coronavirus_tested
51233,57612,9265,3027,http://data.gesis.org/claimskg/creative_work/5fb7dad3-b5ae-5feb-bfa8-7dd2f9dd687b,A post shared on Facebook claims a BinaxNOW rapid home COVID-19 test turning positive when exposed to water shows the coronavirus is in drinking water.,checkyourfact,English,FALSE,1,"COVID-19, Facebook, drinking water","['COVID-19', ' Facebook', ' drinking water']",3.0,25,en,86,86_covid_covid19_coronavirus_tested
61853,68574,40378,1551,http://data.gesis.org/claimskg/creative_work/dfd990f2-5107-53fb-bb45-a30cd269e16e,An Austrian politician exposed the defectiveness of the government’s Covid-19 tests by demonstrating how even a glass of Coca Cola will test positive for Covid-19.,politifact,English,False,1,"Austrian politician, Coca Cola, Covid-19, defectiveness, government’s","['Austrian politician', ' Coca Cola', ' Covid-19', ' defectiveness', ' government’s']",5.0,25,en,86,86_covid_covid19_coronavirus_tested
