Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
11363,15714,26887,5342,http://data.gesis.org/claimskg/creative_work/326bb31e-2817-59a7-bfa6-27a8f44474f5,Rapper DMX had a Covid-19 vaccine days before he died of a heart attack.,fullfact,English,FALSE,1,heart attack,['heart attack'],1.0,14,en,72,72_hamlin_hamlins_vaccine_vaccinerelated
17421,21931,40985,2158,http://data.gesis.org/claimskg/creative_work/0838d5a0-1927-5ff6-b80f-85e610c342b3,Athletes are collapsing with heart-related issues due to the COVID-19 vaccines,politifact,English,False,1,COVID-19 vaccines,['COVID-19 vaccines'],1.0,11,en,72,72_hamlin_hamlins_vaccine_vaccinerelated
28788,34073,45651,6824,http://data.gesis.org/claimskg/creative_work/c5bbf09e-90d8-50fc-ac52-969b3f926438,German News Agency Tracks 75 Prominent Athletes Suddenly Dead Of Heart Attacks After COVID Vax,politifact,English,False,1,"Heart Attacks, News Agency","['Heart Attacks', ' News Agency']",2.0,15,en,72,72_hamlin_hamlins_vaccine_vaccinerelated
45716,51870,17999,6651,http://data.gesis.org/claimskg/creative_work/43b3183b-c2e1-5dfc-a1b7-1b771aa2a71f,"Damar Hamlin died due to Covid-19 vaccination, was replaced by body double",factcheck_afp,English,FALSE,1,"Covid-19, Damar Hamlin, body double","['Covid-19', ' Damar Hamlin', ' body double']",3.0,12,en,72,72_hamlin_hamlins_vaccine_vaccinerelated
46277,52445,74698,351,http://data.gesis.org/claimskg/creative_work/6430c9de-a326-55de-bf7a-ca8741e03da1,DMX took the COVID-19 vaccine days before he suffered a heart attack.,snopes,English,OTHER,-1,"COVID-19 vaccine, DMX, suffered a heart attack","['COVID-19 vaccine', ' DMX', ' suffered a heart attack']",3.0,12,en,72,72_hamlin_hamlins_vaccine_vaccinerelated
48440,54687,43040,4213,http://data.gesis.org/claimskg/creative_work/a7a6d4b1-37e1-5524-9177-bc30bb35ea8d,The Georgia High School Association started issuing a sudden cardiac arrest awareness form in the wake of COVID-19 vaccines.,politifact,English,False,1,"COVID-19 vaccines, Georgia High School Association, sudden cardiac arrest","['COVID-19 vaccines', ' Georgia High School Association', ' sudden cardiac arrest']",3.0,19,en,72,72_hamlin_hamlins_vaccine_vaccinerelated
49300,55630,27935,6390,http://data.gesis.org/claimskg/creative_work/cdda2752-4482-5c63-b3ec-bbf01e293d4f,TV presenter Richard Madeley was rushed to hospital at 4am after receiving his booster vaccine.,fullfact,English,FALSE,1,"Richard Madeley, TV presenter, booster vaccine","['Richard Madeley', ' TV presenter', ' booster vaccine']",3.0,15,en,72,72_hamlin_hamlins_vaccine_vaccinerelated
51655,58037,39889,1062,http://data.gesis.org/claimskg/creative_work/d487bc5f-a7a2-561d-ac70-4dd4b4368bc2,The COVID-19 vaccine caused J.J. Watt’s atrial fibrillation.,politifact,English,False,1,"COVID-19 vaccine, J.J. Watt, atrial fibrillation","['COVID-19 vaccine', ' J.J. Watt', ' atrial fibrillation']",3.0,8,en,72,72_hamlin_hamlins_vaccine_vaccinerelated
51760,58143,39960,1133,http://data.gesis.org/claimskg/creative_work/272848b9-6487-5d28-bf73-cf9b324d8b08,Buffalo Bills player Damar Hamlin’s collapse was caused by the COVID-19 vaccine.,politifact,English,False,1,"Buffalo Bills, COVID-19 vaccine, Damar Hamlin","['Buffalo Bills', ' COVID-19 vaccine', ' Damar Hamlin']",3.0,12,en,72,72_hamlin_hamlins_vaccine_vaccinerelated
53797,60188,39531,704,http://data.gesis.org/claimskg/creative_work/f0dcb5e3-7538-5c14-a810-f04d7cf6c731,DMX received COVID vaccine days before heart attack.,politifact,English,False,1,"COVID vaccine, DMX, heart attack","['COVID vaccine', ' DMX', ' heart attack']",3.0,8,en,72,72_hamlin_hamlins_vaccine_vaccinerelated
55106,61522,47338,8511,http://data.gesis.org/claimskg/creative_work/1c31153d-0f0d-5fd9-9b6a-e0301fbf608a,Rod Stewart’s son was rushed to the hospital ... with a suspected heart attack because of a COVID-19 vaccine.,politifact,English,False,1,"COVID-19 vaccine, Rod Stewart, heart attack","['COVID-19 vaccine', ' Rod Stewart', ' heart attack']",3.0,19,en,72,72_hamlin_hamlins_vaccine_vaccinerelated
58491,65015,42635,3808,http://data.gesis.org/claimskg/creative_work/01b3697e-04cf-52f9-871d-6c43b8e5a770,CNN reported that Damar Hamlin’s doctor confirmed his cardiac arrest was caused by a COVID-19 vaccine booster.,politifact,English,False,1,"CNN, COVID-19 vaccine, Damar Hamlin, cardiac arrest","['CNN', ' COVID-19 vaccine', ' Damar Hamlin', ' cardiac arrest']",4.0,17,en,72,72_hamlin_hamlins_vaccine_vaccinerelated
60636,67299,12511,1163,http://data.gesis.org/claimskg/creative_work/662e5f14-1ff8-555b-b7fb-4f2140c963f7,CNN reported Damar Hamlin's cardiac arrest was due to Covid-19 vaccination,factcheck_afp,English,FALSE,1,"CNN, Covid-19, Damar Hamlin, cardiac arrest","['CNN', ' Covid-19', ' Damar Hamlin', ' cardiac arrest']",4.0,11,en,72,72_hamlin_hamlins_vaccine_vaccinerelated
61469,68176,74754,407,http://data.gesis.org/claimskg/creative_work/3db5c124-92ca-594a-acb7-61802449f86e,A Dr. Benjamin Eidelman gave Buffalo Bills defensive back Damar Hamlin a COVID-19 vaccine booster shot days before he collapsed during a game.,snopes,English,OTHER,-1,"Buffalo Bills, COVID-19 vaccine, Damar Hamlin, booster shot","['Buffalo Bills', ' COVID-19 vaccine', ' Damar Hamlin', ' booster shot']",4.0,23,en,72,72_hamlin_hamlins_vaccine_vaccinerelated
61651,68368,9062,2824,http://data.gesis.org/claimskg/creative_work/73358408-c946-5572-9881-a24ced1015e2,A post shared on Facebook claims to show Los Angeles Chargers tight end Donald Parham Jr. suffering a COVID-19 vaccine-related heart attack during a game.,checkyourfact,English,FALSE,1,"Donald Parham, Facebook, Los Angeles Chargers, heart attack","['Donald Parham', ' Facebook', ' Los Angeles Chargers', ' heart attack']",4.0,25,en,72,72_hamlin_hamlins_vaccine_vaccinerelated
63271,70107,63727,1698,http://data.gesis.org/claimskg/creative_work/bb742f62-0a37-545f-b8f0-2c2abcb82d32,"After Damar Hamlin collapsed from cardiac arrest during an NFL game on Jan. 2, 2023, he died due to the COVID-19 vaccine, and a body double began standing in for him at public appearances.",snopes,English,False,1,"COVID-19 vaccine, Damar Hamlin, NFL, body double, cardiac arrest","['COVID-19 vaccine', ' Damar Hamlin', ' NFL', ' body double', ' cardiac arrest']",5.0,34,en,72,72_hamlin_hamlins_vaccine_vaccinerelated
64057,70949,10628,4390,http://data.gesis.org/claimskg/creative_work/548494fd-4e57-5095-94fd-db632ce71208,A photo shared on Facebook allegedly shows a CNN headline reporting that Buffalo Bills safety Damar Hamlin’s doctor confirmed that his cardiac arrest was caused by a COVID-19 booster shot.,checkyourfact,English,FALSE,1,"CNN, COVID-19 booster shot, Damar Hamlin, Facebook, cardiac arrest","['CNN', ' COVID-19 booster shot', ' Damar Hamlin', ' Facebook', ' cardiac arrest']",5.0,30,en,72,72_hamlin_hamlins_vaccine_vaccinerelated
