Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
1198,3217,47494,8667,http://data.gesis.org/claimskg/creative_work/7998000e-f74d-5ed1-b1a4-cf21c116a931,"Vaccines send the immune system into perpetual overdrive by instructing cells to keep making the protein of an invader, nonstop, forever and ever.",politifact,English,False,1,,,0.0,23,en,99,99_vaccines_vaccination_immune_vaccinated
2905,5252,21583,38,http://data.gesis.org/claimskg/creative_work/2ee1fbd7-ca17-5e78-8406-1a7b827914ce,Covid-19 vaccines weaken your immune system and make it harder for your body to fight the disease.,fullfact,English,FALSE,1,,,0.0,17,en,99,99_vaccines_vaccination_immune_vaccinated
3819,6180,25569,4024,http://data.gesis.org/claimskg/creative_work/16998913-443d-5edc-863d-936cce0dc290,Vaccination causes the immune system to start attacking the body when the person comes into contact with coronaviruses.,fullfact,English,FALSE,1,,,0.0,18,en,99,99_vaccines_vaccination_immune_vaccinated
8274,12591,64261,2232,http://data.gesis.org/claimskg/creative_work/5e4cd9f4-ce50-50f0-8165-616cd65ecef9,Individuals vaccinated against COVID-19 can shed viral components that are capable of infecting and harming those around them.,snopes,English,False,1,COVID-19,['COVID-19'],1.0,18,en,99,99_vaccines_vaccination_immune_vaccinated
10517,14861,69208,7179,http://data.gesis.org/claimskg/creative_work/2a6274b7-2c09-5a45-8b2a-33b26e85eecc,A scientific study proved there is a causal link between a COVID-19 vaccine and herpes.,snopes,English,False,1,COVID-19 vaccine,['COVID-19 vaccine'],1.0,15,en,99,99_vaccines_vaccination_immune_vaccinated
10845,15192,27827,6282,http://data.gesis.org/claimskg/creative_work/7ec0c889-9b31-5591-92bb-ad376cd71098,Covid-19 vaccines weaken your immune system.,fullfact,English,FALSE,1,Covid-19 vaccines,['Covid-19 vaccines'],1.0,6,en,99,99_vaccines_vaccination_immune_vaccinated
22734,27877,24285,2740,http://data.gesis.org/claimskg/creative_work/00071a96-143d-5d8d-a204-4dada4ef7ccc,Covid-19 vaccines cause vaccine enhancement syndrome which makes you even more vulnerable to the disease.,fullfact,English,FALSE,1,vaccine,['vaccine'],1.0,15,en,99,99_vaccines_vaccination_immune_vaccinated
24365,29621,46969,8142,http://data.gesis.org/claimskg/creative_work/57d4d820-771a-536f-8c0e-6a01a7ead6fb,"The COVID-19 vaccines suppress the immune system and make people more susceptible to HIV, shingles and herpes.",politifact,English,False,1,"COVID-19 vaccines, HIV","['COVID-19 vaccines', ' HIV']",2.0,17,en,99,99_vaccines_vaccination_immune_vaccinated
24477,29733,11617,269,http://data.gesis.org/claimskg/creative_work/9256c31b-b3b8-571f-8647-27618302b721,Test results show Covid-19 shots damage the immune system,factcheck_afp,English,FALSE,1,"Covid-19, Test results","['Covid-19', ' Test results']",2.0,9,en,99,99_vaccines_vaccination_immune_vaccinated
24722,29979,45011,6184,http://data.gesis.org/claimskg/creative_work/02f96f7c-4430-5216-899b-76ea5a8e92f6,"Over-vaccination causes faster mutation of the (COVID-19) virus, which causes a super virus we may not have the ability to fight off.",politifact,English,False,1,"COVID-19, super virus","['COVID-19', ' super virus']",2.0,22,en,99,99_vaccines_vaccination_immune_vaccinated
47711,53895,44620,5793,http://data.gesis.org/claimskg/creative_work/85ae2033-8004-50b5-8f1d-1775067d8ce4,Says the surge in COVID-19 cases is caused by antibody mediated viral enhancement from the COVID-19 vaccines.,politifact,English,False,1,"COVID-19 vaccines, antibody, surge in COVID-19 cases","['COVID-19 vaccines', ' antibody', ' surge in COVID-19 cases']",3.0,17,en,99,99_vaccines_vaccination_immune_vaccinated
54062,60457,15891,4543,http://data.gesis.org/claimskg/creative_work/c0875cd1-7337-5090-a073-92144a9511f8,Covid-19 third booster increase risks of lymphoma and autoimmune diseases,factcheck_afp,English,FALSE,1,"Covid-19, autoimmune diseases, lymphoma","['Covid-19', ' autoimmune diseases', ' lymphoma']",3.0,10,en,99,99_vaccines_vaccination_immune_vaccinated
