Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
9255,13592,25888,4343,http://data.gesis.org/claimskg/creative_work/083de958-7925-5690-9db6-92352d781e08,"Honey, pepper and ginger can ‘100%’ eliminate the effect of Covid-19 and has been approved by the WHO.",fullfact,English,OTHER,-1,WHO,['WHO'],1.0,18,en,15,15_tea_covid19_cures_cure
18700,23278,9305,3067,http://data.gesis.org/claimskg/creative_work/906e6ad1-d587-5d49-a5b0-2936c9214fc5,A video shared on Facebook purportedly shows British Prime Minister Boris Johnson serving journalists tea after recovering from COVID-19.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,19,en,15,15_tea_covid19_cures_cure
18960,23734,14053,2705,http://data.gesis.org/claimskg/creative_work/b219b797-8c5c-5804-b15a-da4946f6147b,Bai Hor's green medicine drink cures Covid-19,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,7,en,15,15_tea_covid19_cures_cure
19851,24775,5829,5829,http://data.gesis.org/claimskg/creative_work/4318de48-6073-5d68-becd-422672f20a1b,"No, drinking black tea at dawn won’t cure coronavirus",africacheck,English,FALSE,1,black tea,['black tea'],1.0,9,en,15,15_tea_covid19_cures_cure
20771,25717,4887,4887,http://data.gesis.org/claimskg/creative_work/75304029-2fe6-5c7e-bc2a-3c102c3fc30e,"No, tea does not cure Covid-19",africacheck,English,FALSE,1,Covid-19,['Covid-19'],1.0,6,en,15,15_tea_covid19_cures_cure
22464,27598,277,277,http://data.gesis.org/claimskg/creative_work/d102c438-1565-5f5d-b477-5dc4060647a8,"No, hot steam and tea can’t cure Covid-19",africacheck,English,FALSE,1,Covid-19,['Covid-19'],1.0,8,en,15,15_tea_covid19_cures_cure
22806,27951,11622,274,http://data.gesis.org/claimskg/creative_work/c3e0e411-e3a5-53a7-8b8e-0d26252ce0a1,Drinking pepper stem tea can prevent or cure Covid-19,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,9,en,15,15_tea_covid19_cures_cure
22997,28145,409,409,http://data.gesis.org/claimskg/creative_work/671562d0-e245-54cc-b95f-c0318c180848,"No, inhaling steam (still) doesn’t prevent Covid-19",africacheck,English,FALSE,1,Covid-19,['Covid-19'],1.0,7,en,15,15_tea_covid19_cures_cure
23541,28795,11751,403,http://data.gesis.org/claimskg/creative_work/aaebf9be-18f5-5bd2-b33a-21c43cada9d6,UK Prime Minister Boris Johnson offers tea to journalists after recovering from COVID-19,factcheck_afp,English,FALSE,1,"COVID-19, Prime Minister Boris Johnson","['COVID-19', ' Prime Minister Boris Johnson']",2.0,13,en,15,15_tea_covid19_cures_cure
23887,29143,7457,1219,http://data.gesis.org/claimskg/creative_work/ef823f7c-ce71-5c54-b8dc-b4191a004721,A video shared on Facebook claims that boiling water with certain ingredients and inhaling the steam cures COVID-19.,checkyourfact,English,FALSE,1,"COVID-19, Facebook","['COVID-19', ' Facebook']",2.0,18,en,15,15_tea_covid19_cures_cure
25827,31088,11869,521,http://data.gesis.org/claimskg/creative_work/488e3295-ad70-5375-8d17-22ecb87c9a10,Inhaling steam from herbal tea cures Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, herbal tea","['Covid-19', ' herbal tea']",2.0,7,en,15,15_tea_covid19_cures_cure
27181,32451,9408,3170,http://data.gesis.org/claimskg/creative_work/bc8368f8-4a4b-5c69-b329-532d6fcd9913,"A post shared on Facebook more than 2,400 times claims ingesting palm oil can prevent infection with COVID-19, the disease caused by the new coronavirus.",checkyourfact,English,FALSE,1,"COVID-19, Facebook","['COVID-19', ' Facebook']",2.0,25,en,15,15_tea_covid19_cures_cure
30491,35790,2830,2830,http://data.gesis.org/claimskg/creative_work/468a7e9a-4594-5955-b4db-9744b4651f98,Steaming with Zam-Buk and onions in your socks won’t cure Covid-19,africacheck,English,FALSE,1,"Covid-19, Zam-Buk","['Covid-19', ' Zam-Buk']",2.0,11,en,15,15_tea_covid19_cures_cure
31061,36366,773,773,http://data.gesis.org/claimskg/creative_work/9b5213d5-5272-5ccb-819f-a0b6547acc20,"Steaming with onion, garlic, lemon and garlic won't ‘destroy’ Covid-19",africacheck,English,FALSE,1,"garlic, onion","['garlic', ' onion']",2.0,10,en,15,15_tea_covid19_cures_cure
35395,40741,62303,274,http://data.gesis.org/claimskg/creative_work/8a1f0e50-332d-5e60-9a05-e1ccc1134628,Drinking boiled garlic water will cure COVID-19.,snopes,English,False,1,"COVID-19, garlic","['COVID-19', ' garlic']",2.0,7,en,15,15_tea_covid19_cures_cure
35803,41153,4423,4423,http://data.gesis.org/claimskg/creative_work/a61cf69a-a068-539d-a892-191627274fae,"No, lemon and baking soda mix doesn’t cure Covid-19",africacheck,English,FALSE,1,"Covid-19, baking soda","['Covid-19', ' baking soda']",2.0,9,en,15,15_tea_covid19_cures_cure
36660,42036,15082,3734,http://data.gesis.org/claimskg/creative_work/2216ffef-b684-5ad6-8780-e9cdb8e137f9,Baking soda can cure Covid-19,factcheck_afp,English,FALSE,1,"Baking soda, Covid-19","['Baking soda', ' Covid-19']",2.0,5,en,15,15_tea_covid19_cures_cure
37308,42720,16373,5025,http://data.gesis.org/claimskg/creative_work/6f6ef937-09f8-53da-bfe2-9b8407374cf8,Inhaling clove vapour can cure Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, clove","['Covid-19', ' clove']",2.0,6,en,15,15_tea_covid19_cures_cure
37359,42773,16508,5160,http://data.gesis.org/claimskg/creative_work/c12ffc5c-7cad-5c08-aed1-e04409e86a31,Coconut water concoction can cure Covid-19,factcheck_afp,English,FALSE,1,"Coconut water, Covid-19","['Coconut water', ' Covid-19']",2.0,6,en,15,15_tea_covid19_cures_cure
37924,43347,13721,2373,http://data.gesis.org/claimskg/creative_work/387c65d1-51b7-57ce-aac3-3144c06a1cf2,Vegetable soup cures Covid-19 infection in three days,factcheck_afp,English,FALSE,1,"Covid-19, Vegetable soup","['Covid-19', ' Vegetable soup']",2.0,8,en,15,15_tea_covid19_cures_cure
38090,43516,13670,2322,http://data.gesis.org/claimskg/creative_work/17c40525-9ac7-581a-b5c0-7ca4c27234bd,Tea can cure or alleviate novel coronavirus (COVID-19) infection,factcheck_afp,English,FALSE,1,"COVID-19, coronavirus","['COVID-19', ' coronavirus']",2.0,9,en,15,15_tea_covid19_cures_cure
39347,44881,24524,2979,http://data.gesis.org/claimskg/creative_work/18206241-6ce7-5447-93d1-d0897fbe4c59,"Inhaling steam can cure Covid-19 by killing the virus that causes it when it is in the sinuses, before it reaches the lungs.",fullfact,English,FALSE,1,"Covid-19, lungs","['Covid-19', ' lungs']",2.0,23,en,15,15_tea_covid19_cures_cure
39912,45520,31552,2405,http://data.gesis.org/claimskg/creative_work/77bba738-cbc2-5657-bc51-1c9856660743,"Charlie Kirk tweeted about an unconventional cure for Covid in October 2021: Again, I know this sounds insane, but you take a little dog poop, just a small amount, like half an ounce. Mix it up however you need to, I put mine in am milkshake and barely tasted it. I was completely cured within an hour.",truthorfiction,English,FALSE,1,"Charlie Kirk, milkshake","['Charlie Kirk', ' milkshake']",2.0,57,en,15,15_tea_covid19_cures_cure
40040,45688,17674,6326,http://data.gesis.org/claimskg/creative_work/2ebbcc00-58bb-5661-b235-1b0a74cfa2b5,Inhaling onion fumes can kill the Covid-19 virus.,factcheck_afp,English,FALSE,1,"Covid-19 virus, onion","['Covid-19 virus', ' onion']",2.0,8,en,15,15_tea_covid19_cures_cure
40430,46166,30041,894,http://data.gesis.org/claimskg/creative_work/17a847da-dc2c-5c6f-8ba3-fb99060ecd5f,Using the African method of sitting over a steaming cooking pot can help you avoid contracting COVID-19.,truthorfiction,English,FALSE,1,"contracting COVID-19, cooking pot","['contracting COVID-19', ' cooking pot']",2.0,17,en,15,15_tea_covid19_cures_cure
43463,49456,65828,3799,http://data.gesis.org/claimskg/creative_work/db39e316-6c3d-5412-b9eb-edd20eca863f,Using a hair dryer to breathe in hot air can cure COVID-19 and stop its spread.,snopes,English,False,1,"COVID-19, hair dryer, hot air","['COVID-19', ' hair dryer', ' hot air']",3.0,16,en,15,15_tea_covid19_cures_cure
44480,50530,60349,2189,http://data.gesis.org/claimskg/creative_work/788e5448-942e-5fe5-b172-276d72a9df1b,"U.S. President Donald Trump said, with regard to possible medical treatments for COVID-19: And then I see the disinfectant, where it knocks it out in a minute. One minute. And is there a way we can do something like that, by injection inside or almost a cleaning.",snopes,English,True,3,"U.S. President Donald Trump, disinfectant, treatments for COVID-19","['U.S. President Donald Trump', ' disinfectant', ' treatments for COVID-19']",3.0,47,en,15,15_tea_covid19_cures_cure
44577,50627,16572,5224,http://data.gesis.org/claimskg/creative_work/313209ad-d882-53a8-b1cd-2a96ec53bfcb,Vietnam has no Covid-19 deaths due to widespread consumption of hot lemon tea,factcheck_afp,English,FALSE,1,"Covid-19, Vietnam, lemon tea","['Covid-19', ' Vietnam', ' lemon tea']",3.0,13,en,15,15_tea_covid19_cures_cure
44629,50680,16699,5351,http://data.gesis.org/claimskg/creative_work/d3189c93-7199-573c-bb96-5b53cee46284,Inhaling saltwater droplets produced by a humidifier can cure Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, humidifier, saltwater","['Covid-19', ' humidifier', ' saltwater']",3.0,10,en,15,15_tea_covid19_cures_cure
44856,50909,16857,5509,http://data.gesis.org/claimskg/creative_work/add0bc70-9507-52f0-86dc-9a27f26adace,Putting lemon drops inside the nose kills Covid-19,factcheck_afp,English,FALSE,1,"Covid-19, inside the nose, lemon drops","['Covid-19', ' inside the nose', ' lemon drops']",3.0,8,en,15,15_tea_covid19_cures_cure
45058,51148,63276,1247,http://data.gesis.org/claimskg/creative_work/acbb3886-7163-520d-8f26-61f1cd137330,Drinking hot water with lemons will cure or prevent COVID-19; drinking hot water with lemons and sodium bicarbonate will alkalize the immune system and cure or prevent COVID-19.,snopes,English,False,1,"COVID-19, hot water, sodium bicarbonate","['COVID-19', ' hot water', ' sodium bicarbonate']",3.0,28,en,15,15_tea_covid19_cures_cure
45476,51624,17860,6512,http://data.gesis.org/claimskg/creative_work/f0d7506c-b0d7-5ae1-829a-621b74bf324a,"Tonic of onions, ginger and garlic cures Covid-19",factcheck_afp,English,FALSE,1,"Covid-19, garlic, onions","['Covid-19', ' garlic', ' onions']",3.0,8,en,15,15_tea_covid19_cures_cure
45560,51709,4917,4917,http://data.gesis.org/claimskg/creative_work/32b8dc78-264b-5ccc-a87c-a726e9f55b1b,No evidence drinking ‘asthma plant’ tea helps Covid-19 breathing complications,africacheck,English,OTHER,-1,"Covid-19, asthma, breathing complications","['Covid-19', ' asthma', ' breathing complications']",3.0,10,en,15,15_tea_covid19_cures_cure
45682,51835,32868,618,http://data.gesis.org/claimskg/creative_work/8457b5ca-4ea9-561d-ab92-19dbe76d6d95,Neem Leaves Powder can cure COVID-19,Vishvanews,English,FALSE,1,"COVID, Neem Leaves, Powder","['COVID', ' Neem Leaves', ' Powder']",3.0,6,en,15,15_tea_covid19_cures_cure
