Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
2904,5251,27392,5847,http://data.gesis.org/claimskg/creative_work/fcd0450e-9aa2-5875-9f34-c71772bc03f9,"A Pfizer document contains a list of around 158,000 adverse events from their vaccine.",fullfact,English,OTHER,-1,,,0.0,14,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
13237,17608,43745,4918,http://data.gesis.org/claimskg/creative_work/d95c3e83-9a3f-5584-8101-528c2aa96b14,The Pfizer COVID-19 vaccines contain a deadly parasite.,politifact,English,False,1,Pfizer COVID-19 vaccines,['Pfizer COVID-19 vaccines'],1.0,8,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
13594,17971,49858,1988,http://data.gesis.org/claimskg/creative_work/57951b56-9a1d-5eed-ac3c-630c0797a75a,It's been confirmed that the Pfizer COVID-19 vaccine isn't guaranteed after six months.,politifact,English,MIXTURE,2,Pfizer COVID-19 vaccine,['Pfizer COVID-19 vaccine'],1.0,13,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
17048,21553,55131,7261,http://data.gesis.org/claimskg/creative_work/c3d23d89-68e4-5f28-a23c-e71f98aa430b,A six-month study from Pfizer shows that its vaccine reduces severe COVID symptoms/hospitalizations by .1%.,politifact,English,MIXTURE,2,Pfizer,['Pfizer'],1.0,15,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
17090,21595,39307,480,http://data.gesis.org/claimskg/creative_work/b559b0c1-187c-5af2-a2fa-e0a854791675,The Pfizer COVID-19 vaccine is not approved.,politifact,English,False,1,Pfizer COVID-19 vaccine,['Pfizer COVID-19 vaccine'],1.0,7,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
20526,25463,15948,4600,http://data.gesis.org/claimskg/creative_work/8df5cea4-4c0c-5562-be4f-65ca87be2930,Pfizer adds vaccine ingredient to address heart problems,factcheck_afp,English,MIXTURE,2,Pfizer,['Pfizer'],1.0,8,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
21258,26246,14795,3447,http://data.gesis.org/claimskg/creative_work/7f8ab437-ad22-5971-abcd-8df5d86dbe65,Pfizer director admits vaccine never tested to prevent transmission,factcheck_afp,English,FALSE,1,Pfizer,['Pfizer'],1.0,9,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
21977,26985,21590,45,http://data.gesis.org/claimskg/creative_work/e239c4b4-3cdf-5dd0-8577-31c0aa8f7ebc,The CEO of Pfizer said he doesn’t need to get vaccinated for Covid-19 because he’s healthy.,fullfact,English,FALSE,1,Pfizer,['Pfizer'],1.0,16,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
22238,27364,21731,186,http://data.gesis.org/claimskg/creative_work/8c9465a6-cf5b-55f8-9c1f-0d5374b87930,"We were led to believe that the vaccine reduced transmission, however Pfizer has now admitted its vaccine was never tested to see if it reduced transmission.",fullfact,English,MIXTURE,2,Pfizer,['Pfizer'],1.0,26,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
22565,27701,24386,2841,http://data.gesis.org/claimskg/creative_work/b534009f-6ab0-535a-ab5a-168030333e76,The Pfizer vaccine trial was underpowered to detect rare side effects or efficacy.,fullfact,English,OTHER,-1,Pfizer vaccine,['Pfizer vaccine'],1.0,13,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
22656,27794,12069,721,http://data.gesis.org/claimskg/creative_work/abf03b69-5303-5f63-b5a6-f5a1999f007e,Pfizer Covid vaccine not tested before market release,factcheck_afp,English,FALSE,1,Pfizer,['Pfizer'],1.0,8,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
23843,29098,11737,389,http://data.gesis.org/claimskg/creative_work/3bb889c4-1626-57b6-b102-9dc13d32f807,"Documents show 1,200 Pfizer vaccine deaths over 90-day period",factcheck_afp,English,FALSE,1,"Pfizer, vaccine","['Pfizer', ' vaccine']",2.0,9,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
24236,29492,45129,6302,http://data.gesis.org/claimskg/creative_work/2ece32c5-79bb-5897-af6a-ff38737112e4,Pfizer CEO has not yet had vaccine.,politifact,English,False,1,"CEO, Pfizer","['CEO', ' Pfizer']",2.0,7,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
30832,36135,562,562,http://data.gesis.org/claimskg/creative_work/87a59599-c8d6-57eb-b7a2-255893dfec4f,Pfizer Covid vaccine safe for teens – social media posts mangle study results,africacheck,English,FALSE,1,"Pfizer, social media","['Pfizer', ' social media']",2.0,13,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
35331,40675,4774,4774,http://data.gesis.org/claimskg/creative_work/977780ef-7006-51b2-ac48-fbabd4979eee,Pfizer employees have been getting vaccinated against Covid-19 – don’t believe rumours to the contrary,africacheck,English,FALSE,1,"Covid-19, Pfizer","['Covid-19', ' Pfizer']",2.0,15,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
35843,41193,4404,4404,http://data.gesis.org/claimskg/creative_work/a6d13509-41a8-564a-96cb-bc552c419cc0,"No, Pfizer CEO got Covid vaccine – and old video clip out of context",africacheck,English,FALSE,1,"CEO, Pfizer","['CEO', ' Pfizer']",2.0,14,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
36707,42083,15121,3773,http://data.gesis.org/claimskg/creative_work/87b94451-975c-502f-8ad2-7b5d5e9e16ec,Pfizer released list of worrying side effects to the Covid-19 vaccine,factcheck_afp,English,FALSE,1,"Covid-19 vaccine, Pfizer","['Covid-19 vaccine', ' Pfizer']",2.0,11,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
37040,42437,17233,5885,http://data.gesis.org/claimskg/creative_work/b2e882b0-4951-5bc5-ae31-344b795cca35,Pfizer chief will not take Covid-19 vaccine,factcheck_afp,English,FALSE,1,"Covid-19 vaccine, Pfizer","['Covid-19 vaccine', ' Pfizer']",2.0,7,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
37491,42910,13815,2467,http://data.gesis.org/claimskg/creative_work/2131c0c4-0c47-5612-90ab-8272f5da21da,Patents for Covid-19 vaccine tracking technology submitted by Pfizer,factcheck_afp,English,FALSE,1,"Covid-19 vaccine, Pfizer","['Covid-19 vaccine', ' Pfizer']",2.0,9,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
37645,43066,39028,201,http://data.gesis.org/claimskg/creative_work/f6e1b3ef-a393-5c1f-aaf3-3da5ad0dd151,Six-month Pfizer data show COVID vaccine causes more illness than it prevents.,politifact,English,False,1,"COVID vaccine, Pfizer","['COVID vaccine', ' Pfizer']",2.0,12,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
37915,43338,40432,1605,http://data.gesis.org/claimskg/creative_work/a4360b98-735f-5538-95f7-6d326be38d13,Pfizer vaccine kills more people than it saves.,politifact,English,False,1,"Pfizer, vaccine","['Pfizer', ' vaccine']",2.0,8,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
38603,44044,38858,31,http://data.gesis.org/claimskg/creative_work/69c2b2b5-6423-571d-a08a-d29e6ce77774,The drug labels for the Pfizer COVID-19 vaccine were blank when they should have contained all these diseases and adverse events listed in a confidential report.,politifact,English,False,1,"Pfizer COVID-19 vaccine, adverse events","['Pfizer COVID-19 vaccine', ' adverse events']",2.0,26,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
38871,44316,27077,5532,http://data.gesis.org/claimskg/creative_work/4c4fdaad-d9cc-5e8d-963d-5777b711d08c,The Pfizer vaccine has a one in 17 mortality rate.,fullfact,English,FALSE,1,"Pfizer vaccine, mortality rate","['Pfizer vaccine', ' mortality rate']",2.0,10,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
38892,44337,26488,4943,http://data.gesis.org/claimskg/creative_work/e7ad2b32-88f6-50f9-bcb4-d39a3f3b5f3f,A newly published document lists side effects from Pfizer’s Covid-19 vaccine.,fullfact,English,FALSE,1,"Covid-19 vaccine, Pfizer","['Covid-19 vaccine', ' Pfizer']",2.0,11,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
39227,44760,24019,2474,http://data.gesis.org/claimskg/creative_work/b6d3c560-cad1-5715-84f8-118e704b67b6,Pfizer is using children as lab rats to test the Covid-19 vaccine.,fullfact,English,OTHER,-1,"Covid-19 vaccine, Pfizer","['Covid-19 vaccine', ' Pfizer']",2.0,12,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
39296,44830,24104,2559,http://data.gesis.org/claimskg/creative_work/e750f4f9-dda1-5b32-966c-b9121dbc4b0e,The publication of a Pfizer document in 2022 is the first time that the public have been able to view data from its clinical trials that was submitted for the Covid-19 vaccine’s approval.,fullfact,English,FALSE,1,"Covid-19 vaccine, Pfizer","['Covid-19 vaccine', ' Pfizer']",2.0,33,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
39346,44880,24541,2996,http://data.gesis.org/claimskg/creative_work/6055edf1-24c5-5cb2-857a-cf455850e980,New documents reveal that Pfizer’s Covid-19 vaccine has just 12% efficacy.,fullfact,English,OTHER,-1,"Covid-19 vaccine, Pfizer","['Covid-19 vaccine', ' Pfizer']",2.0,11,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
39426,44961,24837,3292,http://data.gesis.org/claimskg/creative_work/cda41e3f-e44d-5d67-b547-9259aed017db,A Pfizer executive has admitted the company did not test whether its Covid-19 vaccine stopped transmission of the virus before its launch.,fullfact,English,OTHER,-1,"Covid-19 vaccine, Pfizer","['Covid-19 vaccine', ' Pfizer']",2.0,22,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
39503,45038,22982,1437,http://data.gesis.org/claimskg/creative_work/9ebde315-7f06-5e3a-a443-37e0f4ecb841,A CDC study on 12 to 17 year-olds who got the Pfizer vaccine found 397 reports of heart inflammation.,fullfact,English,OTHER,-1,"Pfizer, vaccine","['Pfizer', ' vaccine']",2.0,19,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
39580,45115,22753,1208,http://data.gesis.org/claimskg/creative_work/3a31215e-a3a2-540b-8154-19160f22f81f,The proposed Pfizer Covid-19 vaccine is 90% effective.,fullfact,English,MIXTURE,2,"Covid-19 vaccine, Pfizer","['Covid-19 vaccine', ' Pfizer']",2.0,8,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
39593,45128,25625,4080,http://data.gesis.org/claimskg/creative_work/48bef618-78d6-547c-91ff-7cc10152707e,Pfizer’s CEO Albert Bourla hasn’t been vaccinated against Covid-19 because he is healthy and doesn’t want to cut the line.,fullfact,English,OTHER,-1,"CEO, Pfizer","['CEO', ' Pfizer']",2.0,20,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
40228,45930,17919,6571,http://data.gesis.org/claimskg/creative_work/66e12317-c3e2-5395-9c37-f34a8a714c27,Pfizer CEO is still not vaccinated,factcheck_afp,English,FALSE,1,"CEO, Pfizer","['CEO', ' Pfizer']",2.0,6,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
42015,47912,41384,2557,http://data.gesis.org/claimskg/creative_work/cfb973f6-cef8-5f61-9faa-5932c40162b0,Pfizer admits there’s no vaccine approved by FDA.,politifact,English,False,1,"FDA, Pfizer","['FDA', ' Pfizer']",2.0,8,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
42164,48063,41330,2503,http://data.gesis.org/claimskg/creative_work/9f628137-cbf7-521f-bdeb-bd152c078bbb,The Pfizer COVID-19 vaccine contains an undisclosed ingredient. ... How is informed consent possible?,politifact,English,False,1,"Pfizer COVID-19 vaccine, informed consent","['Pfizer COVID-19 vaccine', ' informed consent']",2.0,14,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
43640,49654,42728,3901,http://data.gesis.org/claimskg/creative_work/b572e61c-befd-53b6-919b-be4a392ef0ec,Says the FDA said that Pfizer falsely misled the agency about the safety of the COVID-19 vaccines and that the shots are killing more people than they save.,politifact,English,False,1,"COVID-19 vaccines, FDA, Pfizer","['COVID-19 vaccines', ' FDA', ' Pfizer']",3.0,28,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
44027,50072,17134,5786,http://data.gesis.org/claimskg/creative_work/da2876bf-0636-50ee-aeec-55aa1c2726af,Encephalitis caused by Pfizer's Covid-19 vaccine,factcheck_afp,English,FALSE,1,"Covid-19 vaccine, Encephalitis, Pfizer","['Covid-19 vaccine', ' Encephalitis', ' Pfizer']",3.0,6,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
44313,50360,17383,6035,http://data.gesis.org/claimskg/creative_work/9fcb8386-8f2a-5178-b20f-a8681e7d9e82,Fake Pfizer vaccines from Poland to be used in Australia,factcheck_afp,English,FALSE,1,"Australia, Pfizer vaccines, Poland","['Australia', ' Pfizer vaccines', ' Poland']",3.0,10,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
44508,50558,16774,5426,http://data.gesis.org/claimskg/creative_work/4623515f-315d-5161-9296-986ccdd8c865,Pfizer CEO Albert Burla stepped down and says mRNA vaccines are not safe,factcheck_afp,English,FALSE,1,"CEO, Pfizer, mRNA vaccines","['CEO', ' Pfizer', ' mRNA vaccines']",3.0,13,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
45968,52135,74048,2762,http://data.gesis.org/claimskg/creative_work/f4af0fca-617d-590d-8643-18cf392f5b03,"Michael Yeadon, who wrote that there is absolutely no need for vaccines to extinguish the pandemic, was once Pfizer's chief scientific officer.",snopes,English,MIXTURE,2,"Michael Yeadon, Pfizer, chief scientific officer","['Michael Yeadon', ' Pfizer', ' chief scientific officer']",3.0,22,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
46225,52393,26345,4800,http://data.gesis.org/claimskg/creative_work/921b133a-6c82-592e-92ee-df0d4bd66d85,86% of children suffered an adverse reaction to the Pfizer/BioNTech Covid-19 vaccine in clinical trials.,fullfact,English,MIXTURE,2,"BioNTech, Pfizer, adverse reaction","['BioNTech', ' Pfizer', ' adverse reaction']",3.0,15,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
46506,52676,12310,962,http://data.gesis.org/claimskg/creative_work/1ed98bd5-2d86-5bd7-8cf9-2471862de334,"Pfizer CEO says vaccine gives limited protection, if any, against Covid-19",factcheck_afp,English,FALSE,1,"CEO, Covid-19, Pfizer","['CEO', ' Covid-19', ' Pfizer']",3.0,11,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
46571,52743,27714,6169,http://data.gesis.org/claimskg/creative_work/3a2e5a6b-a1b0-5848-a4bb-ebed0dd6fc6c,Research from Israel suggests that the Pfizer vaccine is much less protective against Covid-19 than natural immunity from catching the disease.,fullfact,English,OTHER,-1,"Pfizer, natural immunity, vaccine","['Pfizer', ' natural immunity', ' vaccine']",3.0,21,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
47268,53448,24523,2978,http://data.gesis.org/claimskg/creative_work/29e4c3bd-c76e-5774-89af-7d95fa434e56,You can't have the Pfizer vaccine if you're allergic to penicillin.,fullfact,English,OTHER,-1,"Pfizer, allergic to penicillin, vaccine","['Pfizer', ' allergic to penicillin', ' vaccine']",3.0,11,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
47364,53545,24937,3392,http://data.gesis.org/claimskg/creative_work/fa2c798a-f8a7-5ebf-8bc6-3119cec79107,"In children between 12 and 17 that had the Pfizer vaccine, there were 9,246 adverse reactions within a period of a month.",fullfact,English,TRUE,3,"Pfizer, adverse reactions, vaccine","['Pfizer', ' adverse reactions', ' vaccine']",3.0,22,en,3,3_vaccine_pfizer_pfizerbiontech_bourla
