Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
21,153,16166,4818,http://data.gesis.org/claimskg/creative_work/8b6de706-d3c1-56bf-a34f-f8d4a2a14740,Coronavirus was stolen from a Canadian lab by Chinese spies,factcheck_afp,English,FALSE,1,,,0.0,10,en,5,5_coronavirus_china_chinas_viruses
1156,3174,47590,8763,http://data.gesis.org/claimskg/creative_work/58d39529-dce4-5f68-9454-641d8c18bc5a,Says the coronavirus was engineered by scientists in a lab.,politifact,English,False,1,,,0.0,10,en,5,5_coronavirus_china_chinas_viruses
2502,4592,22290,745,http://data.gesis.org/claimskg/creative_work/f7a61a95-8e17-5223-adae-b180ff6f3b5e,"Professor Dr Tasuku Honjo, caused a sensation today in the media by saying that the corona virus is not natural.",fullfact,English,FALSE,1,,,0.0,20,en,5,5_coronavirus_china_chinas_viruses
2529,4619,26951,5406,http://data.gesis.org/claimskg/creative_work/9c7dd9d2-2b5c-5c3f-90da-721b9649d14b,Scientists believe that coronavirus may have come from bats in a Chinese research facility.,fullfact,English,OTHER,-1,,,0.0,14,en,5,5_coronavirus_china_chinas_viruses
3388,5744,25312,3767,http://data.gesis.org/claimskg/creative_work/144ebc2c-1958-57cf-9c7e-f324fa3e449c,"While western countries have been busy fighting the new coronavirus, international terrorism has stopped.",fullfact,English,FALSE,1,,,0.0,14,en,5,5_coronavirus_china_chinas_viruses
3422,5778,23075,1530,http://data.gesis.org/claimskg/creative_work/109a2b11-8c83-53e4-9251-5a6588b08a4d,21 million people in China have died of coronavirus.,fullfact,English,OTHER,-1,,,0.0,9,en,5,5_coronavirus_china_chinas_viruses
5591,9787,65461,3432,http://data.gesis.org/claimskg/creative_work/86f1177e-7ede-5cda-88a8-63c75da198af,A Chinese intelligence officer revealed that a new coronavirus was developed in a lab as a bioweapon.,snopes,English,False,1,,,0.0,17,en,5,5_coronavirus_china_chinas_viruses
6578,10810,62747,718,http://data.gesis.org/claimskg/creative_work/dcead340-2c90-5996-8a44-f4898ffe1118,"Chinese officials are seeking approval to start the mass killing of 20,000 people in order to stop the spread of new coronavirus.",snopes,English,False,1,,,0.0,22,en,5,5_coronavirus_china_chinas_viruses
10242,14585,25327,3782,http://data.gesis.org/claimskg/creative_work/4f1a9c10-5f1f-5dab-8f46-07dc03b1dae8,"Coronavirus may have been genetically engineered for efficient spreading in the human population, a bombshell new study has claimed.",fullfact,English,FALSE,1,genetically engineered,['genetically engineered'],1.0,19,en,5,5_coronavirus_china_chinas_viruses
11227,15577,26825,5280,http://data.gesis.org/claimskg/creative_work/7b610c7a-f8e9-5978-840a-a6016767456e,The lab from which the coronavirus originated has a similar symbol as the lab responsible for a mass outbreak in the Resident Evil games.,fullfact,English,OTHER,-1,similar symbol,['similar symbol'],1.0,24,en,5,5_coronavirus_china_chinas_viruses
