Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
4374,8520,1804,1804,http://data.gesis.org/claimskg/creative_work/e4d7f524-8c5a-59a3-9351-1b19e506074d,"Kenyans waiting for coronavirus curfew crackdown? No, photo from 2011",africacheck,English,FALSE,1,,,0.0,10,en,35,35_kenya_kenyan_kenyans_nairobi
4378,8524,1806,1806,http://data.gesis.org/claimskg/creative_work/b03f7d27-3fd4-55b6-b4b4-a831161f8732,"No, Kenyan president didn’t tweet that Covid curfew would only be lifted when BBI constitutional changes were accepted",africacheck,English,FALSE,1,,,0.0,18,en,35,35_kenya_kenyan_kenyans_nairobi
5813,10020,3712,3712,http://data.gesis.org/claimskg/creative_work/e3f5d58b-1cf0-53c5-ad79-c6a8e91738ac,"Kenyans crowding in churches despite coronavirus ban? No, photos years old",africacheck,English,FALSE,1,,,0.0,11,en,35,35_kenya_kenyan_kenyans_nairobi
6690,10928,5370,5370,http://data.gesis.org/claimskg/creative_work/1d638823-3e5f-58ea-992f-c418a1700da8,"No, Kenyan newspaper didn’t report coronavirus patient’s stay at Weston Hotel",africacheck,English,FALSE,1,,,0.0,11,en,35,35_kenya_kenyan_kenyans_nairobi
7064,11321,5834,5834,http://data.gesis.org/claimskg/creative_work/60da79c3-21e8-57fe-a0b5-c5a03d9c73c7,Data doesn’t back Kenyan transport minister’s claim that road crashes have claimed more lives in the country than Covid 19,africacheck,English,OTHER,-1,,,0.0,20,en,35,35_kenya_kenyan_kenyans_nairobi
18776,23367,13807,2459,http://data.gesis.org/claimskg/creative_work/32cc2324-8497-53b2-beef-e1cfa7a78037,Zimbabwe police dealing with the church that refused to take instructions of closing for Corona virus,factcheck_afp,English,FALSE,1,Zimbabwe police,['Zimbabwe police'],1.0,16,en,35,35_kenya_kenyan_kenyans_nairobi
18871,23529,4529,4529,http://data.gesis.org/claimskg/creative_work/119a3986-4e82-5db6-a53d-a37567ddfd3c,"Yes, Kenya’s president confirmed two new coronavirus cases on 15 March",africacheck,English,TRUE,3,15 March,['15 March'],1.0,11,en,35,35_kenya_kenyan_kenyans_nairobi
20177,25109,7432,1194,http://data.gesis.org/claimskg/creative_work/c4dea6fc-32a1-5c8d-b174-a43e6b5aeed3,A video shared on Facebook purportedly shows Zimbabwean police beating churchgoers for violating the country’s ban on large gatherings during the coronavirus pandemic.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,23,en,35,35_kenya_kenyan_kenyans_nairobi
20179,25111,5703,5703,http://data.gesis.org/claimskg/creative_work/9aca426c-c782-5750-a931-05a7db47ad9b,"Zimbabwe police violence due to political gathering, not coronavirus",africacheck,English,FALSE,1,Zimbabwe police,['Zimbabwe police'],1.0,9,en,35,35_kenya_kenyan_kenyans_nairobi
23208,28362,480,480,http://data.gesis.org/claimskg/creative_work/7b3cc795-68cc-5ece-a32f-b55c37414dbc,"Free data for Kenyans during coronavirus outbreak? No, it’s a scam",africacheck,English,FALSE,1,coronavirus outbreak,['coronavirus outbreak'],1.0,11,en,35,35_kenya_kenyan_kenyans_nairobi
23259,28426,1888,1888,http://data.gesis.org/claimskg/creative_work/d02ca97c-dbfe-5780-b88e-e84d519203c0,"Top Kenyan official gives the finger to coronavirus ‘idiots’? No, photo manipulated",africacheck,English,FALSE,1,photo manipulated,['photo manipulated'],1.0,12,en,35,35_kenya_kenyan_kenyans_nairobi
26524,31790,9706,3468,http://data.gesis.org/claimskg/creative_work/2445c719-2a56-5701-a0ac-206eba182c9e,"A video shared on Facebook more than 3,900 times purportedly shows celebrations in Tanzania following the country’s defeating of the coronavirus.",checkyourfact,English,FALSE,1,"Facebook, Tanzania","['Facebook', ' Tanzania']",2.0,21,en,35,35_kenya_kenyan_kenyans_nairobi
30559,35858,2731,2731,http://data.gesis.org/claimskg/creative_work/78b9d0ba-8547-59a5-b740-ec5ccbd48fb1,"‘Avoid Kenyans’ because of coronavirus? No, southern African newspaper headline photoshopped",africacheck,English,FALSE,1,"newspaper headline, photoshopped","['newspaper headline', ' photoshopped']",2.0,11,en,35,35_kenya_kenyan_kenyans_nairobi
30613,35914,2796,2796,http://data.gesis.org/claimskg/creative_work/5986c8ef-65a3-59b6-979b-1d25bbfc132f,"Three months’ free rent in Kenya during Covid-19 crisis? No, announcement fake",africacheck,English,FALSE,1,"Covid-19, Kenya","['Covid-19', ' Kenya']",2.0,12,en,35,35_kenya_kenyan_kenyans_nairobi
32542,37862,5253,5253,http://data.gesis.org/claimskg/creative_work/6b696094-82b1-5b23-8393-1ea1eebc6b24,"Man arrested in Kenya for not wearing mask during coronavirus outbreak? No, photo from 2014 strike",africacheck,English,FALSE,1,"Kenya, coronavirus outbreak","['Kenya', ' coronavirus outbreak']",2.0,16,en,35,35_kenya_kenyan_kenyans_nairobi
32650,37970,5584,5584,http://data.gesis.org/claimskg/creative_work/fe31d3fd-989a-5b23-8695-6ca227753652,No Likoni ferry ‘lockdown’ during Kenya’s coronavirus curfew,africacheck,English,FALSE,1,"Kenya, Likoni ferry","['Kenya', ' Likoni ferry']",2.0,8,en,35,35_kenya_kenyan_kenyans_nairobi
33267,38590,5131,5131,http://data.gesis.org/claimskg/creative_work/87655e16-2041-5092-a79d-29713d917c82,"No, false news of KSh100,000 payout for ‘every Kenyan’ during Covid-19 lockdown not broadcast on Citizen TV",africacheck,English,FALSE,1,"Citizen TV, Covid-19","['Citizen TV', ' Covid-19']",2.0,17,en,35,35_kenya_kenyan_kenyans_nairobi
34119,39449,5935,5935,http://data.gesis.org/claimskg/creative_work/2845c359-29ff-5ef7-94ba-4b83b6e8237a,"No, photo not of police brutality during Kenya’s coronavirus curfew",africacheck,English,FALSE,1,"Kenya, police brutality","['Kenya', ' police brutality']",2.0,10,en,35,35_kenya_kenyan_kenyans_nairobi
34524,39860,3926,3926,http://data.gesis.org/claimskg/creative_work/b1fd5268-1e27-54d6-824e-a7caf3ec375c,[The Covid-19 dusk-to-dawn curfew is] Kenya’s first ever nationwide curfew since independence.,africacheck,English,TRUE,3,"Covid-19, Kenya","['Covid-19', ' Kenya']",2.0,12,en,35,35_kenya_kenyan_kenyans_nairobi
