Topic,Count,Name,Representation,Representative_Docs
-1,478,-1_joe_the_biden_to,"['joe', 'the', 'biden', 'to', 'president', 'on', 'of', 'in', 'facebook', 'bidens']","['A post shared on Facebook claims Facebook removed the title of President from Donald Trump’s official Facebook page, replacing it with Political Candidate, following President-elect Joe Biden’s victory in the 2020 presidential election.', 'A video shared on Facebook claims former President Donald Trump jailed an aide of President Joe Biden’s 2020 campaign for election fraud.', 'An image shared on Facebook purportedly shows a letter former President Donald Trump left for President Joe Biden that reads, Joe, you know I won.']"
0,89,0_shows_photograph_image_on,"['shows', 'photograph', 'image', 'on', 'with', 'an', 'president', 'photo', 'shared', 'joe']","['An image shared on Facebook allegedly shows President Joe Biden and Kenyan Deputy President William Ruto meeting at the White House.', 'An image shared on Facebook purportedly shows former Vice President Joe Biden biting a young girl on the cheek.', 'An image shared on Facebook purportedly shows President Joe Biden posing for a picture with White House Press Secretary Jen Psaki with his hands on her chest.']"
1,88,1_gas_prices_pipeline_oil,"['gas', 'prices', 'pipeline', 'oil', 'keystone', 'ban', 'climate', 'fracking', 'biden', 'energy']","['A gas prices meme accurately shows high prices under U.S. President Joe Biden and low prices under former U.S. President Donald Trump.', 'Low gas prices in Russia, Kuwait and Saudi Arabia show that Joe Biden’s decision to cancel the Keystone Pipeline project is to blame for U.S. prices.', 'The cancellation of the Keystone XL pipeline by Joe Biden killed hundreds of jobs, sent gas prices way up.']"
2,80,2_donald_2020_joe_presidential,"['donald', '2020', 'joe', 'presidential', 'trump', 'us', 'biden', 'president', 'the', 'speech']","['Democratic 2020 presidential nominee Joe Biden called U.S. President Donald Trump xenophobic.', 'Joe Biden said Donald Trump was still US president in speech', 'A viral Facebook post claims President Donald Trump said, If you elect Joe Biden, there will be no hand sanitizer.']"
3,76,3_votes_ballots_election_in,"['votes', 'ballots', 'election', 'in', '2020', 'wisconsin', 'trump', 'for', 'were', 'electoral']","['A post on Twitter claims 6,000 fraudulent votes cast for President-elect Joe Biden were found in Arizona, reducing his roughly 10,000-vote lead to 4,000 votes.', '221,000 votes were switched from Trump to Biden in Pennsylvania', ""Some 2,600 uncounted votes, a majority of which were cast for U.S. President Donald Trump, were found in Floyd County, Georgia, moving the president about 800 votes closer to President-elect Joe Biden's tally in the 2020 general election.""]"
4,73,4_hunter_son_laptop_pelosi,"['hunter', 'son', 'laptop', 'pelosi', 'military', 'was', 'nancy', 'on', 'bidens', 'facebook']","['A video shared on Facebook claims Republican Texas Sen. Ted Cruz leaked information stemming from Hunter Biden’s laptop that implicated House Speaker Nancy Pelosi.', 'A post shared on Facebook claims House Speaker Nancy Pelosi’s son Paul Pelosi Jr. and Utah Sen. Mitt Romney’s son served on the Ukrainian gas company Burisma Holdings’ board of directors with Democratic presidential candidate Joe Biden’s son Hunter Biden.', 'A post shared on Facebook claims the U.S. military recently arrested Hunter Biden, the son of President Joe Biden, as he was attempting to re-enter the country.']"
5,70,5_covid19_vaccine_vaccines_vaccinated,"['covid19', 'vaccine', 'vaccines', 'vaccinated', 'said', 'not', 'people', 'biden', 'the', 'died']","['An image shared on Facebook claims President Joe Biden announced that Americans not vaccinated against COVID-19 before 2022 will be put in quarantine camps.', 'An image shared on Facebook more than 200 times claims former Vice President Joe Biden said, People who have never died before are now dying from corona virus [sic].', 'Quotes Joe Biden as saying people who have never died before are now dying from coronavirus.']"
6,70,6_video_shows_speech_joe,"['video', 'shows', 'speech', 'joe', 'biden', 'in', 'at', 'purportedly', 'white', 'chanting']","['A video shared on Facebook purportedly shows President Joe Biden saying the N-word during a recent speech.', 'A video shared on Facebook purportedly shows Democratic presidential nominee Joe Biden saying Hello, Minnesota while at a campaign event in Tampa, Florida.', 'A YouTube video shared on Facebook purportedly shows Democratic presidential nominee Joe Biden waving to an empty field while disembarking from a plane in Tampa, Florida during a campaign stop.']"
7,57,7_harris_kamala_vice_president,"['harris', 'kamala', 'vice', 'president', 'resigned', 'from', 'resign', 'joe', 'become', 'biden']","['Vice presidential candidate Kamala Harris said Joe Biden is trash to me.', 'A video shows U.S. President Joe Biden accidentally referring to Vice President Kamala Harris as President Harris.', 'A video shared on Facebook claims President Joe Biden and Vice President Kamala Harris have resigned and former President Donald Trump has been reinstated as president.']"
8,52,8_border_administration_illegal_the,"['border', 'administration', 'illegal', 'the', 'immigrants', 'immigration', 'in', 'are', 'into', 'to']","['The Biden Administration is recklessly releasing hundreds of illegal immigrants who have COVID into Texas communities.', 'Says Joe Biden is restricting travel for Americans into Mexico, but is keeping the border wide open for illegal aliens to walk right into our country.', ""In the last several months, the Biden administration has released over 7,000 illegal aliens who were COVID positive just in one Texas city. Biden's border policies are endangering not just the people of Texas, but people all across the country.""]"
