Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
18,123,16370,5022,http://data.gesis.org/claimskg/creative_work/ea30d19c-1b00-528e-b67c-b09f6458fb5b,"Trump, Biden both said People are dying that have never died before",factcheck_afp,English,FALSE,1,,,0.0,12,en,4,4_vaccine_vaccinations_vaccines_vaccinated
73,499,16548,5200,http://data.gesis.org/claimskg/creative_work/f1875c5f-31e5-504c-a116-318ed4fcff67,Biden exporting US strategic oil as gas prices remain at record highs,factcheck_afp,English,FALSE,1,,,0.0,12,en,2,2_biden_bidens_oil_fuels
82,581,15716,4368,http://data.gesis.org/claimskg/creative_work/337d169d-a9ed-5b8c-bf20-873843d4f24b,No one will be safe in Biden's America,factcheck_afp,English,FALSE,1,,,0.0,8,en,-1,-1_biden_trump_donald_barack
123,892,15991,4643,http://data.gesis.org/claimskg/creative_work/1037b70b-c982-56a4-a72a-b282f2c9a889,Biden canceled Operation Talon,factcheck_afp,English,FALSE,1,,,0.0,4,en,-1,-1_biden_trump_donald_barack
140,1169,17515,6167,http://data.gesis.org/claimskg/creative_work/2cff80dd-5194-589a-b8d9-dc085246c2d4,Photo of Biden appearing to wear surgical boot on opposite foot,factcheck_afp,English,FALSE,1,,,0.0,11,en,-1,-1_biden_trump_donald_barack
148,1253,17620,6272,http://data.gesis.org/claimskg/creative_work/b06334b5-05dc-5331-9e11-a7246f6ac94d,Biden's first address to congress had 11.6 million viewers,factcheck_afp,English,FALSE,1,,,0.0,9,en,1,1_biden_votes_ballots_voters
245,2169,17082,5734,http://data.gesis.org/claimskg/creative_work/b70a983e-42ad-550e-a303-4bf068e0188e,"Middle class incomes grew $6,000 under Trump, fell under Biden",factcheck_afp,English,MIXTURE,2,,,0.0,10,en,18,18_biden_inflation_trillion_incomes
251,2225,17143,5795,http://data.gesis.org/claimskg/creative_work/141c3125-4980-55f0-b46a-29ea243c4468,Video of US people chanting anti-Biden slogan in 2021,factcheck_afp,English,FALSE,1,,,0.0,9,en,3,3_biden_video_presidential_bidens
259,2258,45424,6597,http://data.gesis.org/claimskg/creative_work/65a61486-5a56-55a5-92e6-3752ce245710,Biden is computer generated.,politifact,English,False,1,,,0.0,4,en,-1,-1_biden_trump_donald_barack
261,2260,45419,6592,http://data.gesis.org/claimskg/creative_work/34fba129-e9f7-5a34-adaa-e15da51a9ae1,Biden and Democrats have dismantled border security.,politifact,English,False,1,,,0.0,7,en,7,7_immigration_deportations_migrants_immigrants
310,2309,45468,6641,http://data.gesis.org/claimskg/creative_work/e69d9104-f973-5f44-a364-3901b4a343b2,Biden did not win legally.,politifact,English,False,1,,,0.0,5,en,-1,-1_biden_trump_donald_barack
351,2350,11718,370,http://data.gesis.org/claimskg/creative_work/464294a9-7a23-5dc8-90de-5d68ef569fb0,How can Biden afford this mansion on a senator's salary,factcheck_afp,English,FALSE,1,,,0.0,10,en,-1,-1_biden_trump_donald_barack
417,2417,46288,7461,http://data.gesis.org/claimskg/creative_work/03c938d4-0cae-54b3-b9bd-a2ef693eeb20,There was a raid on the Biden residence yesterday by the military!,politifact,English,False,1,,,0.0,12,en,6,6_pelosis_pelosi_biden_cruz
514,2516,46112,7285,http://data.gesis.org/claimskg/creative_work/58f4d910-7b42-5b72-abf6-a37e84d4abe6,"When asked about court-packing, Biden's staff immediately escorts the camera out.",politifact,English,False,1,,,0.0,11,en,0,0_biden_image_photo_posing
674,2683,44325,5498,http://data.gesis.org/claimskg/creative_work/f8e38811-b81c-5baf-a943-7fd305922898,"6 states will cast their (electoral) votes for Trump AND for Biden, which will lead to a second Trump term.",politifact,English,False,1,,,0.0,20,en,1,1_biden_votes_ballots_voters
681,2690,11903,555,http://data.gesis.org/claimskg/creative_work/68d4c91a-e947-58fc-8b89-8cc2e7f301ea,Biden faked an interaction with reporters,factcheck_afp,English,FALSE,1,,,0.0,6,en,-1,-1_biden_trump_donald_barack
691,2700,44387,5560,http://data.gesis.org/claimskg/creative_work/82423faf-4bb9-5205-a041-76bf9062bb53,Not one court has looked at the evidence and said that Biden legally won the presidential election.,politifact,English,False,1,,,0.0,17,en,-1,-1_biden_trump_donald_barack
710,2720,44613,5786,http://data.gesis.org/claimskg/creative_work/07c324f4-f887-55c3-942b-7f3655dd6288,Biden impeachment in progress.,politifact,English,False,1,,,0.0,4,en,-1,-1_biden_trump_donald_barack
741,2754,43773,4946,http://data.gesis.org/claimskg/creative_work/78c0e899-7769-583a-8f38-23546c769f69,Biden is currently sending more military equipment to our neighborhoods than Trump did.,politifact,English,False,1,,,0.0,13,en,17,17_amendment_biden_militia_guns
755,2768,43658,4831,http://data.gesis.org/claimskg/creative_work/2797b279-a7f3-5e4e-8192-ed453113978b,I don’t think there’s any doubt (Joe) Biden’s senile.,politifact,English,False,1,,,0.0,9,en,5,5_biden_trump_bidens_presidential
781,2794,44132,5305,http://data.gesis.org/claimskg/creative_work/2aecc591-1317-5b9c-87f2-a15ef1767d1b,President Biden's Air Force One pilot got fired after this vertical take off.,politifact,English,False,1,,,0.0,13,en,-1,-1_biden_trump_donald_barack
921,2937,49700,1830,http://data.gesis.org/claimskg/creative_work/b6d9638c-a6aa-51d5-9d4c-b6d4a2ee7e62,"Iowans are paying $5,000 extra for everyday goods under Biden and Axne’s inflation.",politifact,English,MIXTURE,2,,,0.0,13,en,18,18_biden_inflation_trillion_incomes
1120,3138,47866,9039,http://data.gesis.org/claimskg/creative_work/225c5554-5ed1-5c22-b0e8-f17113775541,"In manufacturing, I brought back 700,000 jobs. (Obama and Biden) brought back nothing.",politifact,English,False,1,,,0.0,13,en,18,18_biden_inflation_trillion_incomes
1206,3225,47542,8715,http://data.gesis.org/claimskg/creative_work/6a5bd290-3429-5d69-b348-793017a9bd1a,Biden wants to give illegals ID cards so they can start collecting American benefits.,politifact,English,False,1,,,0.0,14,en,11,11_biden_medicare_obamacare_obamabiden
1224,3243,47406,8579,http://data.gesis.org/claimskg/creative_work/7381eca8-8cb3-5702-8fc5-6a3f2f4aebae,"Biden’s tax rate on a family making 75,000 dollars would go from 12% to 25%.",politifact,English,False,1,,,0.0,15,en,8,8_taxes_tax_irs_biden
1504,3527,14751,3403,http://data.gesis.org/claimskg/creative_work/85e3f02a-02dc-5819-bc25-2ffb75cb332f,Video shows Americans cheering Biden's fall on plane stairs,factcheck_afp,English,FALSE,1,,,0.0,9,en,-1,-1_biden_trump_donald_barack
1688,3712,15239,3891,http://data.gesis.org/claimskg/creative_work/fb79f9f1-d121-5e36-ba4c-12a8d5cdaa41,US senator scolded by a protester after admitting Biden as president-elect,factcheck_afp,English,FALSE,1,,,0.0,11,en,-1,-1_biden_trump_donald_barack
1722,3754,15455,4107,http://data.gesis.org/claimskg/creative_work/7be92eaa-eae8-50cc-b295-13a69e4b2031,Photo shows Biden in 2020 on a plane without a mask,factcheck_afp,English,FALSE,1,,,0.0,11,en,13,13_mask_masks_maskless_biden
1732,3789,15403,4055,http://data.gesis.org/claimskg/creative_work/51699c81-8b4a-5763-a3fe-67180130e8cf,Image shows Trump's letter to Biden,factcheck_afp,English,FALSE,1,,,0.0,6,en,0,0_biden_image_photo_posing
1882,3953,15094,3746,http://data.gesis.org/claimskg/creative_work/108e879c-2236-577d-8c0a-75af28de559b,Biden oil shutdown led to high energy prices,factcheck_afp,English,FALSE,1,,,0.0,8,en,2,2_biden_bidens_oil_fuels
1898,3970,41150,2323,http://data.gesis.org/claimskg/creative_work/54249c50-424f-522e-9b0e-da97e7c9579a,This Is Real: Biden Waves To An Empty Field.,politifact,English,False,1,,,0.0,9,en,3,3_biden_video_presidential_bidens
1977,4050,40561,1734,http://data.gesis.org/claimskg/creative_work/d2901ba0-7708-52f7-8597-9b7df90874fb,Biden changes his mind and now wants to resume building Trump’s wall.,politifact,English,False,1,,,0.0,12,en,-1,-1_biden_trump_donald_barack
2011,4085,40768,1941,http://data.gesis.org/claimskg/creative_work/9ad12821-8a92-5ed0-a852-f9b883c9c016,Biden admits $5 gas is being done on purpose and this has been his plan all along.,politifact,English,False,1,,,0.0,17,en,2,2_biden_bidens_oil_fuels
2038,4112,42165,3338,http://data.gesis.org/claimskg/creative_work/d31afab3-4eae-5d8e-9c8f-a91340eeb193,Biden confirms agenda to microchip the masses,politifact,English,False,1,,,0.0,7,en,-1,-1_biden_trump_donald_barack
2079,4154,42410,3583,http://data.gesis.org/claimskg/creative_work/adc0e646-3127-5fb0-9455-e17d9dd243f4,Biden flashed the white power sign while a black man was asking him a question.,politifact,English,False,1,,,0.0,15,en,3,3_biden_video_presidential_bidens
2095,4171,42017,3190,http://data.gesis.org/claimskg/creative_work/3d86588f-9b2d-5e13-aa0f-63c854a9d88d,Biden orders VA to withhold benefits from unvaccinated veterans.,politifact,English,False,1,,,0.0,9,en,4,4_vaccine_vaccinations_vaccines_vaccinated
2118,4194,41494,2667,http://data.gesis.org/claimskg/creative_work/c64135bb-58c3-593d-a4b6-ec779290eabe,Biden to teachers: ‘They're not somebody else's children. They're yours when you're in the classroom.’,politifact,English,False,1,,,0.0,15,en,-1,-1_biden_trump_donald_barack
2174,4254,13951,2603,http://data.gesis.org/claimskg/creative_work/0e927efa-89c0-54bd-a336-11e661b2b211,Trump lost as many jobs as Biden gained during his first five months,factcheck_afp,English,FALSE,1,,,0.0,13,en,18,18_biden_inflation_trillion_incomes
2188,4268,13928,2580,http://data.gesis.org/claimskg/creative_work/eaf6f5d6-1c38-5c86-b9ee-6df656e39c18,Video shows Biden's assistant being arrested,factcheck_afp,English,FALSE,1,,,0.0,6,en,6,6_pelosis_pelosi_biden_cruz
2215,4297,39521,694,http://data.gesis.org/claimskg/creative_work/4695eeb5-9712-57ef-b703-58967bd75693,The Biden-backed infrastructure bill contains a provision establishing a per-mile driving tax.,politifact,English,False,1,,,0.0,12,en,8,8_taxes_tax_irs_biden
2223,4305,39492,665,http://data.gesis.org/claimskg/creative_work/9914fa35-e78c-5e26-9057-0210f08e5c74,"Biden said today, if he loses, his people will keep burning, looting and killing.",politifact,English,False,1,,,0.0,14,en,-1,-1_biden_trump_donald_barack
2233,4315,39228,401,http://data.gesis.org/claimskg/creative_work/b9d7aa39-c7bd-5ae1-9219-bf075443575a,"Biden’s Air Force One is not the same as Trump’s Air Force One, which indicates Biden is not the real president.",politifact,English,False,1,,,0.0,21,en,-1,-1_biden_trump_donald_barack
2237,4320,14146,2798,http://data.gesis.org/claimskg/creative_work/5bc87e5a-c4cb-5965-ace0-3de5cf4b9fae,List of Biden accomplishments is true,factcheck_afp,English,FALSE,1,,,0.0,6,en,-1,-1_biden_trump_donald_barack
2252,4335,38875,48,http://data.gesis.org/claimskg/creative_work/d19a774b-4e42-52a2-a219-525d0a5c5647,Video shows Biden giving the same exact speech months apart.,politifact,English,False,1,,,0.0,10,en,3,3_biden_video_presidential_bidens
2271,4354,14059,2711,http://data.gesis.org/claimskg/creative_work/8139718c-5f87-59d8-92dc-c9172360c19b,Biden climate plan will cut American meat consumption,factcheck_afp,English,FALSE,1,,,0.0,8,en,2,2_biden_bidens_oil_fuels
2338,4423,13518,2170,http://data.gesis.org/claimskg/creative_work/e31c6b41-0da9-5c4f-acb3-fa510cc8f39a,Biden wore a mask during a video call alone in a room,factcheck_afp,English,FALSE,1,,,0.0,12,en,13,13_mask_masks_maskless_biden
2353,4439,40433,1606,http://data.gesis.org/claimskg/creative_work/a88685f9-8756-5f68-8981-fb74ad480091,"If Biden becomes president and cannot complete his term, Harris will become president, and Pelosi will become vice president.",politifact,English,False,1,,,0.0,19,en,12,12_biden_pelosi_harris_kamala
2375,4461,13767,2419,http://data.gesis.org/claimskg/creative_work/a699832f-9124-5b00-acd1-a6e6cde7ddb4,Biden apologises on bended knee to Floyd’s daughter,factcheck_afp,English,FALSE,1,,,0.0,8,en,10,10_kneeling_biden_knelt_knee
2402,4488,39766,939,http://data.gesis.org/claimskg/creative_work/686ced74-c285-5c58-b101-c5fc1723ca96,President Biden says he wants to ban handguns.,politifact,English,False,1,,,0.0,8,en,17,17_amendment_biden_militia_guns
