Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
19506,24377,13624,2276,http://data.gesis.org/claimskg/creative_work/2390ee9a-207d-58af-9849-fd17babc5265,Indians destroy statues because of Covid-19,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,6,en,32,32_hindus_hindu_indias_india
19883,24809,16073,4725,http://data.gesis.org/claimskg/creative_work/2373cf41-7fc3-5af8-9478-f4bf446440ba,Photo shows Covid-19 dead bodies in Indian river in May 2021,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,11,en,32,32_hindus_hindu_indias_india
20625,25564,15153,3805,http://data.gesis.org/claimskg/creative_work/d42986fa-2fe5-5b46-aae8-6dff492a0461,Large flock of parrots seen on sacks of grain during COVID-19 lockdown in India,factcheck_afp,English,FALSE,1,COVID-19 lockdown in India,['COVID-19 lockdown in India'],1.0,14,en,32,32_hindus_hindu_indias_india
21208,26193,14709,3361,http://data.gesis.org/claimskg/creative_work/c5dea7b8-75ae-53c3-9e2d-250deb6f5d97,Indians drown religious statues for failing to offer COVID-19 protection,factcheck_afp,English,FALSE,1,COVID-19,['COVID-19'],1.0,10,en,32,32_hindus_hindu_indias_india
27043,32313,9483,3245,http://data.gesis.org/claimskg/creative_work/43bad3ba-72ce-59b7-952b-dee693958250,A video shared on Facebook more than 300 times purportedly shows people in India throwing religious statues in the river because they can’t deliver them from COVID-19.,checkyourfact,English,FALSE,1,"Facebook, India","['Facebook', ' India']",2.0,27,en,32,32_hindus_hindu_indias_india
28984,34271,70209,8180,http://data.gesis.org/claimskg/creative_work/228faca3-1a9c-51f7-8959-fd942a0cc3cd,"In 2021, Hindus in India threw away religious idols en masse, in anger and despair at a surge in COVID-19 infections and deaths.",snopes,English,False,1,"COVID-19, Hindus in India","['COVID-19', ' Hindus in India']",2.0,23,en,32,32_hindus_hindu_indias_india
35762,41112,4124,4124,http://data.gesis.org/claimskg/creative_work/294927fd-913d-5e79-adf2-a81f52e1034f,"No, years-old video clips from Hindu festivals – not idols thrown away in India because they ‘don’t have power to cure’ Covid",africacheck,English,FALSE,1,"Hindu, India","['Hindu', ' India']",2.0,22,en,32,32_hindus_hindu_indias_india
36229,41586,15737,4389,http://data.gesis.org/claimskg/creative_work/ccac7746-3060-536f-8140-b1687297478b,Visuals show victims of India's recent Covid-19 surge,factcheck_afp,English,FALSE,1,"Covid-19, India","['Covid-19', ' India']",2.0,8,en,32,32_hindus_hindu_indias_india
36903,42290,17342,5994,http://data.gesis.org/claimskg/creative_work/8a846317-bb07-53c5-a430-7e788c7fd037,Image shows Covid-19 burial ground in Sri Lanka,factcheck_afp,English,FALSE,1,"Covid-19, Sri Lanka","['Covid-19', ' Sri Lanka']",2.0,8,en,32,32_hindus_hindu_indias_india
37027,42423,17260,5912,http://data.gesis.org/claimskg/creative_work/90b752bb-0d86-5acf-ada0-6c6284d2af3c,Photo shows exhausted Covid-19 first responders in Sri Lanka,factcheck_afp,English,FALSE,1,"Covid-19, Sri Lanka","['Covid-19', ' Sri Lanka']",2.0,9,en,32,32_hindus_hindu_indias_india
