Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
19318,24162,13080,1732,http://data.gesis.org/claimskg/creative_work/3da974f4-9f4a-5c9a-bcdc-7801fa46201c,This photo shows US President Joe Biden is swamped in executive orders.,factcheck_afp,English,FALSE,1,Joe Biden,['Joe Biden'],1.0,12,en,15,15_biden_orders_presidency_president
19541,24418,13633,2285,http://data.gesis.org/claimskg/creative_work/eeb7ca1a-a958-5f73-8ceb-31d9b1030c6e,Joe Biden signed blank executive orders on the first day of his presidency,factcheck_afp,English,FALSE,1,Joe Biden,['Joe Biden'],1.0,13,en,15,15_biden_orders_presidency_president
20005,24932,16540,5192,http://data.gesis.org/claimskg/creative_work/19586a2a-94a9-5a14-ae93-b28251a0b5ab,Video shows US President Joe Biden signing blank executive orders,factcheck_afp,English,FALSE,1,President Joe Biden,['President Joe Biden'],1.0,10,en,15,15_biden_orders_presidency_president
20575,25512,6330,92,http://data.gesis.org/claimskg/creative_work/f6ef19b3-d0ac-5bac-aaa6-09cfaea1c3cf,"A viral Facebook post shared over 2,000 times claims President Joe Biden signed 52 executive orders in one week.",checkyourfact,English,FALSE,1,President Joe Biden,['President Joe Biden'],1.0,19,en,15,15_biden_orders_presidency_president
21045,26023,8152,1914,http://data.gesis.org/claimskg/creative_work/b3efa67c-a61d-55d6-ad5a-f4777eb04f43,A post shared on Facebook claims President Joe Biden signed blank executive orders.,checkyourfact,English,FALSE,1,President Joe Biden,['President Joe Biden'],1.0,13,en,15,15_biden_orders_presidency_president
21087,26067,8142,1904,http://data.gesis.org/claimskg/creative_work/6750eeae-2093-5a82-8bfe-988bd8c974c2,A post shared on Facebook claims President Joe Biden signed 96 executive orders in 100 days.,checkyourfact,English,FALSE,1,President Joe Biden,['President Joe Biden'],1.0,16,en,15,15_biden_orders_presidency_president
23582,28836,10227,3989,http://data.gesis.org/claimskg/creative_work/6ffbb866-01a8-53df-a16e-e185b054a740,"A post shared on Facebook claims to show President Joe Biden signing executive orders with his left hand, proving he has a body double.",checkyourfact,English,FALSE,1,"Facebook, President Joe Biden","['Facebook', ' President Joe Biden']",2.0,24,en,15,15_biden_orders_presidency_president
25428,30687,6867,629,http://data.gesis.org/claimskg/creative_work/cf0ceaa6-0192-5b62-8988-16247c2676ed,A post shared on Facebook claims President Joe Biden signed an executive order to tear down the U.S.-Mexico border wall.,checkyourfact,English,FALSE,1,"Facebook, President Joe Biden","['Facebook', ' President Joe Biden']",2.0,20,en,15,15_biden_orders_presidency_president
26873,32141,50704,2834,http://data.gesis.org/claimskg/creative_work/2699140c-7f5c-5e7a-9e18-eae3cd884347,"In the Obama-Biden administration, we got China to cut cyber-theft -- it's gotten significantly worse under this administration.",politifact,English,MIXTURE,2,"Biden administration, China","['Biden administration', ' China']",2.0,18,en,15,15_biden_orders_presidency_president
29332,34622,69717,7688,http://data.gesis.org/claimskg/creative_work/b5331c9d-21b9-5e1a-bd32-92dd06e6c0d4,"U.S President Joe Biden signed blank executive orders on Jan. 21, 2021, rendering those orders invalid.",snopes,English,False,1,"Joe Biden, U.S President","['Joe Biden', ' U.S President']",2.0,16,en,15,15_biden_orders_presidency_president
