Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
1993,4066,40759,1932,http://data.gesis.org/claimskg/creative_work/0e8fc90f-5385-533d-a83b-5ccd72d4a93f,Australian military being trained to **force vaccinate** in door-to-door attacks.,politifact,English,False,1,,,0.0,10,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
9441,13778,26628,5083,http://data.gesis.org/claimskg/creative_work/0cea0c0d-72d1-58ad-ab3c-f2a8b265204c,Australia has approved an application to forcibly vaccinate its citizens via ‘chemtrails’.,fullfact,English,OTHER,-1,chemtrails,['chemtrails'],1.0,12,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
12205,16563,52822,4952,http://data.gesis.org/claimskg/creative_work/acb95b86-62b6-54e9-99af-605e0cbe0ab2,Fully vaccinated Australians in hospital for COVID-19 surpass unvaccinated,politifact,English,MIXTURE,2,COVID-19,['COVID-19'],1.0,9,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
19911,24837,16036,4688,http://data.gesis.org/claimskg/creative_work/455be281-7e6f-55b6-969d-c23790dee6f5,Covid-19 vaccine safety data from Australian vaccination monitoring agency,factcheck_afp,English,FALSE,1,Covid-19 vaccine,['Covid-19 vaccine'],1.0,9,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
20341,25273,6632,394,http://data.gesis.org/claimskg/creative_work/106aeba5-9e30-51c1-b6ab-82cd3a619497,An image shared on Facebook purportedly shows a news alert about Australia putting all citizens who are not fully vaccinated against COVID-19 by the end of the year in isolation camps.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,31,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
20476,25413,15851,4503,http://data.gesis.org/claimskg/creative_work/421c023e-5fc9-5b44-bcf4-5d90b0accb9d,Segment shows actors were used in Australian Covid-19 awareness campaign,factcheck_afp,English,FALSE,1,Covid-19,['Covid-19'],1.0,10,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
22479,27614,11833,485,http://data.gesis.org/claimskg/creative_work/0e2b7ce6-9d3f-5fe6-867c-58886d50c003,Unvaccinated Australians can't leave or enter the country,factcheck_afp,English,FALSE,1,enter the country,['enter the country'],1.0,8,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
22738,27881,12061,713,http://data.gesis.org/claimskg/creative_work/99b5aaed-fffd-58ed-9e4b-cbf9027a24f5,New Australia biosecurity law will punish the unvaccinated,factcheck_afp,English,FALSE,1,New Australia,['New Australia'],1.0,8,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
22865,28011,23262,1717,http://data.gesis.org/claimskg/creative_work/ac579995-58cb-551b-8e5f-4a62a630db5e,The Australian government has admitted Covid-19 vaccines are a poison.,fullfact,English,FALSE,1,Australian government,['Australian government'],1.0,10,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
22985,28133,23057,1512,http://data.gesis.org/claimskg/creative_work/efa23088-4417-51f7-ac85-c8e28db3ad25,There have been three deaths linked to Covid-19 vaccines among children in Australia.,fullfact,English,FALSE,1,Australia,['Australia'],1.0,13,en,37,37_vaccinations_vaccinated_unvaccinated_vaccinate
