Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
3632,5991,25446,3901,http://data.gesis.org/claimskg/creative_work/79a696fc-1178-571a-84a9-d51f7f8d88d9,The Covid-19 vaccines contain graphene oxide.,fullfact,English,OTHER,-1,,,0.0,6,en,94,94_graphene_vaccine_vaccines_vaccinated
18687,23259,13725,2377,http://data.gesis.org/claimskg/creative_work/edbb09e3-c1cd-55fa-8bc9-04e448674dca,Covid jabs contain graphene found on beaches,factcheck_afp,English,FALSE,1,graphene,['graphene'],1.0,7,en,94,94_graphene_vaccine_vaccines_vaccinated
19124,23951,10254,4016,http://data.gesis.org/claimskg/creative_work/a2df8e4d-acd5-5612-bc60-0501bf925fd2,A post shared on Facebook claims the Pfizer-BioNTech COVID-19 vaccine contains graphene oxide.,checkyourfact,English,FALSE,1,Facebook,['Facebook'],1.0,13,en,94,94_graphene_vaccine_vaccines_vaccinated
21665,26661,22236,691,http://data.gesis.org/claimskg/creative_work/4025d28f-0111-597d-bf6d-2f300a5d40c2,The Pfizer vaccine is 99% graphene oxide.,fullfact,English,FALSE,1,Pfizer vaccine,['Pfizer vaccine'],1.0,7,en,94,94_graphene_vaccine_vaccines_vaccinated
36733,42109,17018,5670,http://data.gesis.org/claimskg/creative_work/7839fbaf-4728-5a4c-be25-9e999debaba5,Vaccines on the market contain carcinogenic graphene oxide,factcheck_afp,English,FALSE,1,"carcinogenic, graphene oxide","['carcinogenic', ' graphene oxide']",2.0,8,en,94,94_graphene_vaccine_vaccines_vaccinated
38884,44329,27106,5561,http://data.gesis.org/claimskg/creative_work/ea3a9033-7927-56fb-b038-363561009bb2,Graphene oxide in the Covid-19 vaccines helps these parasites grow faster.,fullfact,English,OTHER,-1,"Covid-19 vaccines, Graphene oxide","['Covid-19 vaccines', ' Graphene oxide']",2.0,11,en,94,94_graphene_vaccine_vaccines_vaccinated
41324,47204,43365,4538,http://data.gesis.org/claimskg/creative_work/a85497d0-b842-5a16-bcad-c8ca3be88a0a,"The Pfizer COVID-19 vaccine is 99% graphene oxide, which is toxic to the human body and causes a number of problems.",politifact,English,False,1,"Pfizer COVID-19 vaccine, graphene oxide","['Pfizer COVID-19 vaccine', ' graphene oxide']",2.0,21,en,94,94_graphene_vaccine_vaccines_vaccinated
54230,60628,16462,5114,http://data.gesis.org/claimskg/creative_work/a70720cd-808b-5ec5-93cd-5c277e3c5f66,"Video shows graphene nanoparticles, which are found in Covid-19 vaccines",factcheck_afp,English,FALSE,1,"Covid-19 vaccines, graphene, nanoparticles","['Covid-19 vaccines', ' graphene', ' nanoparticles']",3.0,10,en,94,94_graphene_vaccine_vaccines_vaccinated
55182,61598,16477,5129,http://data.gesis.org/claimskg/creative_work/0887a106-a56b-52d1-8230-d60e2ed4d909,Graphene oxide in Covid-19 vaccines manipulated during Astroworld concert,factcheck_afp,English,FALSE,1,"Astroworld, Covid-19 vaccines, Graphene oxide","['Astroworld', ' Covid-19 vaccines', ' Graphene oxide']",3.0,9,en,94,94_graphene_vaccine_vaccines_vaccinated
58513,65037,23681,2136,http://data.gesis.org/claimskg/creative_work/67f82a7f-3b82-532f-9a02-bbad4f98e103,There’s graphene oxide in the Covid-19 vaccines which reassembles in the body and becomes a supercomputer or superconductor.,fullfact,English,OTHER,-1,"Covid-19 vaccines, graphene oxide, supercomputer, superconductor","['Covid-19 vaccines', ' graphene oxide', ' supercomputer', ' superconductor']",4.0,18,en,94,94_graphene_vaccine_vaccines_vaccinated
58545,65069,44343,5516,http://data.gesis.org/claimskg/creative_work/f5235a23-ee60-5852-a09e-0eb8750827e6,"A German doctor discovered the COVID-19 vaccines include graphene oxide or graphene hydroxide, and the full list of ingredients is secret because of the emergency use authorization.",politifact,English,False,1,"COVID-19 vaccines, emergency use authorization, graphene, graphene oxide","['COVID-19 vaccines', ' emergency use authorization', ' graphene', ' graphene oxide']",4.0,27,en,94,94_graphene_vaccine_vaccines_vaccinated
61431,68138,44678,5851,http://data.gesis.org/claimskg/creative_work/5179967f-31fd-5010-8568-afd5f60eee01,"Pathologists found a host of non-biological components ... in the blood of vaccinated people, including graphene chips and nanochips.",politifact,English,False,1,"graphene, nanochips, non-biological, vaccinated people","['graphene', ' nanochips', ' non-biological', ' vaccinated people']",4.0,19,en,94,94_graphene_vaccine_vaccines_vaccinated
63072,69862,7000,762,http://data.gesis.org/claimskg/creative_work/c4f01620-840a-516f-8f2c-c9ae5954298f,A viral Instagram post claims a Pfizer patent application for tracking vaccinated humans worldwide via microwave and graphene held in fatty tissues of the vaccinated was recently approved.,checkyourfact,English,FALSE,1,"Instagram, Pfizer, graphene, microwave, patent application","['Instagram', ' Pfizer', ' graphene', ' microwave', ' patent application']",5.0,28,en,94,94_graphene_vaccine_vaccines_vaccinated
