Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
20751,25697,4832,4832,http://data.gesis.org/claimskg/creative_work/eec2c04e-946c-52f8-9af4-35966336e50d,Ignore fake tweets – Uganda’s presidential election not rescheduled to slow Covid-19 spread,africacheck,English,FALSE,1,Covid-19,['Covid-19'],1.0,13,en,65,65_uganda_ugandas_ugandan_covid19
24866,30123,10550,4312,http://data.gesis.org/claimskg/creative_work/174cc06d-fe00-5e74-8af0-c4a246f84689,A post shared on Facebook claims Ugandan President Yoweri Museveni was airlifted to Germany after contracting COVID-19.,checkyourfact,English,FALSE,1,"Facebook, contracting COVID-19","['Facebook', ' contracting COVID-19']",2.0,17,en,65,65_uganda_ugandas_ugandan_covid19
29088,34377,2162,2162,http://data.gesis.org/claimskg/creative_work/c5d73262-0809-5686-a0a5-92fc0c5c2737,Uganda’s health minister was vaccinated against Covid-19 – video shows re-enactment for journalists soon after,africacheck,English,FALSE,1,"Covid-19, Uganda","['Covid-19', ' Uganda']",2.0,15,en,65,65_uganda_ugandas_ugandan_covid19
29544,34834,1803,1803,http://data.gesis.org/claimskg/creative_work/f27d9592-cfbb-51c9-b02a-4788125713d8,"No, photo of then-vice president of Tanzania doesn’t signal change in attitude to Covid-19",africacheck,English,FALSE,1,"Covid-19, president of Tanzania","['Covid-19', ' president of Tanzania']",2.0,14,en,65,65_uganda_ugandas_ugandan_covid19
29877,35171,3133,3133,http://data.gesis.org/claimskg/creative_work/4d25bd52-6cf1-5326-bef5-29bf5766abfa,"No, cash fines for violating Covid-19 rules not in place in Uganda – beware of fake notice",africacheck,English,FALSE,1,"Covid-19, Uganda","['Covid-19', ' Uganda']",2.0,17,en,65,65_uganda_ugandas_ugandan_covid19
30063,35360,3247,3247,http://data.gesis.org/claimskg/creative_work/b7953740-d8e3-55a6-8472-c3598cfc4c48,"Covid-19 funds stolen? No, front page of Uganda’s New Vision newspaper doctored",africacheck,English,FALSE,1,"Covid-19, Uganda’s","['Covid-19', ' Uganda’s']",2.0,12,en,65,65_uganda_ugandas_ugandan_covid19
31008,36312,720,720,http://data.gesis.org/claimskg/creative_work/6902eb75-f523-5a96-8d4f-75b18fca8ca1,"No, UN didn’t tweet list of ‘most corrupt’ African countries under Covid-19",africacheck,English,FALSE,1,"Covid-19, UN","['Covid-19', ' UN']",2.0,12,en,65,65_uganda_ugandas_ugandan_covid19
31416,36724,256,256,http://data.gesis.org/claimskg/creative_work/c5fde610-1f68-52f8-9708-5fc048f1c626,"No, Uganda hasn’t ‘suspended’ sex during Covid-19 crisis",africacheck,English,FALSE,1,"Covid-19, Uganda","['Covid-19', ' Uganda']",2.0,8,en,65,65_uganda_ugandas_ugandan_covid19
32701,38021,5655,5655,http://data.gesis.org/claimskg/creative_work/03372d1b-6e80-5d63-b2bc-8599bb62f7df,"No, Uganda didn’t revoke Covid-19 cash relief and prime minister didn’t tweet about it",africacheck,English,FALSE,1,"Covid-19, Uganda","['Covid-19', ' Uganda']",2.0,14,en,65,65_uganda_ugandas_ugandan_covid19
32741,38061,5527,5527,http://data.gesis.org/claimskg/creative_work/f7f49cb3-f522-5594-90b9-65051c087503,"Tanzania’s health minister announced she had Covid-19? No, tweet is fake",africacheck,English,FALSE,1,"Covid-19, Tanzania","['Covid-19', ' Tanzania']",2.0,11,en,65,65_uganda_ugandas_ugandan_covid19
