Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name
7802,12097,29994,847,http://data.gesis.org/claimskg/creative_work/c0c28dd7-4a05-579a-a280-9a74a532b782,"In 2014, then-Vice President Joe Biden issued a memo to his wonderful staff regarding family obligations.",truthorfiction,English,OTHER,-1,Vice President Joe Biden,['Vice President Joe Biden'],1.0,16,en,23,23_biden_bidens_rolex_grandson
12749,17116,42695,3868,http://data.gesis.org/claimskg/creative_work/ace43096-61d6-5307-8c1b-bcbdd82cdde4,Says Biden's Rolex belonged to his late son Beau.,politifact,English,False,1,Rolex,['Rolex'],1.0,9,en,23,23_biden_bidens_rolex_grandson
14553,18936,46511,7684,http://data.gesis.org/claimskg/creative_work/85c89ed2-358e-5878-ad8d-d64d10ff5027,James Biden built the cages and (the Bidens) made millions from it.,politifact,English,False,1,Bidens,['Bidens'],1.0,12,en,23,23_biden_bidens_rolex_grandson
15052,19440,47725,8898,http://data.gesis.org/claimskg/creative_work/800dfdde-b6c1-52fd-b947-1e58aecaea0b,Says Joe Biden confused his son and his grandson.,politifact,English,False,1,Joe Biden,['Joe Biden'],1.0,9,en,23,23_biden_bidens_rolex_grandson
20008,24935,16542,5194,http://data.gesis.org/claimskg/creative_work/73ce33ae-a3ca-5662-8ebe-062e0d1fb3a9,Joe Biden is dead according to woman who claims to be his granddaughter,factcheck_afp,English,FALSE,1,Joe Biden,['Joe Biden'],1.0,13,en,23,23_biden_bidens_rolex_grandson
28729,34014,45501,6674,http://data.gesis.org/claimskg/creative_work/c3c86c50-4043-5fb7-8d88-bcebe8888974,Joe Biden’s great-grandfather Joseph J. Biden was a slave-owner and fought for the Confederacy.,politifact,English,False,1,"Confederacy, Joe Biden","['Confederacy', ' Joe Biden']",2.0,14,en,23,23_biden_bidens_rolex_grandson
29274,34564,69906,7877,http://data.gesis.org/claimskg/creative_work/9eb31872-5cff-5c8d-9b4f-3e92e7cb19e0,"A photograph shows Joe Biden's great-grandfather, Joseph J. Biden, a Confederate soldier who owned slaves in the 1800s.",snopes,English,False,1,"Confederate, Joe Biden","['Confederate', ' Joe Biden']",2.0,18,en,23,23_biden_bidens_rolex_grandson
45539,51687,62160,131,http://data.gesis.org/claimskg/creative_work/f4917765-2ae4-55de-b0b0-fde68ebcb2c9,U.S. President Joe Biden wore a Rolex that once belonged to his late son Beau.,snopes,English,False,1,"Beau, Rolex, U.S. President Joe Biden","['Beau', ' Rolex', ' U.S. President Joe Biden']",3.0,15,en,23,23_biden_bidens_rolex_grandson
56983,63484,60426,2266,http://data.gesis.org/claimskg/creative_work/967e9eb0-0fbe-52ca-87e2-daba7549321f,President Joe Biden's great-great-great grandfather owned a 14-year-old Black slave in 1850.,snopes,English,True,3,"Black slave, President Joe Biden's, great-great grandfather, year-old","['Black slave', "" President Joe Biden's"", ' great-great grandfather', ' year-old']",4.0,12,en,23,23_biden_bidens_rolex_grandson
58808,65342,44555,5728,http://data.gesis.org/claimskg/creative_work/7b4b45dc-dc1b-56cf-a9de-8b31a6acb88f,"After Joe Biden became vice president, at the behest of his father, he gave his uncle, Frank H. Biden, a Purple Heart for serving in the U.S. military during World War II.",politifact,English,False,1,"Joe Biden, Purple Heart, U.S. military, World War II","['Joe Biden', ' Purple Heart', ' U.S. military', ' World War II']",4.0,32,en,23,23_biden_bidens_rolex_grandson
58829,65365,6917,679,http://data.gesis.org/claimskg/creative_work/a21ab68e-dd8b-53c1-8264-8c51f24d874a,"An image shared on Facebook over 700 times allegedly shows President Joe Biden’s ancestor, Remus Biden, about to be hanged for horse theft.",checkyourfact,English,FALSE,1,"Facebook, President Joe Biden, hanged, horse theft","['Facebook', ' President Joe Biden', ' hanged', ' horse theft']",4.0,23,en,23,23_biden_bidens_rolex_grandson
62575,69315,30293,1146,http://data.gesis.org/claimskg/creative_work/c8c24766-9ff4-5786-b822-c712a094a42c,A Rolex watch worn by Joe Biden and profiled by the New York Times in fact belonged to Biden's late son Beau Biden.,truthorfiction,English,OTHER,-1,"Beau Biden, Biden, Joe Biden, New York Times, Rolex","['Beau Biden', ' Biden', ' Joe Biden', ' New York Times', ' Rolex']",5.0,23,en,23,23_biden_bidens_rolex_grandson
64957,71893,68698,6669,http://data.gesis.org/claimskg/creative_work/b16efc82-e216-53d7-9d86-dd7df49d0cc6,"After he became vice president in 2008, current U.S. President Joe Biden gave his uncle, Frank H. Biden, a Purple Heart for his military service in the Battle of the Bulge during World War II.",snopes,English,False,1,"Battle of the Bulge, Purple Heart, U.S. President Joe Biden, World War II, military service, vice president in 2008","['Battle of the Bulge', ' Purple Heart', ' U.S. President Joe Biden', ' World War II', ' military service', ' vice president in 2008']",6.0,35,en,23,23_biden_bidens_rolex_grandson
